,user_id,house,datetime
4841,72ed9663-95da-45bc-b373-1e35fefcb456,house6,2024-04-19 08:31:56.534835
7448,aad41422-3ccd-4920-a077-ea696e7cd61f,,2024-04-19 08:31:58.812029
4363,69d49e69-778f-4ede-a824-cf62e3692a96,house1,2024-04-19 08:32:01.462574
8,0492584f-5dda-4ad6-ab2f-79c8d43a8753,house1,2024-04-19 08:32:04.333516
9570,e3aca4f2-7e1e-4499-bf8f-55355b2849da,,2024-04-19 08:32:08.376308
4295,6915145d-8404-412b-9481-1768b7863e3e,house1,2024-04-19 08:32:11.142128
6003,875b75ef-6331-423d-a96e-d364deafc0fa,house4,2024-04-19 08:32:13.779204
7207,a31b934a-63b0-4c08-a50e-f9ad0feaabd8,house5,2024-04-19 08:32:15.629608
9320,dc9690fd-c8d0-46a3-844d-28842ee4af4f,,2024-04-19 08:32:18.364172
528,1a024edc-e397-4508-958e-7051ae278650,,2024-04-19 08:32:21.748586
856,1e103917-1d29-424d-b5e1-924e0cdcd6dc,,2024-04-19 08:32:23.678846
6891,9c9c9019-da1b-4dcf-afad-8596ed5c8027,house4,2024-04-19 08:32:26.316254
3771,5f47549a-4365-484f-9f7f-5a471b91c981,,2024-04-19 08:32:28.628095
3105,4af43656-b123-4a72-892b-7993a6355ed3,,2024-04-19 08:32:30.937649
2262,3bd6dcac-904c-4614-be50-9c3949cb3405,house5,2024-04-19 08:32:33.559333
6199,8ce55900-508f-44eb-b01a-e217d46bfd5a,,2024-04-19 08:32:35.810431
727,1d9dd772-17c9-4c8c-a3dd-1dbfe41c5ba9,house5,2024-04-19 08:32:38.044949
263,0e59353d-8c6d-4a18-876e-5f506a40036e,house5,2024-04-19 08:32:41.356597
9832,e69e0495-522a-4fcb-9da1-644601d99e2b,,2024-04-19 08:32:44.684670
6526,9477215e-7671-4b68-a759-6af870d1789d,house1,2024-04-19 08:32:47.242632
7578,b10aa190-3d2a-4137-b674-8cb64824d72c,,2024-04-19 08:32:51.074377
10264,f66d1720-f703-4a91-83ac-954cba259df6,house6,2024-04-19 08:32:53.806842
3838,60fea3c0-9066-49ea-beb2-b055ab2b4ff9,,2024-04-19 08:32:56.175517
7757,b39567f7-fa3e-42a4-85cd-c81ea5bac858,house1,2024-04-19 08:32:58.552605
8079,bdb88ca1-5ad1-45a5-b329-a08f104107f5,house2,2024-04-19 08:33:01.629357
10506,f90e665a-2d98-4ab1-a6de-5ce1a5403861,house2,2024-04-19 08:33:04.940354
1823,3224a678-3fef-47ae-94e5-3250cec710f9,,2024-04-19 08:33:08.764523
8145,bde180ba-06a6-4f76-88e1-7c789e890ca4,house4,2024-04-19 08:33:11.022309
4670,6e9afd62-0755-4cf4-a956-c5d3e22b6038,,2024-04-19 08:33:13.388704
3240,50f9355c-6b05-4e04-8e55-fb1af6461cd2,house1,2024-04-19 08:33:15.598768
4227,67054eb5-41f1-4d11-aed8-465e8a5bafab,,2024-04-19 08:33:21.556282
6398,90be5909-0039-4170-a115-3dba964d3c70,,2024-04-19 08:33:24.412102
2848,480db091-c8c1-4b44-9e50-e6d6740e7ed6,house6,2024-04-19 08:33:26.468975
5375,7a92cb13-de00-4cf9-8f2e-fe1de7629692,house4,2024-04-19 08:33:28.978997
5937,87176cb2-0b72-4207-9738-d14f9e7b35fc,,2024-04-19 08:33:34.823237
4031,63a28e63-51c2-46bb-baa3-87693efd4424,,2024-04-19 08:33:37.384851
1705,3179b05a-487a-4208-9d7a-115c9532149b,house4,2024-04-19 08:33:39.539468
8207,bf565a52-d853-4fdb-a36d-2b4420313ddd,house4,2024-04-19 08:33:42.732652
10572,f922a5d4-3651-46f7-aa98-307c045dd4b5,,2024-04-19 08:33:45.557925
2651,4341cf2a-0952-459b-b895-9e25b8e230fe,,2024-04-19 08:33:50.785408
10083,f10a183a-3ffd-4760-b446-acde1b8c0d8f,house4,2024-04-19 08:33:53.518732
9091,d6a7c304-337f-41ab-8d21-318c2955ba0b,,2024-04-19 08:33:58.476510
2395,3d5ea6d9-73c2-4f96-b4f2-aac106f8c246,house6,2024-04-19 08:34:00.543680
76,0a3e80d5-ebfc-4fb6-9c73-eb4afcca687a,house3,2024-04-19 08:34:02.876096
8832,ce9c3ed2-1b0f-415d-9502-504ae224491a,,2024-04-19 08:34:05.156032
9032,d34cacdd-075a-4a62-9809-cee28c53cb6a,house2,2024-04-19 08:34:11.314106
9388,dcc34e5b-536f-40be-a5f1-2d95a505e183,house2,2024-04-19 08:34:13.619000
8967,cf51b9c2-7ff5-40f3-a752-0a9480fdd894,,2024-04-19 08:34:16.288213
8397,c40c417e-6ec1-4634-9f5a-e8daa1ad8a16,,2024-04-19 08:34:18.907914
8332,c3728021-30dd-44a0-9585-edfa84506a97,,2024-04-19 08:34:21.033495
2719,4503e76c-39a4-41e8-bbd4-0b91a9240aaa,,2024-04-19 08:34:29.229776
7515,ad676f50-c399-42bd-9e8a-b2feda1a7238,house1,2024-04-19 08:34:33.347949
137,0cb94071-a8ec-4885-8316-e0e4fbebec32,,2024-04-19 08:34:36.172729
4727,6f16696b-22a0-4f3c-b2ad-f6b9e0256775,house3,2024-04-19 08:34:38.744238
2530,411be707-6301-45a6-ae69-0f567f369408,house2,2024-04-19 08:34:40.970342
8900,ced89e5e-7db0-4dd4-9508-d7090c818b66,house5,2024-04-19 08:34:44.158094
595,1bedb648-5a50-4680-a09b-27240759f9a0,,2024-04-19 08:34:51.512421
10638,faac7a28-16cd-48ae-833d-09ea4ae49833,house3,2024-04-19 08:34:54.090413
7021,9de57089-8c87-44d2-bc3d-f64b32e79ff8,house5,2024-04-19 08:34:57.795399
5172,7889a31f-7351-4b4d-b872-e04e5e35b9dd,house2,2024-04-19 08:35:04.549942
4976,7474c4b5-d72d-4213-ad48-c8376a66cf35,,2024-04-19 08:35:07.377823
2129,3742a754-b69d-4b3c-8187-3636ff10037b,house6,2024-04-19 08:35:10.068260
3503,59acfdcc-c1d0-455c-a3ba-4ce4e6e66cb4,house5,2024-04-19 08:35:14.659992
3906,61ed2314-8e12-4316-8099-8d99363ac48e,,2024-04-19 08:35:16.869875
330,0fa19346-050f-48ac-9f1b-8b214d0ee662,house2,2024-04-19 08:35:19.174610
6335,90756b5d-7ed2-4b15-9182-6ce392c05013,house1,2024-04-19 08:35:21.704615
1372,2b023cf1-bd37-42b6-b182-a63f314c0031,house1,2024-04-19 08:35:26.926079
2194,3a90e6b3-bc9f-49a7-997f-e954943de83e,,2024-04-19 08:35:29.805847
663,1d4297fd-0875-41c6-bbdd-6c7d22c2411f,,2024-04-19 08:35:33.415026
2462,40b8a933-6b6f-4501-85be-f3aab0f3cac8,house6,2024-04-19 08:35:35.916652
6703,99352c97-a615-425e-8c20-6838d99297da,,2024-04-19 08:35:41.893335
8769,ce8c745e-28c5-4beb-b018-b808f27da611,house6,2024-04-19 08:36:55.447215
8508,c813c2bc-7886-4013-a340-6b71b8d13003,,2024-04-19 08:37:17.357000
2069,33a88b0d-39e1-4000-ab90-7d7079b57a46,house3,2024-04-19 08:37:21.371463
10023,ef836255-9ff1-48bd-9ee1-b3e205f96367,,2024-04-19 08:37:26.670963
395,12584309-4699-485d-9f5b-a57ebfc4283a,,2024-04-19 08:37:32.623856
7824,b455da87-de96-42b3-b126-1f350de41e8c,,2024-04-19 08:38:35.647099
6825,9ba5d224-6e1c-418f-b6e9-6fd5abd8be8b,house5,2024-04-19 08:38:40.576623
3051,49e1e7be-1021-43ae-9d66-985e4ab757b1,house2,2024-04-19 08:38:43.722917
6660,979ad268-eca3-4d3f-854e-d244f73b1748,house6,2024-04-19 08:38:46.130097
9638,e524b348-0e44-4867-a0d4-81ea6e6b81c9,house1,2024-04-19 08:38:48.175727
6071,897eb4f1-64df-488f-824c-68b83e97d48a,,2024-04-19 08:39:04.413776
7382,aa4ece23-0bde-4b26-840c-9365c7b6ae27,house2,2024-04-19 08:39:08.001943
8275,c09f4e21-93f1-4ee5-8be8-5892f9e3f67b,,2024-04-19 08:39:59.228338
10331,f7913f48-8bed-4c54-95d8-968fc64606e3,house4,2024-04-19 08:40:38.346597
9705,e544ac1c-af6a-41b3-a16c-61ab3c1863cb,house4,2024-04-19 08:40:42.370014
9454,dda733a2-2add-44a5-b888-81943923c2c6,,2024-04-19 08:40:44.789547
9201,d9e6ab6b-0e4e-4c98-abca-8acd26ab18e0,house6,2024-04-19 08:40:47.920205
7142,a2224154-cc34-4297-b74a-0266bb05a915,house4,2024-04-19 08:40:51.079384
7947,b87444fd-94e3-454b-a381-e8b7a145359c,house4,2024-04-19 08:40:55.122937
7646,b177b688-d7be-49cf-8b0b-84047bbfd3e9,house3,2024-04-19 08:41:01.439508
7272,a5e1de79-b29f-4942-b74d-3cf6bf77682f,,2024-04-19 08:41:53.854662
6768,9af32f95-5e33-4ee7-8f46-e5399bc10479,,2024-04-19 08:42:58.381504
5110,77fcbaa7-bf8a-4674-a82b-ab415827aba9,house4,2024-04-19 08:43:00.218430
5697,81c9f456-b5a2-4e28-ad69-eb7d89374d37,,2024-04-19 08:43:05.368499
1570,2e958eb1-0ca7-444a-a150-6e1f2e74735b,,2024-04-19 08:43:07.336037
2983,48ed7588-0b5b-40c9-9fc3-9d5c51a0c88a,,2024-04-19 08:43:51.183480
10706,fac56dec-f876-400b-921f-94012ed87d73,house6,2024-04-19 08:43:56.601708
1768,31f1dfb3-1ed4-4fed-9ef0-952b9a70b3f6,,2024-04-19 08:44:00.505400
5634,818aab23-2383-4450-911e-88d07af57dd0,,2024-04-19 08:44:04.430025
4485,6c9ed69f-edc1-42b5-8cb4-6101676530be,house4,2024-04-19 08:44:12.508718
195,0d9ff778-c1fe-4966-baa9-e35783893f39,,2024-04-19 08:44:19.842244
3570,5b4b687b-64db-4ee8-9fd6-42931ca7576c,,2024-04-19 08:44:26.191380
1110,22a46d0d-eb76-4293-b4a0-6b8b7dd4f6d9,house1,2024-04-19 08:44:33.575358
5509,7bf9b1d8-d6fe-4d2d-8096-a2a192c2ed0c,house4,2024-04-19 08:45:51.524278
7327,a64047ca-5098-4c23-a971-49fba9b3e4fe,house4,2024-04-19 08:45:56.591987
7087,a1a61fdd-d404-4f70-a763-12c20c0264c2,house4,2024-04-19 08:46:00.842458
5765,81fd94c1-4f86-4441-a38e-7b770ce28aae,house2,2024-04-19 08:46:08.001982
8465,c50ac909-8d9c-4713-b3d2-6add8d3e4acc,house6,2024-04-19 08:48:19.245472
1439,2cb8f1f0-3c43-4893-bb57-57b9c10069f0,house6,2024-04-19 08:48:21.282519
1176,25e69851-885b-4cd1-8c32-e29e604714ea,house3,2024-04-19 08:48:25.218946
3369,5931fa6a-af6b-43b8-babb-28349854d406,,2024-04-19 08:48:56.443017
5571,7eecd605-6ca1-4343-bf40-56ab7ea20dc9,house3,2024-04-19 08:49:03.538931
8634,cdd098ee-4295-4839-b1a3-4d44840feacd,house3,2024-04-19 08:49:11.419064
4908,72f607f4-67b9-459a-9712-76fa6ca47874,,2024-04-19 08:49:14.167983
4795,71d0528a-188d-4aba-b7de-79ce11aba729,,2024-04-19 08:50:45.442089
9152,d812e8d2-e25b-4135-90b8-8893b29bb4d4,house6,2024-04-19 08:53:23.511380
4097,64d93c1a-1a53-4f12-8590-58cb738cd3b1,,2024-04-19 08:53:24.862285
2330,3cc21efc-4aba-47e5-9cf8-7915e25cabf2,house2,2024-04-19 08:54:24.862285
7700,b349e5e0-8128-432e-a8a4-03b754f07f36,,2024-04-19 08:55:24.862285
7208,a31b934a-63b0-4c08-a50e-f9ad0feaabd8,house5,2024-04-19 12:30:16.725100
2652,4341cf2a-0952-459b-b895-9e25b8e230fe,,2024-04-19 12:30:44.723310
9706,e544ac1c-af6a-41b3-a16c-61ab3c1863cb,house4,2024-04-19 12:31:00.406069
857,1e103917-1d29-424d-b5e1-924e0cdcd6dc,,2024-04-19 12:31:13.695055
1305,2ad18754-2522-4fa9-af12-bccdf42d3905,house5,2024-04-19 12:31:46.897782
3241,50f9355c-6b05-4e04-8e55-fb1af6461cd2,house1,2024-04-19 12:31:50.764925
5442,7b3f7524-f201-44df-a929-5b92eac9457b,house5,2024-04-19 12:31:52.811795
6399,90be5909-0039-4170-a115-3dba964d3c70,,2024-04-19 12:31:55.473619
7758,b39567f7-fa3e-42a4-85cd-c81ea5bac858,house1,2024-04-19 12:31:58.924961
6072,897eb4f1-64df-488f-824c-68b83e97d48a,,2024-04-19 12:32:13.347509
2005,337efdeb-7299-4e86-9db0-3b7bad905ca4,,2024-04-19 12:32:54.951840
8333,c3728021-30dd-44a0-9585-edfa84506a97,,2024-04-19 12:33:32.187390
9769,e5763aad-656b-44d6-ad74-93a40495a5b3,house2,2024-04-19 12:33:55.322657
7273,a5e1de79-b29f-4942-b74d-3cf6bf77682f,,2024-04-19 12:33:59.796677
2531,411be707-6301-45a6-ae69-0f567f369408,house2,2024-04-19 12:34:44.646544
9389,dcc34e5b-536f-40be-a5f1-2d95a505e183,house2,2024-04-19 12:34:48.298917
4842,72ed9663-95da-45bc-b373-1e35fefcb456,house6,2024-04-19 12:35:19.813972
7449,aad41422-3ccd-4920-a077-ea696e7cd61f,,2024-04-19 12:35:23.214092
9455,dda733a2-2add-44a5-b888-81943923c2c6,,2024-04-19 12:35:25.333673
529,1a024edc-e397-4508-958e-7051ae278650,,2024-04-19 12:35:28.406062
6892,9c9c9019-da1b-4dcf-afad-8596ed5c8027,house4,2024-04-19 12:35:32.154717
1504,2e333d17-d22d-42c6-b7e2-57bd681b1415,,2024-04-19 12:35:35.588187
3772,5f47549a-4365-484f-9f7f-5a471b91c981,,2024-04-19 12:35:38.794089
2849,480db091-c8c1-4b44-9e50-e6d6740e7ed6,house6,2024-04-19 12:35:41.059230
8901,ced89e5e-7db0-4dd4-9508-d7090c818b66,house5,2024-04-19 12:35:53.223471
3504,59acfdcc-c1d0-455c-a3ba-4ce4e6e66cb4,house5,2024-04-19 12:35:56.379277
7022,9de57089-8c87-44d2-bc3d-f64b32e79ff8,house5,2024-04-19 12:35:58.987219
8968,cf51b9c2-7ff5-40f3-a752-0a9480fdd894,,2024-04-19 12:36:05.432953
9153,d812e8d2-e25b-4135-90b8-8893b29bb4d4,house6,2024-04-19 12:36:21.798148
4098,64d93c1a-1a53-4f12-8590-58cb738cd3b1,,2024-04-19 12:36:23.594455
4728,6f16696b-22a0-4f3c-b2ad-f6b9e0256775,house3,2024-04-19 12:36:26.350685
2463,40b8a933-6b6f-4501-85be-f3aab0f3cac8,house6,2024-04-19 12:36:29.523847
7880,b542ca89-e19f-4f62-a46d-8034f956b019,house3,2024-04-19 12:36:32.127909
2917,481bbf37-31d3-4ba1-bce1-3c478bfb86ed,house5,2024-04-19 12:36:55.083846
3571,5b4b687b-64db-4ee8-9fd6-42931ca7576c,,2024-04-19 12:37:11.369209
6139,8c7a8814-d01f-40fa-817a-32358419b0a1,house2,2024-04-19 12:37:14.018990
922,1f7d7fe6-a09f-45c9-87f1-5bec07a066fa,house2,2024-04-19 12:37:16.250592
9901,e81fe35d-eabc-4bef-a19d-b7cf24d01366,,2024-04-19 12:37:18.811819
4977,7474c4b5-d72d-4213-ad48-c8376a66cf35,,2024-04-19 12:37:38.420464
2130,3742a754-b69d-4b3c-8187-3636ff10037b,house6,2024-04-19 12:37:40.620658
8833,ce9c3ed2-1b0f-415d-9502-504ae224491a,,2024-04-19 12:37:44.444215
10639,faac7a28-16cd-48ae-833d-09ea4ae49833,house3,2024-04-19 12:37:47.826234
6661,979ad268-eca3-4d3f-854e-d244f73b1748,house6,2024-04-19 12:37:50.190501
3639,5cd9c8db-07cf-4b5f-a590-00af8dacc4a4,,2024-04-19 12:37:52.968793
789,1dfb8ef0-6a36-4ca0-b8e8-6aa1756a00a5,house3,2024-04-19 12:37:55.791972
9,0492584f-5dda-4ad6-ab2f-79c8d43a8753,house1,2024-04-19 12:37:58.389213
980,1fcf9cd7-6858-400d-b8c4-446dd76036e4,house2,2024-04-19 12:38:00.838266
8703,ce506c75-9d99-4d9d-b925-4f95384da3d0,house1,2024-04-19 12:38:04.442323
4228,67054eb5-41f1-4d11-aed8-465e8a5bafab,,2024-04-19 12:38:33.673389
7088,a1a61fdd-d404-4f70-a763-12c20c0264c2,house4,2024-04-19 12:38:39.163476
1886,32a58b0b-bb40-4c59-98c7-661fe7748d67,house3,2024-04-19 12:38:46.451309
462,12e832b1-ba8d-48d4-acb1-67c2ed2504e4,house2,2024-04-19 12:39:08.206656
7579,b10aa190-3d2a-4137-b674-8cb64824d72c,,2024-04-19 12:39:10.350284
331,0fa19346-050f-48ac-9f1b-8b214d0ee662,house2,2024-04-19 12:39:13.190609
3106,4af43656-b123-4a72-892b-7993a6355ed3,,2024-04-19 12:39:16.360458
77,0a3e80d5-ebfc-4fb6-9c73-eb4afcca687a,house3,2024-04-19 12:39:21.423316
2070,33a88b0d-39e1-4000-ab90-7d7079b57a46,house3,2024-04-19 12:39:24.031122
10024,ef836255-9ff1-48bd-9ee1-b3e205f96367,,2024-04-19 12:39:26.034001
1571,2e958eb1-0ca7-444a-a150-6e1f2e74735b,,2024-04-19 12:39:28.122911
9033,d34cacdd-075a-4a62-9809-cee28c53cb6a,house2,2024-04-19 12:39:39.373770
6826,9ba5d224-6e1c-418f-b6e9-6fd5abd8be8b,house5,2024-04-19 12:39:52.364165
3052,49e1e7be-1021-43ae-9d66-985e4ab757b1,house2,2024-04-19 12:39:55.268843
4296,6915145d-8404-412b-9481-1768b7863e3e,house1,2024-04-19 12:40:17.335918
9321,dc9690fd-c8d0-46a3-844d-28842ee4af4f,,2024-04-19 12:40:24.204979
1639,301ea4b1-4d7d-4164-81d4-9d12fb0c16f3,,2024-04-19 12:40:30.620268
9504,e03b3ffe-81f4-4a48-9837-44ea86839840,house1,2024-04-19 12:40:43.253211
10443,f89e8057-94eb-42d4-9ea6-c5f00419c387,,2024-04-19 12:40:45.587461
728,1d9dd772-17c9-4c8c-a3dd-1dbfe41c5ba9,house5,2024-04-19 12:40:49.612241
2263,3bd6dcac-904c-4614-be50-9c3949cb3405,house5,2024-04-19 12:40:51.972979
6200,8ce55900-508f-44eb-b01a-e217d46bfd5a,,2024-04-19 12:40:54.421468
1769,31f1dfb3-1ed4-4fed-9ef0-952b9a70b3f6,,2024-04-19 12:40:57.737989
5111,77fcbaa7-bf8a-4674-a82b-ab415827aba9,house4,2024-04-19 12:41:02.652918
6769,9af32f95-5e33-4ee7-8f46-e5399bc10479,,2024-04-19 12:41:05.163311
7948,b87444fd-94e3-454b-a381-e8b7a145359c,house4,2024-04-19 12:41:13.046271
6459,9207b26d-79dc-41fc-b62c-67a6821132b9,house3,2024-04-19 12:41:16.419056
1177,25e69851-885b-4cd1-8c32-e29e604714ea,house3,2024-04-19 12:41:19.694113
7701,b349e5e0-8128-432e-a8a4-03b754f07f36,,2024-04-19 12:41:21.556442
3174,4b2569be-cd32-40aa-9cc4-9e13e55903de,house1,2024-04-19 12:41:24.533477
3907,61ed2314-8e12-4316-8099-8d99363ac48e,,2024-04-19 12:41:29.098011
8398,c40c417e-6ec1-4634-9f5a-e8daa1ad8a16,,2024-04-19 12:41:32.104085
2984,48ed7588-0b5b-40c9-9fc3-9d5c51a0c88a,,2024-04-19 12:42:03.072045
9202,d9e6ab6b-0e4e-4c98-abca-8acd26ab18e0,house6,2024-04-19 12:42:06.056842
5572,7eecd605-6ca1-4343-bf40-56ab7ea20dc9,house3,2024-04-19 12:42:09.464507
4429,6befa7f3-dd1e-4c19-8702-3214ded09b79,house3,2024-04-19 12:42:37.851824
8509,c813c2bc-7886-4013-a340-6b71b8d13003,,2024-04-19 12:42:46.092655
6957,9ca4c190-fa93-4330-aead-3abdc78faee3,house3,2024-04-19 12:42:49.735004
7143,a2224154-cc34-4297-b74a-0266bb05a915,house4,2024-04-19 12:42:53.199674
10332,f7913f48-8bed-4c54-95d8-968fc64606e3,house4,2024-04-19 12:42:58.153079
8146,bde180ba-06a6-4f76-88e1-7c789e890ca4,house4,2024-04-19 12:43:03.254746
1824,3224a678-3fef-47ae-94e5-3250cec710f9,,2024-04-19 12:43:07.390353
1706,3179b05a-487a-4208-9d7a-115c9532149b,house4,2024-04-19 12:43:10.640411
5510,7bf9b1d8-d6fe-4d2d-8096-a2a192c2ed0c,house4,2024-04-19 12:43:34.273133
1111,22a46d0d-eb76-4293-b4a0-6b8b7dd4f6d9,house1,2024-04-19 12:43:36.309206
1242,272f295e-c673-4c17-8172-b9342b9d1192,house6,2024-04-19 12:43:40.874164
8770,ce8c745e-28c5-4beb-b018-b808f27da611,house6,2024-04-19 12:43:43.419428
2331,3cc21efc-4aba-47e5-9cf8-7915e25cabf2,house2,2024-04-19 12:43:45.804493
9639,e524b348-0e44-4867-a0d4-81ea6e6b81c9,house1,2024-04-19 12:44:15.160376
6593,954ee6ef-741a-4199-882d-35b961f4453a,house1,2024-04-19 12:44:20.032684
7825,b455da87-de96-42b3-b126-1f350de41e8c,,2024-04-19 12:44:23.065714
5241,7970eab7-e0ca-4d42-8975-29de1aa9cf5b,house1,2024-04-19 12:44:27.012073
10707,fac56dec-f876-400b-921f-94012ed87d73,house6,2024-04-19 12:45:38.679174
8466,c50ac909-8d9c-4713-b3d2-6add8d3e4acc,house6,2024-04-19 12:45:42.194950
5043,7593a65e-fb7f-4a7a-b523-6d13ec355668,house5,2024-04-19 12:45:45.086461
5308,797d702f-b117-4b78-9623-a52e043e30e7,house2,2024-04-19 12:45:47.240552
5834,847f245a-2b6b-445c-8129-81908932d218,house5,2024-04-19 12:45:49.444381
8012,b96aa614-3d26-477b-920c-9aa2b7cae661,house5,2024-04-19 12:45:52.373071
6268,9028f311-aa0f-442f-8a0e-67f7e55d8ecc,house5,2024-04-19 12:45:54.773718
5635,818aab23-2383-4450-911e-88d07af57dd0,,2024-04-19 12:45:57.216942
3436,594f8901-beb7-4f50-a523-0757c72b2504,house3,2024-04-19 12:45:59.821615
4486,6c9ed69f-edc1-42b5-8cb4-6101676530be,house4,2024-04-19 12:46:02.169095
3370,5931fa6a-af6b-43b8-babb-28349854d406,,2024-04-19 12:46:22.903764
4551,6e009a96-2b8b-4048-8b0c-20a7924a4b4f,,2024-04-19 12:46:24.831360
3704,5f1a2ecf-943d-446b-b94d-d7d1ad64213d,,2024-04-19 12:46:29.534380
8635,cdd098ee-4295-4839-b1a3-4d44840feacd,house3,2024-04-19 12:46:32.173496
264,0e59353d-8c6d-4a18-876e-5f506a40036e,house5,2024-04-19 12:46:34.535617
664,1d4297fd-0875-41c6-bbdd-6c7d22c2411f,,2024-04-19 12:46:37.966517
9092,d6a7c304-337f-41ab-8d21-318c2955ba0b,,2024-04-19 12:46:40.425471
4364,69d49e69-778f-4ede-a824-cf62e3692a96,house1,2024-04-19 12:46:43.274600
596,1bedb648-5a50-4680-a09b-27240759f9a0,,2024-04-19 12:47:31.628227
196,0d9ff778-c1fe-4966-baa9-e35783893f39,,2024-04-19 12:47:58.414688
9833,e69e0495-522a-4fcb-9da1-644601d99e2b,,2024-04-19 12:48:02.216851
3968,636b1c8b-4934-4842-9642-5283b06d7e9f,,2024-04-19 12:48:05.583177
10507,f90e665a-2d98-4ab1-a6de-5ce1a5403861,house2,2024-04-19 12:48:07.383530
1944,332a0b3d-cc6a-4a02-a2e9-7ac0840a6069,house6,2024-04-19 12:48:11.094113
4909,72f607f4-67b9-459a-9712-76fa6ca47874,,2024-04-19 12:48:13.554582
2195,3a90e6b3-bc9f-49a7-997f-e954943de83e,,2024-04-19 12:48:15.697585
