statement_id,account_id,render_month,be_year,month,pages,header_pages,transaction_pages,page_sequence_complete
BS-OPER-BKK-CTW-2567-09,OPER-BKK-CTW,2024-09,2567,09,4,1,3,True
BS-OPER-BKK-CTW-2567-10,OPER-BKK-CTW,2024-10,2567,10,4,1,3,True
BS-OPER-BKK-CTW-2567-11,OPER-BKK-CTW,2024-11,2567,11,4,1,3,True
BS-OPER-BKK-CTW-2567-12,OPER-BKK-CTW,2024-12,2567,12,4,1,3,True
BS-OPER-BKK-CTW-2568-01,OPER-BKK-CTW,2025-01,2568,01,4,1,3,True
BS-OPER-BKK-CTW-2568-02,OPER-BKK-CTW,2025-02,2568,02,4,1,3,True
BS-OPER-BKK-CTW-2568-03,OPER-BKK-CTW,2025-03,2568,03,4,1,3,True
BS-OPER-BKK-CTW-2568-04,OPER-BKK-CTW,2025-04,2568,04,4,1,3,True
BS-OPER-BKK-CTW-2568-05,OPER-BKK-CTW,2025-05,2568,05,4,1,3,True
BS-OPER-BKK-CTW-2568-06,OPER-BKK-CTW,2025-06,2568,06,4,1,3,True
BS-OPER-BKK-CTW-2568-07,OPER-BKK-CTW,2025-07,2568,07,4,1,3,True
BS-OPER-BKK-CTW-2568-08,OPER-BKK-CTW,2025-08,2568,08,4,1,3,True
BS-OPER-BKK-CTW-2568-09,OPER-BKK-CTW,2025-09,2568,09,4,1,3,True
BS-OPER-BKK-CTW-2568-10,OPER-BKK-CTW,2025-10,2568,10,4,1,3,True
BS-OPER-BKK-CTW-2568-11,OPER-BKK-CTW,2025-11,2568,11,4,1,3,True
BS-OPER-BKK-CTW-2568-12,OPER-BKK-CTW,2025-12,2568,12,4,1,3,True
BS-OPER-BKK-EMSP-2567-01,OPER-BKK-EMSP,2024-01,2567,01,9,1,8,True
BS-OPER-BKK-EMSP-2567-02,OPER-BKK-EMSP,2024-02,2567,02,8,1,7,True
BS-OPER-BKK-EMSP-2567-03,OPER-BKK-EMSP,2024-03,2567,03,9,1,8,True
BS-OPER-BKK-EMSP-2567-04,OPER-BKK-EMSP,2024-04,2567,04,8,1,7,True
BS-OPER-BKK-EMSP-2567-05,OPER-BKK-EMSP,2024-05,2567,05,9,1,8,True
BS-OPER-BKK-EMSP-2567-06,OPER-BKK-EMSP,2024-06,2567,06,9,1,8,True
BS-OPER-BKK-EMSP-2567-07,OPER-BKK-EMSP,2024-07,2567,07,9,1,8,True
BS-OPER-BKK-EMSP-2567-08,OPER-BKK-EMSP,2024-08,2567,08,9,1,8,True
BS-OPER-BKK-EMSP-2567-09,OPER-BKK-EMSP,2024-09,2567,09,9,1,8,True
BS-OPER-BKK-EMSP-2567-10,OPER-BKK-EMSP,2024-10,2567,10,9,1,8,True
BS-OPER-BKK-EMSP-2567-11,OPER-BKK-EMSP,2024-11,2567,11,9,1,8,True
BS-OPER-BKK-EMSP-2567-12,OPER-BKK-EMSP,2024-12,2567,12,9,1,8,True
BS-OPER-BKK-EMSP-2568-01,OPER-BKK-EMSP,2025-01,2568,01,9,1,8,True
BS-OPER-BKK-EMSP-2568-02,OPER-BKK-EMSP,2025-02,2568,02,8,1,7,True
BS-OPER-BKK-EMSP-2568-03,OPER-BKK-EMSP,2025-03,2568,03,9,1,8,True
BS-OPER-BKK-EMSP-2568-04,OPER-BKK-EMSP,2025-04,2568,04,8,1,7,True
BS-OPER-BKK-EMSP-2568-05,OPER-BKK-EMSP,2025-05,2568,05,9,1,8,True
BS-OPER-BKK-EMSP-2568-06,OPER-BKK-EMSP,2025-06,2568,06,9,1,8,True
BS-OPER-BKK-EMSP-2568-07,OPER-BKK-EMSP,2025-07,2568,07,9,1,8,True
BS-OPER-BKK-EMSP-2568-08,OPER-BKK-EMSP,2025-08,2568,08,9,1,8,True
BS-OPER-BKK-EMSP-2568-09,OPER-BKK-EMSP,2025-09,2568,09,9,1,8,True
BS-OPER-BKK-EMSP-2568-10,OPER-BKK-EMSP,2025-10,2568,10,9,1,8,True
BS-OPER-BKK-EMSP-2568-11,OPER-BKK-EMSP,2025-11,2568,11,9,1,8,True
BS-OPER-BKK-EMSP-2568-12,OPER-BKK-EMSP,2025-12,2568,12,9,1,8,True
BS-OPER-BKK-PKT-2567-01,OPER-BKK-PKT,2024-01,2567,01,9,1,8,True
BS-OPER-BKK-PKT-2567-02,OPER-BKK-PKT,2024-02,2567,02,8,1,7,True
BS-OPER-BKK-PKT-2567-03,OPER-BKK-PKT,2024-03,2567,03,9,1,8,True
BS-OPER-BKK-PKT-2567-04,OPER-BKK-PKT,2024-04,2567,04,7,1,6,True
BS-OPER-BKK-PKT-2567-05,OPER-BKK-PKT,2024-05,2567,05,9,1,8,True
BS-OPER-BKK-PKT-2567-06,OPER-BKK-PKT,2024-06,2567,06,9,1,8,True
BS-OPER-BKK-PKT-2567-07,OPER-BKK-PKT,2024-07,2567,07,9,1,8,True
BS-OPER-BKK-PKT-2567-08,OPER-BKK-PKT,2024-08,2567,08,9,1,8,True
BS-OPER-BKK-PKT-2567-09,OPER-BKK-PKT,2024-09,2567,09,9,1,8,True
BS-OPER-BKK-PKT-2567-10,OPER-BKK-PKT,2024-10,2567,10,9,1,8,True
BS-OPER-BKK-PKT-2567-11,OPER-BKK-PKT,2024-11,2567,11,9,1,8,True
BS-OPER-BKK-PKT-2567-12,OPER-BKK-PKT,2024-12,2567,12,9,1,8,True
BS-OPER-BKK-PKT-2568-01,OPER-BKK-PKT,2025-01,2568,01,9,1,8,True
BS-OPER-BKK-PKT-2568-02,OPER-BKK-PKT,2025-02,2568,02,8,1,7,True
BS-OPER-BKK-PKT-2568-03,OPER-BKK-PKT,2025-03,2568,03,9,1,8,True
BS-OPER-BKK-PKT-2568-04,OPER-BKK-PKT,2025-04,2568,04,4,1,3,True
BS-OPER-BKK-PKT-2568-05,OPER-BKK-PKT,2025-05,2568,05,9,1,8,True
BS-OPER-BKK-PKT-2568-06,OPER-BKK-PKT,2025-06,2568,06,9,1,8,True
BS-OPER-BKK-PKT-2568-07,OPER-BKK-PKT,2025-07,2568,07,9,1,8,True
BS-OPER-BKK-PKT-2568-08,OPER-BKK-PKT,2025-08,2568,08,9,1,8,True
BS-OPER-BKK-PKT-2568-09,OPER-BKK-PKT,2025-09,2568,09,9,1,8,True
BS-OPER-BKK-PKT-2568-10,OPER-BKK-PKT,2025-10,2568,10,9,1,8,True
BS-OPER-BKK-PKT-2568-11,OPER-BKK-PKT,2025-11,2568,11,9,1,8,True
BS-OPER-BKK-PKT-2568-12,OPER-BKK-PKT,2025-12,2568,12,9,1,8,True
BS-OPER-BKK-R9-2567-01,OPER-BKK-R9,2024-01,2567,01,4,1,3,True
BS-OPER-BKK-R9-2567-02,OPER-BKK-R9,2024-02,2567,02,4,1,3,True
BS-OPER-BKK-R9-2567-03,OPER-BKK-R9,2024-03,2567,03,4,1,3,True
BS-OPER-BKK-R9-2567-04,OPER-BKK-R9,2024-04,2567,04,4,1,3,True
BS-OPER-BKK-R9-2567-05,OPER-BKK-R9,2024-05,2567,05,4,1,3,True
BS-OPER-BKK-R9-2567-06,OPER-BKK-R9,2024-06,2567,06,4,1,3,True
BS-OPER-BKK-R9-2567-07,OPER-BKK-R9,2024-07,2567,07,4,1,3,True
BS-OPER-BKK-R9-2567-08,OPER-BKK-R9,2024-08,2567,08,4,1,3,True
BS-OPER-BKK-R9-2567-09,OPER-BKK-R9,2024-09,2567,09,4,1,3,True
BS-OPER-BKK-R9-2567-10,OPER-BKK-R9,2024-10,2567,10,4,1,3,True
BS-OPER-BKK-R9-2567-11,OPER-BKK-R9,2024-11,2567,11,4,1,3,True
BS-OPER-BKK-R9-2567-12,OPER-BKK-R9,2024-12,2567,12,4,1,3,True
BS-OPER-BKK-R9-2568-01,OPER-BKK-R9,2025-01,2568,01,4,1,3,True
BS-OPER-BKK-R9-2568-02,OPER-BKK-R9,2025-02,2568,02,4,1,3,True
BS-OPER-BKK-R9-2568-03,OPER-BKK-R9,2025-03,2568,03,4,1,3,True
BS-OPER-BKK-R9-2568-04,OPER-BKK-R9,2025-04,2568,04,3,1,2,True
BS-OPER-BKK-R9-2568-05,OPER-BKK-R9,2025-05,2568,05,4,1,3,True
BS-OPER-BKK-R9-2568-06,OPER-BKK-R9,2025-06,2568,06,4,1,3,True
BS-OPER-BKK-R9-2568-07,OPER-BKK-R9,2025-07,2568,07,4,1,3,True
BS-OPER-BKK-R9-2568-08,OPER-BKK-R9,2025-08,2568,08,4,1,3,True
BS-OPER-BKK-R9-2568-09,OPER-BKK-R9,2025-09,2568,09,4,1,3,True
BS-OPER-BKK-R9-2568-10,OPER-BKK-R9,2025-10,2568,10,4,1,3,True
BS-OPER-BKK-R9-2568-11,OPER-BKK-R9,2025-11,2568,11,4,1,3,True
BS-OPER-BKK-R9-2568-12,OPER-BKK-R9,2025-12,2568,12,4,1,3,True
BS-OPER-BKK-SIAM-2567-01,OPER-BKK-SIAM,2024-01,2567,01,9,1,8,True
BS-OPER-BKK-SIAM-2567-02,OPER-BKK-SIAM,2024-02,2567,02,9,1,8,True
BS-OPER-BKK-SIAM-2567-03,OPER-BKK-SIAM,2024-03,2567,03,9,1,8,True
BS-OPER-BKK-SIAM-2567-04,OPER-BKK-SIAM,2024-04,2567,04,8,1,7,True
BS-OPER-BKK-SIAM-2567-05,OPER-BKK-SIAM,2024-05,2567,05,9,1,8,True
BS-OPER-BKK-SIAM-2567-06,OPER-BKK-SIAM,2024-06,2567,06,9,1,8,True
BS-OPER-BKK-SIAM-2567-07,OPER-BKK-SIAM,2024-07,2567,07,9,1,8,True
BS-OPER-BKK-SIAM-2567-08,OPER-BKK-SIAM,2024-08,2567,08,9,1,8,True
BS-OPER-BKK-SIAM-2567-09,OPER-BKK-SIAM,2024-09,2567,09,9,1,8,True
BS-OPER-BKK-SIAM-2567-10,OPER-BKK-SIAM,2024-10,2567,10,9,1,8,True
BS-OPER-BKK-SIAM-2567-11,OPER-BKK-SIAM,2024-11,2567,11,9,1,8,True
BS-OPER-BKK-SIAM-2567-12,OPER-BKK-SIAM,2024-12,2567,12,9,1,8,True
BS-OPER-BKK-SIAM-2568-01,OPER-BKK-SIAM,2025-01,2568,01,9,1,8,True
BS-OPER-BKK-SIAM-2568-02,OPER-BKK-SIAM,2025-02,2568,02,8,1,7,True
BS-OPER-BKK-SIAM-2568-03,OPER-BKK-SIAM,2025-03,2568,03,9,1,8,True
BS-OPER-BKK-SIAM-2568-04,OPER-BKK-SIAM,2025-04,2568,04,8,1,7,True
BS-OPER-BKK-SIAM-2568-05,OPER-BKK-SIAM,2025-05,2568,05,9,1,8,True
BS-OPER-BKK-SIAM-2568-06,OPER-BKK-SIAM,2025-06,2568,06,9,1,8,True
BS-OPER-BKK-SIAM-2568-07,OPER-BKK-SIAM,2025-07,2568,07,9,1,8,True
BS-OPER-BKK-SIAM-2568-08,OPER-BKK-SIAM,2025-08,2568,08,9,1,8,True
BS-OPER-BKK-SIAM-2568-09,OPER-BKK-SIAM,2025-09,2568,09,9,1,8,True
BS-OPER-BKK-SIAM-2568-10,OPER-BKK-SIAM,2025-10,2568,10,9,1,8,True
BS-OPER-BKK-SIAM-2568-11,OPER-BKK-SIAM,2025-11,2568,11,9,1,8,True
BS-OPER-BKK-SIAM-2568-12,OPER-BKK-SIAM,2025-12,2568,12,9,1,8,True
BS-OPER-CNX-MAYA-2567-01,OPER-CNX-MAYA,2024-01,2567,01,9,1,8,True
BS-OPER-CNX-MAYA-2567-02,OPER-CNX-MAYA,2024-02,2567,02,9,1,8,True
BS-OPER-CNX-MAYA-2567-03,OPER-CNX-MAYA,2024-03,2567,03,9,1,8,True
BS-OPER-CNX-MAYA-2567-04,OPER-CNX-MAYA,2024-04,2567,04,7,1,6,True
BS-OPER-CNX-MAYA-2567-05,OPER-CNX-MAYA,2024-05,2567,05,9,1,8,True
BS-OPER-CNX-MAYA-2567-06,OPER-CNX-MAYA,2024-06,2567,06,8,1,7,True
BS-OPER-CNX-MAYA-2567-07,OPER-CNX-MAYA,2024-07,2567,07,9,1,8,True
BS-OPER-CNX-MAYA-2567-08,OPER-CNX-MAYA,2024-08,2567,08,9,1,8,True
BS-OPER-CNX-MAYA-2567-09,OPER-CNX-MAYA,2024-09,2567,09,9,1,8,True
BS-OPER-CNX-MAYA-2567-10,OPER-CNX-MAYA,2024-10,2567,10,9,1,8,True
BS-OPER-CNX-MAYA-2567-11,OPER-CNX-MAYA,2024-11,2567,11,8,1,7,True
BS-OPER-CNX-MAYA-2567-12,OPER-CNX-MAYA,2024-12,2567,12,9,1,8,True
BS-OPER-CNX-MAYA-2568-01,OPER-CNX-MAYA,2025-01,2568,01,8,1,7,True
BS-OPER-CNX-MAYA-2568-02,OPER-CNX-MAYA,2025-02,2568,02,8,1,7,True
BS-OPER-CNX-MAYA-2568-03,OPER-CNX-MAYA,2025-03,2568,03,9,1,8,True
BS-OPER-CNX-MAYA-2568-04,OPER-CNX-MAYA,2025-04,2568,04,7,1,6,True
BS-OPER-CNX-MAYA-2568-05,OPER-CNX-MAYA,2025-05,2568,05,9,1,8,True
BS-OPER-CNX-MAYA-2568-06,OPER-CNX-MAYA,2025-06,2568,06,9,1,8,True
BS-OPER-CNX-MAYA-2568-07,OPER-CNX-MAYA,2025-07,2568,07,9,1,8,True
BS-OPER-CNX-MAYA-2568-08,OPER-CNX-MAYA,2025-08,2568,08,9,1,8,True
BS-OPER-CNX-MAYA-2568-09,OPER-CNX-MAYA,2025-09,2568,09,9,1,8,True
BS-OPER-CNX-MAYA-2568-10,OPER-CNX-MAYA,2025-10,2568,10,9,1,8,True
BS-OPER-CNX-MAYA-2568-11,OPER-CNX-MAYA,2025-11,2568,11,8,1,7,True
BS-OPER-CNX-MAYA-2568-12,OPER-CNX-MAYA,2025-12,2568,12,9,1,8,True
BS-OPER-HKT-FEST-2567-01,OPER-HKT-FEST,2024-01,2567,01,4,1,3,True
BS-OPER-HKT-FEST-2567-02,OPER-HKT-FEST,2024-02,2567,02,4,1,3,True
BS-OPER-HKT-FEST-2567-03,OPER-HKT-FEST,2024-03,2567,03,4,1,3,True
BS-OPER-HKT-FEST-2567-04,OPER-HKT-FEST,2024-04,2567,04,4,1,3,True
BS-OPER-HKT-FEST-2567-05,OPER-HKT-FEST,2024-05,2567,05,4,1,3,True
BS-OPER-HKT-FEST-2567-06,OPER-HKT-FEST,2024-06,2567,06,4,1,3,True
BS-OPER-HKT-FEST-2567-07,OPER-HKT-FEST,2024-07,2567,07,4,1,3,True
BS-OPER-HKT-FEST-2567-08,OPER-HKT-FEST,2024-08,2567,08,4,1,3,True
BS-OPER-HKT-FEST-2567-09,OPER-HKT-FEST,2024-09,2567,09,4,1,3,True
BS-OPER-HKT-FEST-2567-10,OPER-HKT-FEST,2024-10,2567,10,4,1,3,True
BS-OPER-HKT-FEST-2567-11,OPER-HKT-FEST,2024-11,2567,11,4,1,3,True
BS-OPER-HKT-FEST-2567-12,OPER-HKT-FEST,2024-12,2567,12,4,1,3,True
BS-OPER-HKT-FEST-2568-01,OPER-HKT-FEST,2025-01,2568,01,4,1,3,True
BS-OPER-HKT-FEST-2568-02,OPER-HKT-FEST,2025-02,2568,02,4,1,3,True
BS-OPER-HKT-FEST-2568-03,OPER-HKT-FEST,2025-03,2568,03,4,1,3,True
BS-OPER-HKT-FEST-2568-04,OPER-HKT-FEST,2025-04,2568,04,3,1,2,True
BS-OPER-HKT-FEST-2568-05,OPER-HKT-FEST,2025-05,2568,05,4,1,3,True
BS-OPER-HKT-FEST-2568-06,OPER-HKT-FEST,2025-06,2568,06,4,1,3,True
BS-OPER-HKT-FEST-2568-07,OPER-HKT-FEST,2025-07,2568,07,4,1,3,True
BS-OPER-HKT-FEST-2568-08,OPER-HKT-FEST,2025-08,2568,08,4,1,3,True
BS-OPER-HKT-FEST-2568-09,OPER-HKT-FEST,2025-09,2568,09,4,1,3,True
BS-OPER-HKT-FEST-2568-10,OPER-HKT-FEST,2025-10,2568,10,4,1,3,True
BS-OPER-HKT-FEST-2568-11,OPER-HKT-FEST,2025-11,2568,11,4,1,3,True
BS-OPER-HKT-FEST-2568-12,OPER-HKT-FEST,2025-12,2568,12,4,1,3,True
BS-OPER-KKC-CTRL-2567-01,OPER-KKC-CTRL,2024-01,2567,01,8,1,7,True
BS-OPER-KKC-CTRL-2567-02,OPER-KKC-CTRL,2024-02,2567,02,7,1,6,True
BS-OPER-KKC-CTRL-2567-03,OPER-KKC-CTRL,2024-03,2567,03,8,1,7,True
BS-OPER-KKC-CTRL-2567-04,OPER-KKC-CTRL,2024-04,2567,04,7,1,6,True
BS-OPER-KKC-CTRL-2567-05,OPER-KKC-CTRL,2024-05,2567,05,8,1,7,True
BS-OPER-KKC-CTRL-2567-06,OPER-KKC-CTRL,2024-06,2567,06,8,1,7,True
BS-OPER-KKC-CTRL-2567-07,OPER-KKC-CTRL,2024-07,2567,07,8,1,7,True
BS-OPER-KKC-CTRL-2567-08,OPER-KKC-CTRL,2024-08,2567,08,8,1,7,True
BS-OPER-KKC-CTRL-2567-09,OPER-KKC-CTRL,2024-09,2567,09,8,1,7,True
BS-OPER-KKC-CTRL-2567-10,OPER-KKC-CTRL,2024-10,2567,10,8,1,7,True
BS-OPER-KKC-CTRL-2567-11,OPER-KKC-CTRL,2024-11,2567,11,8,1,7,True
BS-OPER-KKC-CTRL-2567-12,OPER-KKC-CTRL,2024-12,2567,12,8,1,7,True
BS-OPER-KKC-CTRL-2568-01,OPER-KKC-CTRL,2025-01,2568,01,8,1,7,True
BS-OPER-KKC-CTRL-2568-02,OPER-KKC-CTRL,2025-02,2568,02,7,1,6,True
BS-OPER-KKC-CTRL-2568-03,OPER-KKC-CTRL,2025-03,2568,03,8,1,7,True
BS-OPER-KKC-CTRL-2568-04,OPER-KKC-CTRL,2025-04,2568,04,7,1,6,True
BS-OPER-KKC-CTRL-2568-05,OPER-KKC-CTRL,2025-05,2568,05,8,1,7,True
BS-OPER-KKC-CTRL-2568-06,OPER-KKC-CTRL,2025-06,2568,06,8,1,7,True
BS-OPER-KKC-CTRL-2568-07,OPER-KKC-CTRL,2025-07,2568,07,8,1,7,True
BS-OPER-KKC-CTRL-2568-08,OPER-KKC-CTRL,2025-08,2568,08,7,1,6,True
BS-OPER-KKC-CTRL-2568-09,OPER-KKC-CTRL,2025-09,2568,09,8,1,7,True
BS-OPER-KKC-CTRL-2568-10,OPER-KKC-CTRL,2025-10,2568,10,8,1,7,True
BS-OPER-KKC-CTRL-2568-11,OPER-KKC-CTRL,2025-11,2568,11,8,1,7,True
BS-OPER-KKC-CTRL-2568-12,OPER-KKC-CTRL,2025-12,2568,12,9,1,8,True
BS-OPER-PTY-CTRL-2567-01,OPER-PTY-CTRL,2024-01,2567,01,9,1,8,True
BS-OPER-PTY-CTRL-2567-02,OPER-PTY-CTRL,2024-02,2567,02,8,1,7,True
BS-OPER-PTY-CTRL-2567-03,OPER-PTY-CTRL,2024-03,2567,03,9,1,8,True
BS-OPER-PTY-CTRL-2567-04,OPER-PTY-CTRL,2024-04,2567,04,7,1,6,True
BS-OPER-PTY-CTRL-2567-05,OPER-PTY-CTRL,2024-05,2567,05,9,1,8,True
BS-OPER-PTY-CTRL-2567-06,OPER-PTY-CTRL,2024-06,2567,06,8,1,7,True
BS-OPER-PTY-CTRL-2567-07,OPER-PTY-CTRL,2024-07,2567,07,9,1,8,True
BS-OPER-PTY-CTRL-2567-08,OPER-PTY-CTRL,2024-08,2567,08,9,1,8,True
BS-OPER-PTY-CTRL-2567-09,OPER-PTY-CTRL,2024-09,2567,09,8,1,7,True
BS-OPER-PTY-CTRL-2567-10,OPER-PTY-CTRL,2024-10,2567,10,9,1,8,True
BS-OPER-PTY-CTRL-2567-11,OPER-PTY-CTRL,2024-11,2567,11,9,1,8,True
BS-OPER-PTY-CTRL-2567-12,OPER-PTY-CTRL,2024-12,2567,12,9,1,8,True
BS-OPER-PTY-CTRL-2568-01,OPER-PTY-CTRL,2025-01,2568,01,9,1,8,True
BS-OPER-PTY-CTRL-2568-02,OPER-PTY-CTRL,2025-02,2568,02,8,1,7,True
BS-OPER-PTY-CTRL-2568-03,OPER-PTY-CTRL,2025-03,2568,03,9,1,8,True
BS-OPER-PTY-CTRL-2568-04,OPER-PTY-CTRL,2025-04,2568,04,8,1,7,True
BS-OPER-PTY-CTRL-2568-05,OPER-PTY-CTRL,2025-05,2568,05,9,1,8,True
BS-OPER-PTY-CTRL-2568-06,OPER-PTY-CTRL,2025-06,2568,06,9,1,8,True
BS-OPER-PTY-CTRL-2568-07,OPER-PTY-CTRL,2025-07,2568,07,9,1,8,True
BS-OPER-PTY-CTRL-2568-08,OPER-PTY-CTRL,2025-08,2568,08,9,1,8,True
BS-OPER-PTY-CTRL-2568-09,OPER-PTY-CTRL,2025-09,2568,09,9,1,8,True
BS-OPER-PTY-CTRL-2568-10,OPER-PTY-CTRL,2025-10,2568,10,9,1,8,True
BS-OPER-PTY-CTRL-2568-11,OPER-PTY-CTRL,2025-11,2568,11,8,1,7,True
BS-OPER-PTY-CTRL-2568-12,OPER-PTY-CTRL,2025-12,2568,12,9,1,8,True
BS-OPER-REMOTE-2567-01,OPER-REMOTE,2024-01,2567,01,3,1,2,True
BS-OPER-REMOTE-2567-02,OPER-REMOTE,2024-02,2567,02,3,1,2,True
BS-OPER-REMOTE-2567-03,OPER-REMOTE,2024-03,2567,03,3,1,2,True
BS-OPER-REMOTE-2567-04,OPER-REMOTE,2024-04,2567,04,3,1,2,True
BS-OPER-REMOTE-2567-05,OPER-REMOTE,2024-05,2567,05,3,1,2,True
BS-OPER-REMOTE-2567-06,OPER-REMOTE,2024-06,2567,06,3,1,2,True
BS-OPER-REMOTE-2567-07,OPER-REMOTE,2024-07,2567,07,3,1,2,True
BS-OPER-REMOTE-2567-08,OPER-REMOTE,2024-08,2567,08,3,1,2,True
BS-OPER-REMOTE-2567-09,OPER-REMOTE,2024-09,2567,09,3,1,2,True
BS-OPER-REMOTE-2567-10,OPER-REMOTE,2024-10,2567,10,4,1,3,True
BS-OPER-REMOTE-2567-11,OPER-REMOTE,2024-11,2567,11,3,1,2,True
BS-OPER-REMOTE-2567-12,OPER-REMOTE,2024-12,2567,12,3,1,2,True
BS-OPER-REMOTE-2568-01,OPER-REMOTE,2025-01,2568,01,3,1,2,True
BS-OPER-REMOTE-2568-02,OPER-REMOTE,2025-02,2568,02,3,1,2,True
BS-OPER-REMOTE-2568-03,OPER-REMOTE,2025-03,2568,03,3,1,2,True
BS-OPER-REMOTE-2568-04,OPER-REMOTE,2025-04,2568,04,3,1,2,True
BS-OPER-REMOTE-2568-05,OPER-REMOTE,2025-05,2568,05,3,1,2,True
BS-OPER-REMOTE-2568-06,OPER-REMOTE,2025-06,2568,06,3,1,2,True
