table,month,rows
FACT_WARRANTY_CLAIM,2025-09,178
FACT_WARRANTY_CLAIM,2025-10,192
FACT_WARRANTY_CLAIM,2025-11,162
FACT_WARRANTY_CLAIM,2025-12,187
FACT_CS_INTERACTION,2024-01,633
FACT_CS_INTERACTION,2024-02,572
FACT_CS_INTERACTION,2024-03,591
FACT_CS_INTERACTION,2024-04,498
FACT_CS_INTERACTION,2024-05,636
FACT_CS_INTERACTION,2024-06,601
FACT_CS_INTERACTION,2024-07,631
FACT_CS_INTERACTION,2024-08,673
FACT_CS_INTERACTION,2024-09,583
FACT_CS_INTERACTION,2024-10,620
FACT_CS_INTERACTION,2024-11,612
FACT_CS_INTERACTION,2024-12,585
FACT_CS_INTERACTION,2025-01,544
FACT_CS_INTERACTION,2025-02,464
FACT_CS_INTERACTION,2025-03,572
FACT_CS_INTERACTION,2025-04,509
FACT_CS_INTERACTION,2025-05,643
FACT_CS_INTERACTION,2025-06,601
FACT_CS_INTERACTION,2025-07,679
FACT_CS_INTERACTION,2025-08,603
FACT_CS_INTERACTION,2025-09,613
FACT_CS_INTERACTION,2025-10,672
FACT_CS_INTERACTION,2025-11,596
FACT_CS_INTERACTION,2025-12,637
FACT_PROMO_REDEMPTION,2024-11,267
FACT_PROMO_REDEMPTION,2024-12,349
FACT_PROMO_REDEMPTION,2025-07,43
FACT_PROMO_REDEMPTION,2025-11,442
FACT_PROMO_REDEMPTION,2025-12,482
FACT_LOYALTY_LEDGER,2024-01,3033
FACT_LOYALTY_LEDGER,2024-02,2859
FACT_LOYALTY_LEDGER,2024-03,3077
FACT_LOYALTY_LEDGER,2024-04,2655
FACT_LOYALTY_LEDGER,2024-05,3168
FACT_LOYALTY_LEDGER,2024-06,2989
FACT_LOYALTY_LEDGER,2024-07,3233
FACT_LOYALTY_LEDGER,2024-08,3417
FACT_LOYALTY_LEDGER,2024-09,3246
FACT_LOYALTY_LEDGER,2024-10,3393
FACT_LOYALTY_LEDGER,2024-11,3211
FACT_LOYALTY_LEDGER,2024-12,3523
FACT_LOYALTY_LEDGER,2025-01,6436
FACT_LOYALTY_LEDGER,2025-02,6030
FACT_LOYALTY_LEDGER,2025-03,6689
FACT_LOYALTY_LEDGER,2025-04,5725
FACT_LOYALTY_LEDGER,2025-05,7037
FACT_LOYALTY_LEDGER,2025-06,6590
FACT_LOYALTY_LEDGER,2025-07,7033
FACT_LOYALTY_LEDGER,2025-08,7108
FACT_LOYALTY_LEDGER,2025-09,6973
FACT_LOYALTY_LEDGER,2025-10,7233
FACT_LOYALTY_LEDGER,2025-11,6931
FACT_LOYALTY_LEDGER,2025-12,7268
FACT_BANK_TRANSACTION,2024-01,2190
FACT_BANK_TRANSACTION,2024-02,2367
FACT_BANK_TRANSACTION,2024-03,2717
FACT_BANK_TRANSACTION,2024-04,2516
FACT_BANK_TRANSACTION,2024-05,2749
FACT_BANK_TRANSACTION,2024-06,2700
FACT_BANK_TRANSACTION,2024-07,2842
FACT_BANK_TRANSACTION,2024-08,2835
FACT_BANK_TRANSACTION,2024-09,2770
FACT_BANK_TRANSACTION,2024-10,2844
FACT_BANK_TRANSACTION,2024-11,2760
FACT_BANK_TRANSACTION,2024-12,2845
FACT_BANK_TRANSACTION,2025-01,2773
FACT_BANK_TRANSACTION,2025-02,2580
FACT_BANK_TRANSACTION,2025-03,2820
FACT_BANK_TRANSACTION,2025-04,2533
FACT_BANK_TRANSACTION,2025-05,2825
FACT_BANK_TRANSACTION,2025-06,2686
FACT_BANK_TRANSACTION,2025-07,2915
FACT_BANK_TRANSACTION,2025-08,2749
FACT_BANK_TRANSACTION,2025-09,2784
FACT_BANK_TRANSACTION,2025-10,2936
FACT_BANK_TRANSACTION,2025-11,2729
FACT_BANK_TRANSACTION,2025-12,2869
FACT_VENDOR_PAYMENT,2024-01,33
FACT_VENDOR_PAYMENT,2024-02,33
FACT_VENDOR_PAYMENT,2024-03,33
FACT_VENDOR_PAYMENT,2024-04,33
FACT_VENDOR_PAYMENT,2024-05,33
FACT_VENDOR_PAYMENT,2024-06,33
FACT_VENDOR_PAYMENT,2024-07,33
FACT_VENDOR_PAYMENT,2024-08,34
FACT_VENDOR_PAYMENT,2024-09,33
FACT_VENDOR_PAYMENT,2024-10,34
FACT_VENDOR_PAYMENT,2024-11,35
FACT_VENDOR_PAYMENT,2024-12,34
FACT_VENDOR_PAYMENT,2025-01,35
FACT_VENDOR_PAYMENT,2025-02,34
FACT_VENDOR_PAYMENT,2025-03,35
FACT_VENDOR_PAYMENT,2025-04,34
FACT_VENDOR_PAYMENT,2025-05,36
FACT_VENDOR_PAYMENT,2025-06,33
FACT_VENDOR_PAYMENT,2025-07,34
FACT_VENDOR_PAYMENT,2025-08,33
FACT_VENDOR_PAYMENT,2025-09,34
FACT_VENDOR_PAYMENT,2025-10,34
FACT_VENDOR_PAYMENT,2025-11,33
FACT_VENDOR_PAYMENT,2025-12,33
FACT_PAYROLL,2024-01,600
FACT_PAYROLL,2024-02,600
FACT_PAYROLL,2024-03,600
FACT_PAYROLL,2024-04,600
FACT_PAYROLL,2024-05,600
FACT_PAYROLL,2024-06,600
FACT_PAYROLL,2024-07,600
FACT_PAYROLL,2024-08,600
FACT_PAYROLL,2024-09,600
FACT_PAYROLL,2024-10,600
FACT_PAYROLL,2024-11,600
FACT_PAYROLL,2024-12,600
FACT_PAYROLL,2025-01,600
FACT_PAYROLL,2025-02,600
FACT_PAYROLL,2025-03,600
FACT_PAYROLL,2025-04,600
FACT_PAYROLL,2025-05,600
FACT_PAYROLL,2025-06,600
FACT_PAYROLL,2025-07,600
FACT_PAYROLL,2025-08,600
FACT_PAYROLL,2025-09,600
FACT_PAYROLL,2025-10,600
FACT_PAYROLL,2025-11,600
FACT_PAYROLL,2025-12,600
FACT_INVENTORY_MOVEMENT,2024-01,13691
FACT_INVENTORY_MOVEMENT,2024-02,12097
FACT_INVENTORY_MOVEMENT,2024-03,12682
FACT_INVENTORY_MOVEMENT,2024-04,10959
FACT_INVENTORY_MOVEMENT,2024-05,13555
FACT_INVENTORY_MOVEMENT,2024-06,12766
FACT_INVENTORY_MOVEMENT,2024-07,13225
FACT_INVENTORY_MOVEMENT,2024-08,13795
FACT_INVENTORY_MOVEMENT,2024-09,13055
FACT_INVENTORY_MOVEMENT,2024-10,13293
FACT_INVENTORY_MOVEMENT,2024-11,13148
FACT_INVENTORY_MOVEMENT,2024-12,13907
FACT_INVENTORY_MOVEMENT,2025-01,12994
FACT_INVENTORY_MOVEMENT,2025-02,11807
FACT_INVENTORY_MOVEMENT,2025-03,13621
FACT_INVENTORY_MOVEMENT,2025-04,11037
FACT_INVENTORY_MOVEMENT,2025-05,13106
FACT_INVENTORY_MOVEMENT,2025-06,12794
FACT_INVENTORY_MOVEMENT,2025-07,13169
FACT_INVENTORY_MOVEMENT,2025-08,13469
FACT_INVENTORY_MOVEMENT,2025-09,12932
FACT_INVENTORY_MOVEMENT,2025-10,13515
FACT_INVENTORY_MOVEMENT,2025-11,12851
FACT_INVENTORY_MOVEMENT,2025-12,13359
FACT_INVENTORY_MONTHLY_SNAPSHOT,2024-01,1090
FACT_INVENTORY_MONTHLY_SNAPSHOT,2024-02,1090
FACT_INVENTORY_MONTHLY_SNAPSHOT,2024-03,1090
FACT_INVENTORY_MONTHLY_SNAPSHOT,2024-04,1090
FACT_INVENTORY_MONTHLY_SNAPSHOT,2024-05,1090
FACT_INVENTORY_MONTHLY_SNAPSHOT,2024-06,1090
FACT_INVENTORY_MONTHLY_SNAPSHOT,2024-07,1090
FACT_INVENTORY_MONTHLY_SNAPSHOT,2024-08,1090
FACT_INVENTORY_MONTHLY_SNAPSHOT,2024-09,1090
FACT_INVENTORY_MONTHLY_SNAPSHOT,2024-10,1090
FACT_INVENTORY_MONTHLY_SNAPSHOT,2024-11,1090
FACT_INVENTORY_MONTHLY_SNAPSHOT,2024-12,1090
FACT_INVENTORY_MONTHLY_SNAPSHOT,2025-01,1090
FACT_INVENTORY_MONTHLY_SNAPSHOT,2025-02,1090
FACT_INVENTORY_MONTHLY_SNAPSHOT,2025-03,1090
FACT_INVENTORY_MONTHLY_SNAPSHOT,2025-04,1090
FACT_INVENTORY_MONTHLY_SNAPSHOT,2025-05,1090
FACT_INVENTORY_MONTHLY_SNAPSHOT,2025-06,1090
FACT_INVENTORY_MONTHLY_SNAPSHOT,2025-07,1100
FACT_INVENTORY_MONTHLY_SNAPSHOT,2025-08,1100
FACT_INVENTORY_MONTHLY_SNAPSHOT,2025-09,1100
FACT_INVENTORY_MONTHLY_SNAPSHOT,2025-10,1100
FACT_INVENTORY_MONTHLY_SNAPSHOT,2025-11,1100
FACT_INVENTORY_MONTHLY_SNAPSHOT,2025-12,1100
FACT_SHIPPING,2024-01,977
FACT_SHIPPING,2024-02,915
FACT_SHIPPING,2024-03,932
FACT_SHIPPING,2024-04,893
FACT_SHIPPING,2024-05,991
FACT_SHIPPING,2024-06,962
FACT_SHIPPING,2024-07,959
FACT_SHIPPING,2024-08,985
FACT_SHIPPING,2024-09,984
FACT_SHIPPING,2024-10,984
FACT_SHIPPING,2024-11,971
FACT_SHIPPING,2024-12,1012
FACT_SHIPPING,2025-01,1001
FACT_SHIPPING,2025-02,901
FACT_SHIPPING,2025-03,1012
FACT_SHIPPING,2025-04,903
FACT_SHIPPING,2025-05,976
FACT_SHIPPING,2025-06,941
FACT_SHIPPING,2025-07,948
FACT_SHIPPING,2025-08,991
FACT_SHIPPING,2025-09,933
FACT_SHIPPING,2025-10,1030
FACT_SHIPPING,2025-11,964
FACT_SHIPPING,2025-12,1017
