table,column,unique_values,null_rows,top_values
DIM_BRANCH,employee_headcount_share_pct,7,0,0.06: 3 | 0.05: 2 | 0.07: 2 | 0.08: 1 | 0.18: 1 | 0.04: 1 | 0.2: 1
DIM_BRANCH,is_service_center,2,0,True: 8 | False: 3
DIM_BRANCH,name_en,11,0,Bangkok Ratchada 9 HQ: 1 | FahMai Siam: 1 | FahMai Phuket Road: 1 | FahMai Central World: 1 | FahMai Chiang Mai Maya: 1 | FahMai Phuket Festival: 1 | FahMai Khon Kaen Central: 1 | FahMai Udon Central: 1 | FahMai EM Sphere: 1 | FahMai Pattaya Central: 1 | Remote / Online: 1
DIM_BRANCH,name_th,11,0,HQ Ratchada 9: 1 | FahMai Siam: 1 | FahMai Phuket Road: 1 | FahMai Central World: 1 | FahMai Chiang Mai Maya: 1 | FahMai Phuket Festival: 1 | FahMai Khon Kaen Central: 1 | FahMai Udon Central: 1 | FahMai EM Sphere: 1 | FahMai Pattaya Central: 1 | Remote / Online: 1
DIM_BRANCH,retail_floor_coefficient,6,0,1.0: 6 | 0.2: 1 | 1.2: 1 | 0.9: 1 | 1.3: 1 | 0.0: 1
DIM_BRANCH,traffic_share_pct,8,0,0.08: 2 | 0.1: 2 | 0.09: 2 | 0.16: 1 | 0.12: 1 | 0.07: 1 | 0.06: 1 | 0.05: 1
DIM_CUSTOMER,account_manager_id,1,29700,"<NULL>: 29,700 | EMP-L3-00002: 300"
DIM_CUSTOMER,b2b_subtype,2,29700,"<NULL>: 29,700 | SME: 150 | Enterprise: 150"
DIM_CUSTOMER,channel_pref,2,0,"mixed: 29,700 | offline: 300"
DIM_CUSTOMER,customer_type,2,0,"B2C: 29,700 | B2B: 300"
DIM_CUSTOMER,gender,2,300,"M: 15,000 | F: 14,700 | <NULL>: 300"
DIM_CUSTOMER,loyalty_tier,4,0,"none: 7,800 | gold: 7,500 | platinum: 7,500 | silver: 7,200"
DIM_CUSTOMER,payment_terms,2,29700,"<NULL>: 29,700 | NET-30: 150 | NET-60: 150"
DIM_CUSTOMER,province,1,0,"Bangkok: 30,000"
DIM_CUSTOMER,region,1,0,"BKK: 30,000"
DIM_CUSTOMER,signup_date,2,0,"2024-01-05: 29,700 | 2024-02-01: 300"
DIM_CUSTOMER,uses_line_oa,2,0,"True: 19,800 | False: 10,200"
DIM_DATE,day_of_week,7,0,1: 105 | 2: 105 | 3: 105 | 4: 104 | 5: 104 | 6: 104 | 7: 104
DIM_DATE,fiscal_quarter,4,0,4: 184 | 3: 184 | 2: 182 | 1: 181
DIM_DATE,fiscal_year,2,0,2567: 366 | 2568: 365
DIM_DATE,holiday_name,0,731,<NULL>: 731
DIM_DATE,is_thai_public_holiday,1,0,False: 731
DIM_DEPARTMENT,dept_code,9,0,CEO: 1 | B2B: 1 | SUP: 1 | RET: 1 | FIN: 1 | MKT: 1 | HR: 1 | OPS: 1 | SF: 1
DIM_DEPARTMENT,dept_name_en,9,0,Executive: 1 | B2B: 1 | Customer Support: 1 | Retail: 1 | Finance: 1 | Marketing: 1 | Human Resources: 1 | Operations: 1 | SaiFah Division: 1
DIM_DEPARTMENT,dept_name_th,9,0,Executive: 1 | B2B: 1 | Customer Support: 1 | Retail: 1 | Finance: 1 | Marketing: 1 | Human Resources: 1 | Operations: 1 | SaiFah Division: 1
DIM_DEPARTMENT,dept_type,2,0,corporate: 8 | product_division: 1
DIM_EMPLOYEE,branch_code,1,0,BKK-R9: 600
DIM_EMPLOYEE,canon_role_label,3,597,<NULL>: 597 | Founder & CEO: 1 | Board Chair: 1 | Incoming CEO: 1
DIM_EMPLOYEE,dept_code,9,0,RET: 100 | MKT: 99 | B2B: 99 | SUP: 99 | FIN: 99 | OPS: 99 | CEO: 3 | HR: 1 | SF: 1
DIM_EMPLOYEE,employment_type,1,0,FT: 600
DIM_EMPLOYEE,hire_date,1,0,2023-01-01: 600
DIM_EMPLOYEE,is_canon_leader,2,0,False: 597 | True: 3
DIM_EMPLOYEE,last_name_en,14,0,Member: 587 | Leelawong: 1 | Lead: 1 | Retail: 1 | Approver: 1 | Account: 1 | Promo: 1 | People: 1 | Product: 1 | Logistics: 1 | Support: 1 | Cashier: 1 | Chairman: 1 | Vision: 1
DIM_EMPLOYEE,last_name_th,14,0,Member: 587 | Leelawong: 1 | Lead: 1 | Retail: 1 | Approver: 1 | Account: 1 | Promo: 1 | People: 1 | Product: 1 | Logistics: 1 | Support: 1 | Cashier: 1 | Chairman: 1 | Vision: 1
DIM_EMPLOYEE,phone,0,600,<NULL>: 600
DIM_EMPLOYEE,position_level,4,0,IC: 589 | Manager: 6 | C-level: 3 | Director: 2
DIM_EMPLOYEE,position_title,18,0,MKT Staff: 98 | FIN Staff: 98 | OPS Staff: 98 | RET Staff: 98 | B2B Staff: 98 | SUP Staff: 97 | CEO: 2 | B2B Account Manager: 1 | CS Lead: 1 | Retail Director: 1 | CS Agent: 1 | SF Division Director: 1 | Operations Manager: 1 | HR Manager: 1 | Marketing Manager: 1
DIM_EMPLOYEE,reports_to_employee_id,8,2,EMP-L3-00004: 99 | EMP-L3-00005: 98 | EMP-L3-00003: 98 | EMP-L3-00008: 98 | EMP-L3-00002: 98 | EMP-L3-00006: 98 | EMP-L3-00001: 8 | <NULL>: 2 | EMP-L3-00012: 1
DIM_EMPLOYEE,section,0,600,<NULL>: 600
DIM_EMPLOYEE,status,1,0,active: 600
DIM_EMPLOYEE,termination_date,0,600,<NULL>: 600
DIM_EMPLOYEE,termination_reason,0,600,<NULL>: 600
DIM_EMPLOYEE,unit,0,600,<NULL>: 600
DIM_POLICY_VERSION,effective_date,7,0,2024-01-01: 5 | 2025-04-01: 2 | 2025-03-01: 1 | 2025-02-15: 1 | 2025-05-01: 1 | 2025-06-01: 1 | 2025-03-15: 1
DIM_POLICY_VERSION,end_date,4,7,<NULL>: 7 | 2025-04-01: 2 | 2025-03-01: 1 | 2025-02-15: 1 | 2025-03-15: 1
DIM_POLICY_VERSION,policy_class,6,0,return: 2 | membership: 2 | signing_authority: 2 | warranty: 2 | shipping: 2 | refund: 2
DIM_POLICY_VERSION,policy_doc_filename,0,12,<NULL>: 12
DIM_POLICY_VERSION,policy_value_table_ref,2,9,<NULL>: 9 | dim_signing_authority_ladder: 2 | dim_care_plus_sku_tier: 1
DIM_POLICY_VERSION,policy_variable,7,0,return_window_days: 2 | point_earning_rate_per_thb: 2 | refund_signing_authority_ladder: 2 | refund_threshold_thb: 2 | free_shipping_threshold_thb: 2 | warranty_routing: 1 | care_plus_sku_tier_table: 1
DIM_POLICY_VERSION,policy_version_id,12,0,1: 1 | 2: 1 | 3: 1 | 4: 1 | 5: 1 | 6: 1 | 7: 1 | 8: 1 | 9: 1 | 10: 1 | 11: 1 | 12: 1
DIM_POLICY_VERSION,scope_filter,1,0,global: 12
DIM_POLICY_VERSION,value_numeric,8,4,<NULL>: 4 | 14.0: 1 | 21.0: 1 | 0.01: 1 | 0.0125: 1 | 500.0: 1 | 199.0: 1 | 2000.0: 1 | 5000.0: 1
DIM_POLICY_VERSION,value_text,1,11,<NULL>: 11 | novatech_service: 1
DIM_POSITION_LEVEL,default_signing_authority_thb,6,0,0.0: 1 | 25000.0: 1 | 100000.0: 1 | 500000.0: 1 | 1000000.0: 1 | 5000000.0: 1
DIM_POSITION_LEVEL,position_level_code,6,0,IC: 1 | Lead: 1 | Manager: 1 | Director: 1 | VP: 1 | C-level: 1
DIM_POSITION_LEVEL,rank,6,0,1: 1 | 2: 1 | 3: 1 | 4: 1 | 5: 1 | 6: 1
DIM_PRODUCT,brand_family,6,0,FahMai: 56 | NovaTech: 50 | SaiFah: 1 | ArcWave: 1 | WatchKit: 1 | Dawn: 1
DIM_PRODUCT,care_plus_eligible,2,0,False: 106 | True: 4
DIM_PRODUCT,category,4,0,smartphone: 28 | laptop: 28 | monitor: 27 | smartwatch: 27
DIM_PRODUCT,dept_code,1,109,<NULL>: 109 | SF: 1
DIM_PRODUCT,end_of_life_date,0,110,<NULL>: 110
DIM_PRODUCT,is_third_party,2,0,False: 60 | True: 50
DIM_PRODUCT,launch_date,3,0,2023-01-01: 106 | 2024-01-01: 3 | 2025-07-15: 1
DIM_PRODUCT,msrp_thb,13,0,12900.0: 14 | 55900.0: 13 | 24900.0: 13 | 29900.0: 13 | 8500.0: 13 | 18900.0: 13 | 6900.0: 13 | 4900.0: 13 | 42900.0: 1 | 5900.0: 1 | 16900.0: 1 | 38900.0: 1 | 84900.0: 1
DIM_PRODUCT,msrp_tier,3,0,10K-30K: 54 | <10K: 40 | >=30K: 16
DIM_PRODUCT,subcategory,2,0,flagship: 56 | midrange: 54
DIM_PRODUCT,vendor_id,2,60,<NULL>: 60 | V-001: 35 | V-002: 15
DIM_PRODUCT,warranty_months,3,0,24: 108 | 36: 1 | 12: 1
DIM_PROMO_CAMPAIGN,campaign_id,7,0,SF-LAUNCH-2568: 1 | MEGA-1111-2567: 1 | MEGA-1212-2567: 1 | MEGA-1111-2568: 1 | MEGA-1212-2568: 1 | CLEAR-EOY-2567: 1 | CLEAR-EOY-2568: 1
DIM_PROMO_CAMPAIGN,description_en,7,0,SF Galaxy Pro 2568 launch promo: 1 | 11.11 Mega Sale 2567: 1 | 12.12 Mega Sale 2567: 1 | 11.11 Mega Sale 2568: 1 | 12.12 Mega Sale 2568: 1 | Year-end Clearance 2567: 1 | Year-end Clearance 2568: 1
DIM_PROMO_CAMPAIGN,description_th,7,0,SF Galaxy Pro 2568 launch promo: 1 | 11.11 มหกรรมลดราคา 2567: 1 | 12.12 มหกรรมลดราคา 2567: 1 | 11.11 มหกรรมลดราคา 2568: 1 | 12.12 มหกรรมลดราคา 2568: 1 | เคลียร์สต็อกสิ้นปี 2567: 1 | เคลียร์สต็อกสิ้นปี 2568: 1
DIM_PROMO_CAMPAIGN,end_timestamp,7,0,2025-07-31T23:59:59+07:00: 1 | 2024-11-12T23:59:59+07:00: 1 | 2024-12-13T23:59:59+07:00: 1 | 2025-11-12T23:59:59+07:00: 1 | 2025-12-13T23:59:59+07:00: 1 | 2024-12-31T23:59:59+07:00: 1 | 2025-12-31T23:59:59+07:00: 1
DIM_PROMO_CAMPAIGN,scope_filter,3,0,"all: 4 | sku-list:[DN-LT-010,WK-SW-004,AW-MN-001]: 2 | sku-list:[SF-Galaxy-Pro-2568]: 1"
DIM_PROMO_CAMPAIGN,start_timestamp,7,0,2025-07-15T00:00:00+07:00: 1 | 2024-11-11T00:00:00+07:00: 1 | 2024-12-12T00:00:00+07:00: 1 | 2025-11-10T00:00:00+07:00: 1 | 2025-12-11T00:00:00+07:00: 1 | 2024-12-20T00:00:00+07:00: 1 | 2025-12-20T00:00:00+07:00: 1
DIM_VENDOR,category,3,0,logistics: 3 | consumer_brand: 2 | payments: 1
DIM_VENDOR,end_date,1,5,<NULL>: 5 | 2025-03-31: 1
DIM_VENDOR,invoice_cadence,2,0,monthly: 3 | weekly: 3
DIM_VENDOR,is_component_supplier,1,0,False: 6
DIM_VENDOR,is_partner_brand,2,0,False: 4 | True: 2
DIM_VENDOR,name_en,6,0,NovaTech: 1 | NovaTech Service: 1 | VeloShip: 1 | PayWise: 1 | LegacyShip: 1 | NorthernShip: 1
DIM_VENDOR,name_th,6,0,NovaTech: 1 | NovaTech Service: 1 | VeloShip: 1 | PayWise: 1 | LegacyShip: 1 | NorthernShip: 1
DIM_VENDOR,payment_terms,2,0,NET-30: 3 | NET-15: 3
DIM_VENDOR,role,4,0,carrier: 3 | partner_brand: 1 | warranty_partner: 1 | processor: 1
DIM_VENDOR,start_date,2,0,2023-01-01: 5 | 2025-04-01: 1
DIM_VENDOR,vendor_id,6,0,V-001: 1 | V-002: 1 | V-006: 1 | V-013: 1 | V-014: 1 | V-018: 1
DIM_VENDOR_CONTRACT_VERSION,amendment_summary,13,6,<NULL>: 6 | Compliance amendment: 3 | Peak-season surcharge: 2 | Fee-floor amendment: 1 | Warranty service carve: 1 | Yearly rate ladder: 1 | Parts pricing update: 1 | Mid-year rate update: 1 | Extended SLA terms: 1 | Price update: 1 | Warranty extension: 1 | Final extension: 1 | Termination amendment: 1 | Rate-card update: 1
DIM_VENDOR_CONTRACT_VERSION,contract_pdf_filename,22,0,contracts/V-013-v1.pdf: 1 | contracts/V-013-v2.pdf: 1 | contracts/V-013-v3.pdf: 1 | contracts/V-013-v4.pdf: 1 | contracts/V-002-v1.pdf: 1 | contracts/V-002-v2.pdf: 1 | contracts/V-002-v3.pdf: 1 | contracts/V-002-v4.pdf: 1 | contracts/V-006-v1.pdf: 1 | contracts/V-006-v2.pdf: 1 | contracts/V-006-v3.pdf: 1 | contracts/V-006-v4.pdf: 1 | contracts/V-001-v1.pdf: 1 | contracts/V-001-v2.pdf: 1 | contracts/V-001-v3.pdf: 1
DIM_VENDOR_CONTRACT_VERSION,contract_version_id,22,0,1: 1 | 2: 1 | 3: 1 | 4: 1 | 5: 1 | 6: 1 | 7: 1 | 8: 1 | 9: 1 | 10: 1 | 11: 1 | 12: 1 | 13: 1 | 14: 1 | 15: 1
DIM_VENDOR_CONTRACT_VERSION,effective_date,12,0,2024-01-01: 5 | 2025-04-01: 4 | 2025-10-01: 3 | 2024-09-01: 2 | 2025-07-01: 1 | 2025-06-01: 1 | 2025-12-01: 1 | 2025-09-01: 1 | 2024-07-01: 1 | 2025-02-01: 1 | 2025-08-01: 1 | 2025-11-01: 1
DIM_VENDOR_CONTRACT_VERSION,end_date,12,5,<NULL>: 5 | 2025-04-01: 3 | 2025-10-01: 3 | 2024-09-01: 2 | 2025-07-01: 1 | 2025-06-01: 1 | 2025-09-01: 1 | 2025-12-01: 1 | 2024-07-01: 1 | 2025-02-01: 1 | 2025-03-31: 1 | 2025-08-01: 1 | 2025-11-01: 1
DIM_VENDOR_CONTRACT_VERSION,vendor_id,6,0,V-013: 4 | V-002: 4 | V-006: 4 | V-001: 4 | V-014: 3 | V-018: 3
DIM_VENDOR_CONTRACT_VERSION,version_number,4,0,1: 6 | 2: 6 | 3: 6 | 4: 4
FACT_BANK_TRANSACTION,account_id,14,0,"KBANK-OPER: 37,007 | OPER-BKK-SIAM: 2,838 | OPER-BKK-CTW: 2,774 | OPER-BKK-EMSP: 2,714 | OPER-PTY-CTRL: 2,671 | OPER-CNX-MAYA: 2,668 | OPER-BKK-PKT: 2,666 | OPER-BKK-R9: 2,625 | OPER-HKT-FEST: 2,565 | OPER-KKC-CTRL: 2,416 | OPER-UDN-CTRL: 2,271 | OPER-REMOTE: 2,071 | SCB-OPER: 24 | BBL-OPER: 24"
FACT_BANK_TRANSACTION,as_of_date,1,0,"2026-01-15: 65,334"
FACT_BANK_TRANSACTION,effective_date,0,65334,"<NULL>: 65,334"
FACT_BANK_TRANSACTION,related_entity_table,6,144,"FACT_SALES_DEPOSIT_BATCH: 28,279 | FACT_PAYROLL: 14,400 | FACT_SALES: 13,313 | FACT_REFUND_PAID: 7,134 | FACT_LOYALTY_LEDGER: 1,255 | FACT_VENDOR_PAYMENT: 809 | <NULL>: 144"
FACT_BANK_TRANSACTION,transaction_type,4,0,"deposit: 41,592 | withdrawal: 23,598 | transfer: 96 | fee: 48"
FACT_CS_INTERACTION,as_of_date,1,0,"2026-01-15: 14,368"
FACT_CS_INTERACTION,branch_code,1,0,"BKK-R9: 14,368"
FACT_CS_INTERACTION,channel,2,0,"in_person: 10,993 | line_oa: 3,375"
FACT_CS_INTERACTION,effective_date,0,14368,"<NULL>: 14,368"
FACT_CS_INTERACTION,interaction_type,3,0,"refund_request: 7,080 | warranty_claim: 3,913 | chat_general: 3,375"
FACT_CS_INTERACTION,resolution_type,2,0,"open: 7,288 | resolved: 7,080"
FACT_INVENTORY_MONTHLY_SNAPSHOT,as_of_date,1,0,"2026-01-15: 26,220"
FACT_INVENTORY_MONTHLY_SNAPSHOT,branch_code,10,0,"BKK-R9: 2,622 | BKK-SIAM: 2,622 | BKK-PKT: 2,622 | BKK-CTW: 2,622 | CNX-MAYA: 2,622 | HKT-FEST: 2,622 | KKC-CTRL: 2,622 | UDN-CTRL: 2,622 | BKK-EMSP: 2,622 | PTY-CTRL: 2,622"
FACT_INVENTORY_MONTHLY_SNAPSHOT,business_event_date,24,0,"2025-11-30: 1,100 | 2025-12-31: 1,100 | 2025-08-31: 1,100 | 2025-07-31: 1,100 | 2025-10-31: 1,100 | 2025-09-30: 1,100 | 2024-01-31: 1,090 | 2024-02-29: 1,090 | 2024-08-31: 1,090 | 2024-07-31: 1,090 | 2024-06-30: 1,090 | 2024-05-31: 1,090 | 2024-04-30: 1,090 | 2024-03-31: 1,090 | 2024-09-30: 1,090"
FACT_INVENTORY_MONTHLY_SNAPSHOT,effective_date,0,26220,"<NULL>: 26,220"
FACT_INVENTORY_MONTHLY_SNAPSHOT,month_end_date,24,0,"2025-11-30: 1,100 | 2025-12-31: 1,100 | 2025-08-31: 1,100 | 2025-07-31: 1,100 | 2025-10-31: 1,100 | 2025-09-30: 1,100 | 2024-01-31: 1,090 | 2024-02-29: 1,090 | 2024-08-31: 1,090 | 2024-07-31: 1,090 | 2024-06-30: 1,090 | 2024-05-31: 1,090 | 2024-04-30: 1,090 | 2024-03-31: 1,090 | 2024-09-30: 1,090"
FACT_INVENTORY_MONTHLY_SNAPSHOT,posting_date,24,0,"2025-11-30: 1,100 | 2025-12-31: 1,100 | 2025-08-31: 1,100 | 2025-07-31: 1,100 | 2025-10-31: 1,100 | 2025-09-30: 1,100 | 2024-01-31: 1,090 | 2024-02-29: 1,090 | 2024-08-31: 1,090 | 2024-07-31: 1,090 | 2024-06-30: 1,090 | 2024-05-31: 1,090 | 2024-04-30: 1,090 | 2024-03-31: 1,090 | 2024-09-30: 1,090"
FACT_INVENTORY_MOVEMENT,as_of_date,1,0,"2026-01-15: 310,827"
FACT_INVENTORY_MOVEMENT,branch_code,11,0,"BKK-SIAM: 50,434 | BKK-CTW: 37,678 | BKK-PKT: 31,921 | BKK-EMSP: 31,899 | PTY-CTRL: 28,789 | CNX-MAYA: 28,753 | BKK-R9: 25,079 | HKT-FEST: 22,364 | KKC-CTRL: 19,241 | REMOTE: 18,491 | UDN-CTRL: 16,178"
FACT_INVENTORY_MOVEMENT,effective_date,0,310827,"<NULL>: 310,827"
FACT_INVENTORY_MOVEMENT,movement_type,4,0,"sale: 304,817 | transfer_out: 2,400 | transfer_in: 2,400 | opening_balance: 1,210"
FACT_LOYALTY_LEDGER,as_of_date,1,0,"2026-01-15: 118,857"
FACT_LOYALTY_LEDGER,effective_date,0,118857,"<NULL>: 118,857"
FACT_LOYALTY_LEDGER,event_type,4,0,"earned: 74,102 | expired: 37,183 | tier_change: 6,317 | redeemed: 1,255"
FACT_LOYALTY_LEDGER,resulting_tier,4,0,"gold: 39,874 | silver: 38,655 | platinum: 38,249 | none: 2,079"
FACT_PAYROLL,as_of_date,1,0,"2026-01-15: 14,400"
FACT_PAYROLL,business_event_date,24,0,2024-01-31: 600 | 2024-02-29: 600 | 2024-03-31: 600 | 2024-04-30: 600 | 2024-05-31: 600 | 2024-06-30: 600 | 2024-07-31: 600 | 2024-08-31: 600 | 2024-09-30: 600 | 2024-10-31: 600 | 2024-11-30: 600 | 2024-12-31: 600 | 2025-01-31: 600 | 2025-02-28: 600 | 2025-03-31: 600
FACT_PAYROLL,effective_date,0,14400,"<NULL>: 14,400"
FACT_PAYROLL,employment_status_at_period_end,1,0,"active: 14,400"
FACT_PAYROLL,gross_pay_thb,1,0,"42000.0: 14,400"
FACT_PAYROLL,net_pay_thb,1,0,"39150.0: 14,400"
FACT_PAYROLL,pay_period_end,24,0,2024-01-31: 600 | 2024-02-29: 600 | 2024-03-31: 600 | 2024-04-30: 600 | 2024-05-31: 600 | 2024-06-30: 600 | 2024-07-31: 600 | 2024-08-31: 600 | 2024-09-30: 600 | 2024-10-31: 600 | 2024-11-30: 600 | 2024-12-31: 600 | 2025-01-31: 600 | 2025-02-28: 600 | 2025-03-31: 600
FACT_PAYROLL,pay_period_start,24,0,2024-01-01: 600 | 2024-02-01: 600 | 2024-03-01: 600 | 2024-04-01: 600 | 2024-05-01: 600 | 2024-06-01: 600 | 2024-07-01: 600 | 2024-08-01: 600 | 2024-09-01: 600 | 2024-10-01: 600 | 2024-11-01: 600 | 2024-12-01: 600 | 2025-01-01: 600 | 2025-02-01: 600 | 2025-03-01: 600
FACT_PAYROLL,posting_date,24,0,2024-01-31: 600 | 2024-02-29: 600 | 2024-03-31: 600 | 2024-04-30: 600 | 2024-05-31: 600 | 2024-06-30: 600 | 2024-07-31: 600 | 2024-08-31: 600 | 2024-09-30: 600 | 2024-10-31: 600 | 2024-11-30: 600 | 2024-12-31: 600 | 2025-01-31: 600 | 2025-02-28: 600 | 2025-03-31: 600
FACT_PAYROLL,social_security_thb,1,0,"750.0: 14,400"
FACT_PAYROLL,tax_deduction_thb,1,0,"2100.0: 14,400"
FACT_PROMO_REDEMPTION,as_of_date,1,0,"2026-01-15: 1,583"
FACT_PROMO_REDEMPTION,campaign_id,7,0,MEGA-1111-2568: 442 | MEGA-1212-2568: 402 | MEGA-1111-2567: 267 | MEGA-1212-2567: 262 | CLEAR-EOY-2567: 87 | CLEAR-EOY-2568: 80 | SF-LAUNCH-2568: 43
FACT_PROMO_REDEMPTION,channel,3,0,"offline: 1,436 | online: 143 | app: 4"
FACT_PROMO_REDEMPTION,effective_date,0,1583,"<NULL>: 1,583"
FACT_REFUND_PAID,approver_employee_id,3,0,"EMP-L3-00005: 7,116 | EMP-L3-00010: 14 | EMP-L3-00008: 4"
FACT_REFUND_PAID,as_of_date,1,0,"2026-01-15: 7,134"
FACT_REFUND_PAID,cosig_employee_id,0,7134,"<NULL>: 7,134"
FACT_REFUND_PAID,cs_interaction_id,0,7134,"<NULL>: 7,134"
FACT_REFUND_PAID,effective_date,0,7134,"<NULL>: 7,134"
FACT_REFUND_PAID,refund_amount_thb,28,0,8500.0: 988 | 12900.0: 924 | 29900.0: 912 | 55900.0: 863 | 4900.0: 854 | 24900.0: 818 | 6900.0: 747 | 18900.0: 731 | 42900.0: 98 | 5900.0: 56 | 84900.0: 56 | 16900.0: 51 | 38900.0: 18 | 3500.0: 2 | 5500.0: 2
FACT_RETURN,approved_by_employee_id,2,0,"EMP-L3-00005: 7,080 | EMP-L3-00010: 64"
FACT_RETURN,as_of_date,1,0,"2026-01-15: 7,144"
FACT_RETURN,branch_code,11,0,"BKK-SIAM: 1,135 | BKK-CTW: 872 | BKK-EMSP: 723 | BKK-PKT: 721 | PTY-CTRL: 644 | CNX-MAYA: 635 | REMOTE: 629 | BKK-R9: 542 | HKT-FEST: 511 | UDN-CTRL: 368 | KKC-CTRL: 364"
FACT_RETURN,days_since_purchase,3,0,"0: 7,080 | 180: 36 | 10: 28"
FACT_RETURN,effective_date,0,7144,"<NULL>: 7,144"
FACT_RETURN,return_amount_thb,13,0,8500.0: 988 | 12900.0: 924 | 29900.0: 912 | 55900.0: 863 | 4900.0: 854 | 24900.0: 818 | 6900.0: 747 | 18900.0: 731 | 42900.0: 98 | 5900.0: 84 | 84900.0: 56 | 16900.0: 51 | 38900.0: 18
FACT_RETURN,return_reason,3,0,"customer_change_of_mind: 7,080 | vendor recall — V-002 NovaTech battery: 36 | hardware batch defect — WK-SW-004 Watch S3 SE batch (HDY cluster, impl-routed via HKT-FEST): 28"
FACT_SALES,as_of_date,1,0,"2026-01-15: 117,105"
FACT_SALES,branch_code,11,0,"BKK-SIAM: 18,084 | BKK-CTW: 13,595 | REMOTE: 12,655 | BKK-EMSP: 11,376 | BKK-PKT: 11,150 | PTY-CTRL: 10,267 | CNX-MAYA: 10,247 | BKK-R9: 9,218 | HKT-FEST: 8,003 | KKC-CTRL: 6,825 | UDN-CTRL: 5,685"
FACT_SALES,channel,3,0,"offline: 104,449 | online: 12,655 | b2b: 1"
FACT_SALES,effective_date,0,117105,"<NULL>: 117,105"
FACT_SALES,employee_id,2,113412,"<NULL>: 113,412 | EMP-L3-00011: 3,692 | EMP-L3-00002: 1"
FACT_SALES,is_b2b,2,0,"False: 102,885 | True: 14,220"
FACT_SALES,payment_method,6,0,"credit_card: 35,445 | cash: 31,663 | mobile_wallet: 21,186 | debit_card: 14,591 | bank_transfer: 14,219 | net_30: 1"
FACT_SALES,payment_status,2,0,"paid: 113,006 | pending: 4,099"
FACT_SALES,promo_campaign_id,7,111537,"<NULL>: 111,537 | SF-LAUNCH-2568: 3,749 | MEGA-1111-2568: 497 | MEGA-1212-2568: 464 | MEGA-1212-2567: 300 | MEGA-1111-2567: 294 | CLEAR-EOY-2568: 135 | CLEAR-EOY-2567: 129"
FACT_SALES,retry_idempotency_marker,0,117105,"<NULL>: 117,105"
FACT_SALES,schema_version,2,0,"1: 70,495 | 2: 46,610"
FACT_SALES,shipping_charge_thb,1,0,"0.0: 117,105"
FACT_SALES,shipping_method,3,0,"standard: 108,141 | express: 8,963 | enterprise_fleet: 1"
FACT_SALES_LINE_ITEM,as_of_date,1,0,"2026-01-15: 309,129"
FACT_SALES_LINE_ITEM,effective_date,0,309129,"<NULL>: 309,129"
FACT_SALES_LINE_ITEM,is_care_plus,1,0,"False: 309,129"
FACT_SALES_LINE_ITEM,line_discount_thb,1,0,"0.0: 309,129"
FACT_SALES_LINE_ITEM,line_total_thb,14,0,"12900.0: 39,075 | 29900.0: 36,522 | 8500.0: 36,438 | 55900.0: 36,430 | 4900.0: 36,388 | 18900.0: 36,224 | 6900.0: 36,165 | 24900.0: 35,890 | 38900.0: 4,370 | 16900.0: 2,831 | 42900.0: 2,763 | 5900.0: 2,722 | 84900.0: 2,691 | 29032.26: 620"
FACT_SALES_LINE_ITEM,quantity,1,0,"1: 309,129"
