table,column,rows,non_null_rows,parseable_rows,min_value,max_value
FACT_PAYROLL,pay_period_end,14400,14400,14400,2024-01-31,2025-12-31
FACT_PAYROLL,pay_period_start,14400,14400,14400,2024-01-01,2025-12-01
FACT_PAYROLL,posting_date,14400,14400,14400,2024-01-31,2025-12-31
FACT_PROMO_REDEMPTION,as_of_date,1583,1583,1583,2026-01-15,2026-01-15
FACT_PROMO_REDEMPTION,business_event_date,1583,1583,1583,2024-11-11,2025-12-31
FACT_PROMO_REDEMPTION,effective_date,1583,0,0,,
FACT_PROMO_REDEMPTION,posting_date,1583,1583,1583,2024-11-11,2025-12-31
FACT_REFUND_PAID,as_of_date,7134,7134,7134,2026-01-15,2026-01-15
FACT_REFUND_PAID,business_event_date,7134,7134,7134,2024-01-01,2025-12-31
FACT_REFUND_PAID,effective_date,7134,0,0,,
FACT_REFUND_PAID,posting_date,7134,7134,7134,2024-01-01,2025-12-31
FACT_REFUND_PAID,request_date,7134,7134,7134,2024-01-01,2025-12-31
FACT_RETURN,as_of_date,7144,7144,7144,2026-01-15,2026-01-15
FACT_RETURN,business_event_date,7144,7144,7144,2024-01-01,2025-12-31
FACT_RETURN,effective_date,7144,0,0,,
FACT_RETURN,posting_date,7144,7144,7144,2024-01-01,2025-12-31
FACT_SALES,as_of_date,117105,117105,117105,2026-01-15,2026-01-15
FACT_SALES,business_event_date,117105,117105,117105,2024-01-01,2025-12-31
FACT_SALES,effective_date,117105,0,0,,
FACT_SALES,payment_due_date,117105,14220,14220,2024-01-31,2026-03-01
FACT_SALES,payment_received_date,117105,13813,13813,2024-01-31,2025-12-31
FACT_SALES,posting_date,117105,117105,117105,2024-01-01,2025-12-31
FACT_SALES_LINE_ITEM,as_of_date,309129,309129,309129,2026-01-15,2026-01-15
FACT_SALES_LINE_ITEM,business_event_date,309129,309129,309129,2024-01-01,2025-12-31
FACT_SALES_LINE_ITEM,effective_date,309129,0,0,,
FACT_SALES_LINE_ITEM,posting_date,309129,309129,309129,2024-01-01,2025-12-31
FACT_SHIPPING,as_of_date,23182,23182,23182,2026-01-15,2026-01-15
FACT_SHIPPING,business_event_date,23182,23182,23182,2024-01-01,2025-12-31
FACT_SHIPPING,effective_date,23182,0,0,,
FACT_SHIPPING,posting_date,23182,23182,23182,2024-01-01,2025-12-31
FACT_VENDOR_PAYMENT,as_of_date,809,809,809,2026-01-15,2026-01-15
FACT_VENDOR_PAYMENT,business_event_date,809,809,809,2024-01-01,2025-11-30
FACT_VENDOR_PAYMENT,effective_date,809,0,0,,
FACT_VENDOR_PAYMENT,invoice_period_end,809,809,809,2023-12-31,2025-11-30
FACT_VENDOR_PAYMENT,invoice_period_start,809,809,809,2023-12-01,2025-11-01
FACT_VENDOR_PAYMENT,posting_date,809,809,809,2024-01-01,2025-12-28
FACT_VENDOR_PAYMENT,request_date,809,809,809,2024-01-01,2025-12-28
FACT_WARRANTY_CLAIM,as_of_date,3973,3973,3973,2026-01-15,2026-01-15
FACT_WARRANTY_CLAIM,business_event_date,3973,3973,3973,2024-01-01,2025-12-31
FACT_WARRANTY_CLAIM,effective_date,3973,0,0,,
FACT_WARRANTY_CLAIM,posting_date,3973,3973,3973,2024-01-01,2025-12-31
T2_DOC_INVENTORY,issue_date,81,81,81,2024-01-01,2025-12-20
dim_product_recall_history,transition_date,3,3,3,2024-01-01,2025-10-15
