statement_id,account_id,render_month,transaction_pages,transaction_width,transaction_height,transaction_megapixels,fact_transactions,net_amount_thb,deposit_rows,withdrawal_rows,transfer_rows,fee_rows,min_balance_after_thb,max_balance_after_thb,bank,account_number,account_role,associated_branch_code,currency,opening_balance_thb,statement_cadence,fact_rows_per_transaction_page
BS-BBL-OPER-2568-11,BBL-OPER,2025-11,1,1240,1234,1.53016,1,500000.0,0,0,1,0,14500000.0,14500000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-BBL-OPER-2568-12,BBL-OPER,2025-12,1,1240,1234,1.53016,1,500000.0,0,0,1,0,15000000.0,15000000.0,BBL,003-1-00001-3,operating,,THB,3000000.0,monthly,1.0
BS-KBANK-OPER-2567-01,KBANK-OPER,2024-01,22,2968,2850,8.4588,995,-30628200.0,9,982,2,2,-20628200.0,9970100.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,45.22727272727273
BS-KBANK-OPER-2567-02,KBANK-OPER,2024-02,28,2968,2850,8.4588,1245,19294700.0,291,950,2,2,-20658100.0,21391100.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,44.464285714285715
BS-KBANK-OPER-2567-03,KBANK-OPER,2024-03,34,2968,2850,8.4588,1532,75789400.0,567,961,2,2,-1245600.0,94537200.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,45.05882352941177
BS-KBANK-OPER-2567-04,KBANK-OPER,2024-04,33,2968,2850,8.4588,1505,80994200.0,592,909,2,2,74719800.0,175117100.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,45.60606060606061
BS-KBANK-OPER-2567-05,KBANK-OPER,2024-05,34,2968,2850,8.4588,1525,68539200.0,540,981,2,2,155316700.0,243766300.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,44.85294117647059
BS-KBANK-OPER-2567-06,KBANK-OPER,2024-06,34,2968,2850,8.4588,1537,73173100.0,562,971,2,2,224126100.0,316099800.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,45.205882352941174
BS-KBANK-OPER-2567-07,KBANK-OPER,2024-07,36,2968,2850,8.4588,1621,88876700.0,626,991,2,2,297380700.0,406105000.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,45.02777777777778
BS-KBANK-OPER-2567-08,KBANK-OPER,2024-08,36,2968,2850,8.4588,1613,79987400.0,592,1017,2,2,385937000.0,486831600.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,44.80555555555556
BS-KBANK-OPER-2567-09,KBANK-OPER,2024-09,35,2968,2850,8.4588,1579,80674700.0,596,979,2,2,466258900.0,566412100.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,45.114285714285714
BS-KBANK-OPER-2567-10,KBANK-OPER,2024-10,36,2968,2850,8.4588,1622,87533600.0,624,994,2,2,546560900.0,656312700.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,45.05555555555556
BS-KBANK-OPER-2567-11,KBANK-OPER,2024-11,34,2968,2850,8.4588,1556,72500650.0,554,998,2,2,634229900.0,727369850.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,45.76470588235294
BS-KBANK-OPER-2567-12,KBANK-OPER,2024-12,36,2968,2850,8.4588,1614,81476800.0,595,1015,2,2,707012050.0,807469350.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,44.833333333333336
BS-KBANK-OPER-2568-01,KBANK-OPER,2025-01,35,2968,2850,8.4588,1574,81882700.0,583,987,2,2,788126550.0,891018350.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,44.97142857142857
BS-KBANK-OPER-2568-02,KBANK-OPER,2025-02,33,2968,2850,8.4588,1503,81798200.0,592,907,2,2,870463550.0,971543250.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,45.54545454545455
BS-KBANK-OPER-2568-03,KBANK-OPER,2025-03,35,2968,2850,8.4588,1607,89803600.0,639,964,2,2,951874650.0,1062010550.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,45.91428571428571
BS-KBANK-OPER-2568-04,KBANK-OPER,2025-04,35,2968,2850,8.4588,1581,92401600.0,646,931,2,2,1041767550.0,1152971250.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,45.17142857142857
BS-KBANK-OPER-2568-05,KBANK-OPER,2025-05,35,2968,2850,8.4588,1604,79473100.0,579,1021,2,2,1134181350.0,1232084850.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,45.82857142857143
BS-KBANK-OPER-2568-06,KBANK-OPER,2025-06,33,2968,2850,8.4588,1489,66165500.0,516,969,2,2,1213552250.0,1299943850.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,45.121212121212125
BS-KBANK-OPER-2568-07,KBANK-OPER,2025-07,37,2968,2850,8.4588,1682,85769750.0,633,1045,2,2,1279780150.0,1386993000.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,45.45945945945946
BS-KBANK-OPER-2568-08,KBANK-OPER,2025-08,34,2968,2850,8.4588,1540,68466350.0,541,995,2,2,1365416800.0,1454418550.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,45.294117647058826
BS-KBANK-OPER-2568-09,KBANK-OPER,2025-09,35,2968,2850,8.4588,1582,70278100.0,570,1008,2,2,1434053650.0,1525280250.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,45.2
BS-KBANK-OPER-2568-10,KBANK-OPER,2025-10,38,2968,2850,8.4588,1715,89502100.0,660,1051,2,2,1504302850.0,1613548850.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,45.13157894736842
BS-KBANK-OPER-2568-11,KBANK-OPER,2025-11,34,2968,2850,8.4588,1554,78603850.0,581,969,2,2,1593744150.0,1693088300.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,45.705882352941174
BS-KBANK-OPER-2568-12,KBANK-OPER,2025-12,36,2968,2850,8.4588,1632,88020400.0,625,1003,2,2,1672300200.0,1779270400.0,KBank,001-1-00001-1,operating,,THB,10000000.0,monthly,45.333333333333336
BS-OPER-BKK-CTW-2567-01,OPER-BKK-CTW,2024-01,3,2968,2850,8.4588,118,17130700.0,118,0,0,0,1202100.0,18130700.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,39.333333333333336
BS-OPER-BKK-CTW-2567-02,OPER-BKK-CTW,2024-02,3,2968,2850,8.4588,111,16892000.0,111,0,0,0,18183300.0,35022700.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,37.0
BS-OPER-BKK-CTW-2567-03,OPER-BKK-CTW,2024-03,3,2968,2850,8.4588,120,18681300.0,120,0,0,0,35214900.0,53704000.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,40.0
BS-OPER-BKK-CTW-2567-04,OPER-BKK-CTW,2024-04,3,2968,2850,8.4588,98,14116200.0,98,0,0,0,53800800.0,67820200.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,32.666666666666664
BS-OPER-BKK-CTW-2567-05,OPER-BKK-CTW,2024-05,3,2968,2850,8.4588,118,18915100.0,118,0,0,0,68186800.0,86735300.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,39.333333333333336
BS-OPER-BKK-CTW-2567-06,OPER-BKK-CTW,2024-06,3,2968,2850,8.4588,115,16899700.0,115,0,0,0,86815800.0,103635000.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,38.333333333333336
BS-OPER-BKK-CTW-2567-07,OPER-BKK-CTW,2024-07,3,2968,2850,8.4588,116,19513200.0,116,0,0,0,103659900.0,123148200.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,38.666666666666664
BS-OPER-BKK-CTW-2567-08,OPER-BKK-CTW,2024-08,3,2968,2850,8.4588,120,19689600.0,120,0,0,0,123292600.0,142837800.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,40.0
BS-OPER-BKK-CTW-2567-09,OPER-BKK-CTW,2024-09,3,2968,2850,8.4588,116,20062300.0,116,0,0,0,142906600.0,162900100.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,38.666666666666664
BS-OPER-BKK-CTW-2567-10,OPER-BKK-CTW,2024-10,3,2968,2850,8.4588,117,18054700.0,117,0,0,0,163076800.0,180954800.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,39.0
BS-OPER-BKK-CTW-2567-11,OPER-BKK-CTW,2024-11,3,2968,2850,8.4588,114,17997164.0,114,0,0,0,181009100.0,198951964.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,38.0
BS-OPER-BKK-CTW-2567-12,OPER-BKK-CTW,2024-12,3,2968,2850,8.4588,121,19760330.0,121,0,0,0,199045664.0,218712294.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,40.333333333333336
BS-OPER-BKK-CTW-2568-01,OPER-BKK-CTW,2025-01,3,2968,2850,8.4588,120,16924100.0,120,0,0,0,218756994.0,235636394.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,40.0
BS-OPER-BKK-CTW-2568-02,OPER-BKK-CTW,2025-02,3,2968,2850,8.4588,109,16798500.0,109,0,0,0,235834794.0,252434894.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,36.333333333333336
BS-OPER-BKK-CTW-2568-03,OPER-BKK-CTW,2025-03,3,2968,2850,8.4588,120,17240800.0,120,0,0,0,252718894.0,269675694.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,40.0
BS-OPER-BKK-CTW-2568-04,OPER-BKK-CTW,2025-04,3,2968,2850,8.4588,95,15162200.0,95,0,0,0,270126094.0,284837894.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,31.666666666666668
BS-OPER-BKK-CTW-2568-05,OPER-BKK-CTW,2025-05,3,2968,2850,8.4588,118,16082300.0,118,0,0,0,284914094.0,300920194.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,39.333333333333336
BS-OPER-BKK-CTW-2568-06,OPER-BKK-CTW,2025-06,3,2968,2850,8.4588,114,19242800.0,114,0,0,0,301067394.0,320162994.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,38.0
BS-OPER-BKK-CTW-2568-07,OPER-BKK-CTW,2025-07,3,2968,2850,8.4588,118,20094140.0,118,0,0,0,320219194.0,340257134.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,39.333333333333336
BS-OPER-BKK-CTW-2568-08,OPER-BKK-CTW,2025-08,3,2968,2850,8.4588,119,19082100.0,119,0,0,0,340262034.0,359339234.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,39.666666666666664
BS-OPER-BKK-CTW-2568-09,OPER-BKK-CTW,2025-09,3,2968,2850,8.4588,118,20144100.0,118,0,0,0,359425034.0,379483334.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,39.333333333333336
BS-OPER-BKK-CTW-2568-10,OPER-BKK-CTW,2025-10,3,2968,2850,8.4588,121,18986100.0,121,0,0,0,379733934.0,398469434.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,40.333333333333336
BS-OPER-BKK-CTW-2568-11,OPER-BKK-CTW,2025-11,3,2968,2850,8.4588,120,19319982.0,120,0,0,0,398518234.0,417789416.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,40.0
BS-OPER-BKK-CTW-2568-12,OPER-BKK-CTW,2025-12,3,2968,2850,8.4588,118,17659260.0,118,0,0,0,417838216.0,435448676.0,KBank,100-1-10000-1,operating,BKK-CTW,THB,1000000.0,monthly,39.333333333333336
BS-OPER-BKK-EMSP-2567-01,OPER-BKK-EMSP,2024-01,8,1240,1234,1.53016,114,12306200.0,114,0,0,0,1025800.0,13306200.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.25
BS-OPER-BKK-EMSP-2567-02,OPER-BKK-EMSP,2024-02,7,1240,1234,1.53016,106,13585200.0,106,0,0,0,13532000.0,26891400.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,15.142857142857142
BS-OPER-BKK-EMSP-2567-03,OPER-BKK-EMSP,2024-03,8,1240,1234,1.53016,113,14466700.0,113,0,0,0,26944600.0,41358100.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.125
BS-OPER-BKK-EMSP-2567-04,OPER-BKK-EMSP,2024-04,7,1240,1234,1.53016,96,12770100.0,96,0,0,0,41658700.0,54128200.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,13.714285714285714
BS-OPER-BKK-EMSP-2567-05,OPER-BKK-EMSP,2024-05,8,1240,1234,1.53016,115,16322600.0,115,0,0,0,54477300.0,70450800.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.375
BS-OPER-BKK-EMSP-2567-06,OPER-BKK-EMSP,2024-06,8,1240,1234,1.53016,116,16021000.0,116,0,0,0,70489200.0,86471800.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.5
BS-OPER-BKK-EMSP-2567-07,OPER-BKK-EMSP,2024-07,8,1240,1234,1.53016,117,15086500.0,117,0,0,0,86586200.0,101558300.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.625
BS-OPER-BKK-EMSP-2567-08,OPER-BKK-EMSP,2024-08,8,1240,1234,1.53016,118,15527700.0,118,0,0,0,101644100.0,117086000.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.75
BS-OPER-BKK-EMSP-2567-09,OPER-BKK-EMSP,2024-09,8,1240,1234,1.53016,115,17852800.0,115,0,0,0,117280600.0,134938800.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.375
BS-OPER-BKK-EMSP-2567-10,OPER-BKK-EMSP,2024-10,8,1240,1234,1.53016,119,15493800.0,119,0,0,0,135016000.0,150432600.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.875
BS-OPER-BKK-EMSP-2567-11,OPER-BKK-EMSP,2024-11,8,1240,1234,1.53016,115,17507928.0,115,0,0,0,150497800.0,167940528.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.375
BS-OPER-BKK-EMSP-2567-12,OPER-BKK-EMSP,2024-12,8,1240,1234,1.53016,116,16912340.0,116,0,0,0,168179828.0,184852868.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.5
BS-OPER-BKK-EMSP-2568-01,OPER-BKK-EMSP,2025-01,8,1240,1234,1.53016,114,15373000.0,114,0,0,0,184995368.0,200225868.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.25
BS-OPER-BKK-EMSP-2568-02,OPER-BKK-EMSP,2025-02,7,1240,1234,1.53016,101,12935500.0,101,0,0,0,200287468.0,213161368.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.428571428571429
BS-OPER-BKK-EMSP-2568-03,OPER-BKK-EMSP,2025-03,8,1240,1234,1.53016,113,14109300.0,113,0,0,0,213166268.0,227270668.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.125
BS-OPER-BKK-EMSP-2568-04,OPER-BKK-EMSP,2025-04,7,1240,1234,1.53016,100,13073900.0,100,0,0,0,227303168.0,240344568.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.285714285714286
BS-OPER-BKK-EMSP-2568-05,OPER-BKK-EMSP,2025-05,8,1240,1234,1.53016,117,15796300.0,117,0,0,0,240371968.0,256140868.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.625
BS-OPER-BKK-EMSP-2568-06,OPER-BKK-EMSP,2025-06,8,1240,1234,1.53016,112,15015200.0,112,0,0,0,256197568.0,271156068.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.0
BS-OPER-BKK-EMSP-2568-07,OPER-BKK-EMSP,2025-07,8,1240,1234,1.53016,117,16772565.0,117,0,0,0,271348568.0,287928633.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.625
BS-OPER-BKK-EMSP-2568-08,OPER-BKK-EMSP,2025-08,8,1240,1234,1.53016,117,16935800.0,117,0,0,0,288316233.0,304864433.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.625
BS-OPER-BKK-EMSP-2568-09,OPER-BKK-EMSP,2025-09,8,1240,1234,1.53016,118,14490300.0,118,0,0,0,305040433.0,319354733.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.75
BS-OPER-BKK-EMSP-2568-10,OPER-BKK-EMSP,2025-10,8,1240,1234,1.53016,115,15363300.0,115,0,0,0,319503933.0,334718033.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.375
BS-OPER-BKK-EMSP-2568-11,OPER-BKK-EMSP,2025-11,8,1240,1234,1.53016,113,15524652.0,113,0,0,0,335294733.0,350242685.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.125
BS-OPER-BKK-EMSP-2568-12,OPER-BKK-EMSP,2025-12,8,1240,1234,1.53016,117,14556040.0,117,0,0,0,350307085.0,364798725.0,SCB,101-2-10001-2,operating,BKK-EMSP,THB,1000000.0,monthly,14.625
BS-OPER-BKK-PKT-2567-01,OPER-BKK-PKT,2024-01,8,1240,1234,1.53016,111,14391000.0,111,0,0,0,1222800.0,15391000.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,13.875
BS-OPER-BKK-PKT-2567-02,OPER-BKK-PKT,2024-02,7,1240,1234,1.53016,110,13021800.0,110,0,0,0,15445800.0,28412800.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,15.714285714285714
BS-OPER-BKK-PKT-2567-03,OPER-BKK-PKT,2024-03,8,1240,1234,1.53016,111,14960600.0,111,0,0,0,28481100.0,43373400.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,13.875
BS-OPER-BKK-PKT-2567-04,OPER-BKK-PKT,2024-04,6,1240,1234,1.53016,93,11699100.0,93,0,0,0,43507200.0,55072500.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,15.5
BS-OPER-BKK-PKT-2567-05,OPER-BKK-PKT,2024-05,8,1240,1234,1.53016,119,16419900.0,119,0,0,0,55288200.0,71492400.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,14.875
BS-OPER-BKK-PKT-2567-06,OPER-BKK-PKT,2024-06,8,1240,1234,1.53016,113,13548600.0,113,0,0,0,71716100.0,85041000.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,14.125
BS-OPER-BKK-PKT-2567-07,OPER-BKK-PKT,2024-07,8,1240,1234,1.53016,115,14727200.0,115,0,0,0,85145700.0,99768200.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,14.375
BS-OPER-BKK-PKT-2567-08,OPER-BKK-PKT,2024-08,8,1240,1234,1.53016,118,19090900.0,118,0,0,0,99832600.0,118859100.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,14.75
BS-OPER-BKK-PKT-2567-09,OPER-BKK-PKT,2024-09,8,1240,1234,1.53016,114,15667600.0,114,0,0,0,118969800.0,134526700.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,14.25
BS-OPER-BKK-PKT-2567-10,OPER-BKK-PKT,2024-10,8,1240,1234,1.53016,118,17379000.0,118,0,0,0,134548100.0,151905700.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,14.75
BS-OPER-BKK-PKT-2567-11,OPER-BKK-PKT,2024-11,8,1240,1234,1.53016,118,16129000.0,118,0,0,0,151935600.0,168034700.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,14.75
BS-OPER-BKK-PKT-2567-12,OPER-BKK-PKT,2024-12,8,1240,1234,1.53016,117,14853590.0,117,0,0,0,168053000.0,182888290.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,14.625
BS-OPER-BKK-PKT-2568-01,OPER-BKK-PKT,2025-01,8,1240,1234,1.53016,119,16236100.0,119,0,0,0,182991890.0,199124390.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,14.875
BS-OPER-BKK-PKT-2568-02,OPER-BKK-PKT,2025-02,7,1240,1234,1.53016,108,13931700.0,108,0,0,0,199306290.0,213056090.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,15.428571428571429
BS-OPER-BKK-PKT-2568-03,OPER-BKK-PKT,2025-03,8,1240,1234,1.53016,117,16030700.0,117,0,0,0,213331590.0,229086790.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,14.625
BS-OPER-BKK-PKT-2568-04,OPER-BKK-PKT,2025-04,3,1240,1234,1.53016,42,5755500.0,42,0,0,0,229169190.0,234842290.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,14.0
BS-OPER-BKK-PKT-2568-05,OPER-BKK-PKT,2025-05,8,1240,1234,1.53016,113,15617700.0,113,0,0,0,235236690.0,250459990.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,14.125
BS-OPER-BKK-PKT-2568-06,OPER-BKK-PKT,2025-06,8,1240,1234,1.53016,114,16688800.0,114,0,0,0,250532490.0,267148790.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,14.25
BS-OPER-BKK-PKT-2568-07,OPER-BKK-PKT,2025-07,8,1240,1234,1.53016,120,15339085.0,120,0,0,0,267286090.0,282487875.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,15.0
BS-OPER-BKK-PKT-2568-08,OPER-BKK-PKT,2025-08,8,1240,1234,1.53016,113,16793200.0,113,0,0,0,282807975.0,299281075.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,14.125
BS-OPER-BKK-PKT-2568-09,OPER-BKK-PKT,2025-09,8,1240,1234,1.53016,116,15666300.0,116,0,0,0,299631075.0,314947375.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,14.5
BS-OPER-BKK-PKT-2568-10,OPER-BKK-PKT,2025-10,8,1240,1234,1.53016,120,15627100.0,120,0,0,0,315100175.0,330574475.0,BBL,102-3-10002-3,operating,BKK-PKT,THB,1000000.0,monthly,15.0
