table,column_position,column,dtype
DIM_EMPLOYEE,15,hire_date,object
DIM_EMPLOYEE,16,termination_date,float64
DIM_EMPLOYEE,17,termination_reason,float64
DIM_EMPLOYEE,18,status,object
DIM_EMPLOYEE,19,employment_type,object
DIM_EMPLOYEE,20,is_canon_leader,bool
DIM_EMPLOYEE,21,canon_role_label,object
DIM_POLICY_VERSION,1,policy_version_id,int64
DIM_POLICY_VERSION,2,policy_class,object
DIM_POLICY_VERSION,3,policy_variable,object
DIM_POLICY_VERSION,4,scope_filter,object
DIM_POLICY_VERSION,5,value_numeric,float64
DIM_POLICY_VERSION,6,value_text,object
DIM_POLICY_VERSION,7,policy_value_table_ref,object
DIM_POLICY_VERSION,8,effective_date,object
DIM_POLICY_VERSION,9,end_date,object
DIM_POLICY_VERSION,10,policy_doc_filename,float64
DIM_POSITION_LEVEL,1,position_level_code,object
DIM_POSITION_LEVEL,2,rank,int64
DIM_POSITION_LEVEL,3,default_signing_authority_thb,float64
DIM_PRODUCT,1,sku_id,object
DIM_PRODUCT,2,brand_family,object
DIM_PRODUCT,3,dept_code,object
DIM_PRODUCT,4,category,object
DIM_PRODUCT,5,subcategory,object
DIM_PRODUCT,6,msrp_thb,float64
DIM_PRODUCT,7,msrp_tier,object
DIM_PRODUCT,8,is_third_party,bool
DIM_PRODUCT,9,vendor_id,object
DIM_PRODUCT,10,launch_date,object
DIM_PRODUCT,11,end_of_life_date,float64
DIM_PRODUCT,12,warranty_months,int64
DIM_PRODUCT,13,care_plus_eligible,bool
dim_product_recall_history,1,history_id,int64
dim_product_recall_history,2,sku_id,object
dim_product_recall_history,3,status,object
dim_product_recall_history,4,transition_date,object
DIM_PROMO_CAMPAIGN,1,campaign_id,object
DIM_PROMO_CAMPAIGN,2,start_timestamp,object
DIM_PROMO_CAMPAIGN,3,end_timestamp,object
DIM_PROMO_CAMPAIGN,4,scope_filter,object
DIM_PROMO_CAMPAIGN,5,description_th,object
DIM_PROMO_CAMPAIGN,6,description_en,object
dim_promo_mechanic,1,promo_mechanic_id,int64
dim_promo_mechanic,2,campaign_id,object
dim_promo_mechanic,3,discount_type,object
dim_promo_mechanic,4,discount_value,float64
dim_promo_mechanic,5,point_multiplier,float64
dim_promo_mechanic,6,min_basket_thb,float64
dim_promo_mechanic,7,description_th,object
dim_signing_authority_ladder,1,ladder_row_id,int64
dim_signing_authority_ladder,2,policy_version_id,int64
dim_signing_authority_ladder,3,position_level_code,object
dim_signing_authority_ladder,4,dept_code,object
dim_signing_authority_ladder,5,amount_ceiling_thb,float64
dim_signing_authority_ladder,6,min_co_signers,int64
dim_signing_authority_ladder,7,co_signer_min_position_level_code,object
dim_signing_authority_ladder,8,description_th,object
DIM_VENDOR,1,vendor_id,object
DIM_VENDOR,2,name_th,object
DIM_VENDOR,3,name_en,object
DIM_VENDOR,4,category,object
DIM_VENDOR,5,role,object
DIM_VENDOR,6,payment_terms,object
DIM_VENDOR,7,invoice_cadence,object
DIM_VENDOR,8,is_partner_brand,bool
DIM_VENDOR,9,is_component_supplier,bool
DIM_VENDOR,10,start_date,object
DIM_VENDOR,11,end_date,object
DIM_VENDOR_CONTRACT_VERSION,1,contract_version_id,int64
DIM_VENDOR_CONTRACT_VERSION,2,vendor_id,object
DIM_VENDOR_CONTRACT_VERSION,3,version_number,int64
DIM_VENDOR_CONTRACT_VERSION,4,effective_date,object
DIM_VENDOR_CONTRACT_VERSION,5,end_date,object
DIM_VENDOR_CONTRACT_VERSION,6,contract_pdf_filename,object
DIM_VENDOR_CONTRACT_VERSION,7,amendment_summary,object
FACT_BANK_TRANSACTION,1,bank_txn_id,object
FACT_BANK_TRANSACTION,2,business_event_date,object
FACT_BANK_TRANSACTION,3,posting_date,object
FACT_BANK_TRANSACTION,4,effective_date,float64
FACT_BANK_TRANSACTION,5,as_of_date,object
FACT_BANK_TRANSACTION,6,account_id,object
FACT_BANK_TRANSACTION,7,transaction_type,object
FACT_BANK_TRANSACTION,8,counterparty,object
FACT_BANK_TRANSACTION,9,related_entity_id,object
FACT_BANK_TRANSACTION,10,related_entity_table,object
FACT_BANK_TRANSACTION,11,amount_thb,float64
FACT_BANK_TRANSACTION,12,balance_after_thb,float64
FACT_BANK_TRANSACTION,13,description,object
FACT_CS_INTERACTION,1,cs_interaction_id,object
FACT_CS_INTERACTION,2,business_event_date,object
FACT_CS_INTERACTION,3,posting_date,object
FACT_CS_INTERACTION,4,effective_date,float64
FACT_CS_INTERACTION,5,as_of_date,object
FACT_CS_INTERACTION,6,customer_id,object
FACT_CS_INTERACTION,7,employee_id,object
FACT_CS_INTERACTION,8,branch_code,object
FACT_CS_INTERACTION,9,channel,object
FACT_CS_INTERACTION,10,interaction_type,object
FACT_CS_INTERACTION,11,resolution_type,object
FACT_CS_INTERACTION,12,related_refund_id,object
FACT_CS_INTERACTION,13,related_warranty_claim_id,object
FACT_CS_INTERACTION,14,chat_session_id,object
FACT_INVENTORY_MONTHLY_SNAPSHOT,1,snapshot_id,int64
FACT_INVENTORY_MONTHLY_SNAPSHOT,2,business_event_date,object
FACT_INVENTORY_MONTHLY_SNAPSHOT,3,posting_date,object
FACT_INVENTORY_MONTHLY_SNAPSHOT,4,effective_date,float64
FACT_INVENTORY_MONTHLY_SNAPSHOT,5,as_of_date,object
FACT_INVENTORY_MONTHLY_SNAPSHOT,6,month_end_date,object
FACT_INVENTORY_MONTHLY_SNAPSHOT,7,sku_id,object
FACT_INVENTORY_MONTHLY_SNAPSHOT,8,branch_code,object
FACT_INVENTORY_MONTHLY_SNAPSHOT,9,closing_units,int64
FACT_INVENTORY_MOVEMENT,1,movement_id,int64
FACT_INVENTORY_MOVEMENT,2,business_event_date,object
FACT_INVENTORY_MOVEMENT,3,posting_date,object
FACT_INVENTORY_MOVEMENT,4,effective_date,float64
FACT_INVENTORY_MOVEMENT,5,as_of_date,object
FACT_INVENTORY_MOVEMENT,6,sku_id,object
FACT_INVENTORY_MOVEMENT,7,branch_code,object
FACT_INVENTORY_MOVEMENT,8,movement_type,object
FACT_INVENTORY_MOVEMENT,9,quantity,int64
FACT_INVENTORY_MOVEMENT,10,related_txn_id,object
FACT_LOYALTY_LEDGER,1,ledger_id,int64
FACT_LOYALTY_LEDGER,2,business_event_date,object
FACT_LOYALTY_LEDGER,3,posting_date,object
FACT_LOYALTY_LEDGER,4,effective_date,float64
FACT_LOYALTY_LEDGER,5,as_of_date,object
FACT_LOYALTY_LEDGER,6,customer_id,object
FACT_LOYALTY_LEDGER,7,txn_id,object
FACT_LOYALTY_LEDGER,8,event_type,object
FACT_LOYALTY_LEDGER,9,points_delta,int64
FACT_LOYALTY_LEDGER,10,resulting_balance_points,int64
FACT_LOYALTY_LEDGER,11,resulting_tier,object
FACT_PAYROLL,1,payroll_id,int64
FACT_PAYROLL,2,business_event_date,object
FACT_PAYROLL,3,posting_date,object
FACT_PAYROLL,4,effective_date,float64
FACT_PAYROLL,5,as_of_date,object
FACT_PAYROLL,6,employee_id,object
FACT_PAYROLL,7,pay_period_start,object
FACT_PAYROLL,8,pay_period_end,object
FACT_PAYROLL,9,gross_pay_thb,float64
FACT_PAYROLL,10,tax_deduction_thb,float64
FACT_PAYROLL,11,social_security_thb,float64
FACT_PAYROLL,12,net_pay_thb,float64
FACT_PAYROLL,13,bank_txn_id,object
FACT_PAYROLL,14,employment_status_at_period_end,object
FACT_PROMO_REDEMPTION,1,redemption_id,int64
FACT_PROMO_REDEMPTION,2,business_event_date,object
FACT_PROMO_REDEMPTION,3,posting_date,object
FACT_PROMO_REDEMPTION,4,effective_date,float64
FACT_PROMO_REDEMPTION,5,as_of_date,object
FACT_PROMO_REDEMPTION,6,txn_id,object
FACT_PROMO_REDEMPTION,7,customer_id,object
FACT_PROMO_REDEMPTION,8,campaign_id,object
FACT_PROMO_REDEMPTION,9,discount_applied_thb,float64
FACT_PROMO_REDEMPTION,10,channel,object
FACT_REFUND_PAID,1,refund_id,object
FACT_REFUND_PAID,2,business_event_date,object
FACT_REFUND_PAID,3,posting_date,object
FACT_REFUND_PAID,4,effective_date,float64
FACT_REFUND_PAID,5,as_of_date,object
FACT_REFUND_PAID,6,return_id,object
FACT_REFUND_PAID,7,cs_interaction_id,float64
FACT_REFUND_PAID,8,customer_id,object
FACT_REFUND_PAID,9,refund_amount_thb,float64
FACT_REFUND_PAID,10,request_date,object
FACT_REFUND_PAID,11,approver_employee_id,object
FACT_REFUND_PAID,12,cosig_employee_id,float64
FACT_REFUND_PAID,13,bank_txn_id,object
FACT_RETURN,1,return_id,object
FACT_RETURN,2,business_event_date,object
FACT_RETURN,3,posting_date,object
FACT_RETURN,4,effective_date,float64
FACT_RETURN,5,as_of_date,object
FACT_RETURN,6,original_txn_id,object
FACT_RETURN,7,line_item_id,string
FACT_RETURN,8,sku_id,object
FACT_RETURN,9,branch_code,object
FACT_RETURN,10,customer_id,object
FACT_RETURN,11,return_reason,object
FACT_RETURN,12,approved_by_employee_id,object
FACT_RETURN,13,days_since_purchase,int64
FACT_RETURN,14,return_amount_thb,float64
FACT_SALES,1,txn_id,object
FACT_SALES,2,business_event_date,object
FACT_SALES,3,posting_date,object
FACT_SALES,4,effective_date,float64
FACT_SALES,5,as_of_date,object
FACT_SALES,6,branch_code,object
FACT_SALES,7,customer_id,object
FACT_SALES,8,employee_id,object
FACT_SALES,9,channel,object
FACT_SALES,10,basket_total_thb,float64
FACT_SALES,11,discount_total_thb,float64
FACT_SALES,12,net_total_thb,float64
FACT_SALES,13,shipping_charge_thb,float64
FACT_SALES,14,shipping_method,object
FACT_SALES,15,promo_campaign_id,object
FACT_SALES,16,payment_method,object
FACT_SALES,17,payment_status,object
FACT_SALES,18,payment_due_date,object
FACT_SALES,19,payment_received_date,object
FACT_SALES,20,settlement_bank_txn_id,object
FACT_SALES,21,web_log_line_id,object
FACT_SALES,22,schema_version,int64
FACT_SALES,23,is_b2b,bool
FACT_SALES,24,retry_idempotency_marker,float64
FACT_SALES_LINE_ITEM,1,line_item_id,string
FACT_SALES_LINE_ITEM,2,business_event_date,object
FACT_SALES_LINE_ITEM,3,posting_date,object
FACT_SALES_LINE_ITEM,4,effective_date,float64
FACT_SALES_LINE_ITEM,5,as_of_date,object
FACT_SALES_LINE_ITEM,6,txn_id,object
FACT_SALES_LINE_ITEM,7,sku_id,object
FACT_SALES_LINE_ITEM,8,quantity,int64
FACT_SALES_LINE_ITEM,9,unit_price_thb,float64
FACT_SALES_LINE_ITEM,10,line_discount_thb,float64
FACT_SALES_LINE_ITEM,11,line_total_thb,float64
FACT_SALES_LINE_ITEM,12,is_care_plus,bool
FACT_SALES_LINE_ITEM,13,pos_log_line_id,object
FACT_SHIPPING,1,shipping_id,int64
FACT_SHIPPING,2,business_event_date,object
FACT_SHIPPING,3,posting_date,object
FACT_SHIPPING,4,effective_date,float64
FACT_SHIPPING,5,as_of_date,object
FACT_SHIPPING,6,txn_id,object
FACT_SHIPPING,7,vendor_id,object
FACT_SHIPPING,8,tracking_number,object
FACT_SHIPPING,9,origin_branch_code,object
FACT_SHIPPING,10,destination_province,object
FACT_SHIPPING,11,confirmation_status,object
FACT_VENDOR_PAYMENT,1,payment_id,object
FACT_VENDOR_PAYMENT,2,business_event_date,object
FACT_VENDOR_PAYMENT,3,posting_date,object
FACT_VENDOR_PAYMENT,4,effective_date,float64
FACT_VENDOR_PAYMENT,5,as_of_date,object
FACT_VENDOR_PAYMENT,6,vendor_id,object
FACT_VENDOR_PAYMENT,7,vendor_invoice_id,object
FACT_VENDOR_PAYMENT,8,invoice_period_start,object
FACT_VENDOR_PAYMENT,9,invoice_period_end,object
FACT_VENDOR_PAYMENT,10,paid_amount_thb,float64
FACT_VENDOR_PAYMENT,11,vendor_contract_version_id,int64
FACT_VENDOR_PAYMENT,12,request_date,object
FACT_VENDOR_PAYMENT,13,signing_employee_id,object
FACT_VENDOR_PAYMENT,14,cosig_employee_id,object
FACT_VENDOR_PAYMENT,15,bank_txn_id,object
FACT_WARRANTY_CLAIM,1,claim_id,object
FACT_WARRANTY_CLAIM,2,business_event_date,object
FACT_WARRANTY_CLAIM,3,posting_date,object
FACT_WARRANTY_CLAIM,4,effective_date,float64
FACT_WARRANTY_CLAIM,5,as_of_date,object
FACT_WARRANTY_CLAIM,6,customer_id,object
FACT_WARRANTY_CLAIM,7,sku_id,object
FACT_WARRANTY_CLAIM,8,original_txn_id,object
FACT_WARRANTY_CLAIM,9,claim_reason,object
FACT_WARRANTY_CLAIM,10,claim_amount_thb,float64
FACT_WARRANTY_CLAIM,11,routing_destination,object
FACT_WARRANTY_CLAIM,12,resolution_type,object
T2_DOC_INVENTORY,1,doc_id,object
T2_DOC_INVENTORY,2,doc_kind,object
T2_DOC_INVENTORY,3,template_name,object
T2_DOC_INVENTORY,4,body_source,object
T2_DOC_INVENTORY,5,issue_date,object
T2_DOC_INVENTORY,6,source_table,object
T2_DOC_INVENTORY,7,source_pk,string
