folder,depth,parent_folder,direct_files,recursive_files,recursive_size_mb
renders/vendor_invoice/2024-01,3,renders/vendor_invoice,33,33,29.51852512359619
renders/vendor_invoice/2024-02,3,renders/vendor_invoice,33,33,29.5097599029541
renders/vendor_invoice/2024-03,3,renders/vendor_invoice,33,33,29.53298568725586
renders/vendor_invoice/2024-04,3,renders/vendor_invoice,33,33,29.526050567626953
renders/vendor_invoice/2024-05,3,renders/vendor_invoice,33,33,29.542372703552246
renders/vendor_invoice/2024-06,3,renders/vendor_invoice,33,33,29.543270111083984
renders/vendor_invoice/2024-07,3,renders/vendor_invoice,33,33,29.53378677368164
renders/vendor_invoice/2024-08,3,renders/vendor_invoice,33,33,29.544507026672363
renders/vendor_invoice/2024-09,3,renders/vendor_invoice,33,33,29.540059089660645
renders/vendor_invoice/2024-10,3,renders/vendor_invoice,33,33,29.515461921691895
renders/vendor_invoice/2024-11,3,renders/vendor_invoice,33,33,29.522985458374023
renders/vendor_invoice/2024-12,3,renders/vendor_invoice,33,33,29.50031280517578
renders/vendor_invoice/2025-01,3,renders/vendor_invoice,33,33,29.56031322479248
renders/vendor_invoice/2025-02,3,renders/vendor_invoice,33,33,29.607675552368164
renders/vendor_invoice/2025-03,3,renders/vendor_invoice,33,33,29.612065315246582
renders/vendor_invoice/2025-04,3,renders/vendor_invoice,33,33,29.52531909942627
renders/vendor_invoice/2025-05,3,renders/vendor_invoice,33,33,29.53905963897705
renders/vendor_invoice/2025-06,3,renders/vendor_invoice,33,33,29.529043197631836
renders/vendor_invoice/2025-07,3,renders/vendor_invoice,33,33,29.525840759277344
renders/vendor_invoice/2025-08,3,renders/vendor_invoice,33,33,29.502262115478516
renders/vendor_invoice/2025-09,3,renders/vendor_invoice,33,33,29.528071403503418
renders/vendor_invoice/2025-10,3,renders/vendor_invoice,33,33,29.522929191589355
renders/vendor_invoice/2025-11,3,renders/vendor_invoice,33,33,29.50393581390381
renders/vendor_invoice/2025-12,3,renders/vendor_invoice,33,33,29.489752769470215
renders/warranty_form/2024-01,3,renders/warranty_form,75,75,72.2924690246582
renders/warranty_form/2024-02,3,renders/warranty_form,87,87,84.05665397644043
renders/warranty_form/2024-03,3,renders/warranty_form,69,69,66.77387714385986
renders/warranty_form/2024-04,3,renders/warranty_form,68,68,65.72275352478027
renders/warranty_form/2024-05,3,renders/warranty_form,75,75,72.51106548309326
renders/warranty_form/2024-06,3,renders/warranty_form,70,70,67.68719482421875
renders/warranty_form/2024-07,3,renders/warranty_form,92,92,88.8140811920166
renders/warranty_form/2024-08,3,renders/warranty_form,100,100,96.73671436309814
renders/warranty_form/2024-09,3,renders/warranty_form,83,83,80.25937366485596
renders/warranty_form/2024-10,3,renders/warranty_form,95,95,91.65294933319092
renders/warranty_form/2024-11,3,renders/warranty_form,89,89,85.67232036590576
renders/warranty_form/2024-12,3,renders/warranty_form,76,76,73.30266094207764
renders/warranty_form/2025-01,3,renders/warranty_form,74,74,71.51511859893799
renders/warranty_form/2025-02,3,renders/warranty_form,77,77,74.5278959274292
renders/warranty_form/2025-03,3,renders/warranty_form,80,80,77.3796272277832
renders/warranty_form/2025-04,3,renders/warranty_form,70,70,67.74754810333252
renders/warranty_form/2025-05,3,renders/warranty_form,87,87,84.16822910308838
renders/warranty_form/2025-06,3,renders/warranty_form,83,83,80.39148235321045
renders/warranty_form/2025-07,3,renders/warranty_form,86,86,83.1421012878418
renders/warranty_form/2025-08,3,renders/warranty_form,68,68,65.89688014984131
renders/warranty_form/2025-09,3,renders/warranty_form,91,91,88.10419368743896
renders/warranty_form/2025-10,3,renders/warranty_form,102,102,98.56677722930908
renders/warranty_form/2025-11,3,renders/warranty_form,87,87,83.92079544067383
renders/warranty_form/2025-12,3,renders/warranty_form,79,79,76.26744556427002
