table,column,non_null_rows,mean,std,min,p25,median,p75,max,sum
FACT_INVENTORY_MOVEMENT,movement_id,310827,539900345485.3577,323197713057.5022,1.0,260566710805.0,540173403400.0,820288777419.0,1099505842365.0,1.6781560468617728e+17
FACT_INVENTORY_MOVEMENT,quantity,310827,0.3243830169193796,70.97747747557054,-50.0,-1.0,-1.0,-1.0,12157.0,100827.0
FACT_LOYALTY_LEDGER,effective_date,0,,,,,,,,0.0
FACT_LOYALTY_LEDGER,ledger_id,118857,349292563193.93976,365002265901.6361,15271.0,2929956870.0,234159012731.0,664659102990.0,1099505533269.0,4.15158661835421e+16
FACT_LOYALTY_LEDGER,points_delta,118857,203.65300318870575,813.1282587760597,-6246.0,-154.0,138.0,516.0,7685.0,24205585.0
FACT_LOYALTY_LEDGER,resulting_balance_points,118857,1152.867967389384,1229.367511344028,-600.0,259.0,787.0,1639.0,12042.0,137026428.0
FACT_PAYROLL,effective_date,0,,,,,,,,0.0
FACT_PAYROLL,gross_pay_thb,14400,42000.0,0.0,42000.0,42000.0,42000.0,42000.0,42000.0,604800000.0
FACT_PAYROLL,net_pay_thb,14400,39150.0,0.0,39150.0,39150.0,39150.0,39150.0,39150.0,563760000.0
FACT_PAYROLL,payroll_id,14400,547305585226.61725,316558621433.8328,25923813.0,272070083573.25,544871290870.0,820933828889.75,1099244469747.0,7881200427263288.0
FACT_PAYROLL,social_security_thb,14400,750.0,0.0,750.0,750.0,750.0,750.0,750.0,10800000.0
FACT_PAYROLL,tax_deduction_thb,14400,2100.0,0.0,2100.0,2100.0,2100.0,2100.0,2100.0,30240000.0
FACT_PROMO_REDEMPTION,discount_applied_thb,1583,7854.263423878711,9129.590094385374,588.0,2322.0,4960.0,10062.0,92190.0,12433299.0
FACT_PROMO_REDEMPTION,effective_date,0,,,,,,,,0.0
FACT_PROMO_REDEMPTION,redemption_id,1583,551861515023.7157,313486122600.3974,662326657.0,287560717868.0,542677485760.0,822157357114.0,1098390040534.0,873596778282542.0
FACT_REFUND_PAID,cosig_employee_id,0,,,,,,,,0.0
FACT_REFUND_PAID,cs_interaction_id,0,,,,,,,,0.0
FACT_REFUND_PAID,effective_date,0,,,,,,,,0.0
FACT_REFUND_PAID,refund_amount_thb,7134,21068.00532660499,16842.363642144366,2500.0,8500.0,12900.0,29900.0,84900.0,150299150.0
FACT_RETURN,days_since_purchase,7144,0.9462486002239642,12.758887668619755,0.0,0.0,0.0,0.0,180.0,6760.0
FACT_RETURN,effective_date,0,,,,,,,,0.0
FACT_RETURN,return_amount_thb,7144,21048.06830907055,16838.725148142326,4900.0,8500.0,12900.0,29900.0,84900.0,150367400.0
FACT_SALES,basket_total_thb,117105,55909.354008795526,85849.99457095166,4900.0,12900.0,29900.0,62800.0,18000001.2,6547264901.2
FACT_SALES,discount_total_thb,117105,278.74870415439136,2958.6891526350355,0.0,0.0,0.0,0.0,141690.0,32642867.0
FACT_SALES,effective_date,0,,,,,,,,0.0
FACT_SALES,net_total_thb,117105,55630.60530464113,85620.9526458847,3920.0,12900.0,29900.0,62800.0,18000001.2,6514622034.2
FACT_SALES,retry_idempotency_marker,0,,,,,,,,0.0
FACT_SALES,schema_version,117105,1.3980188719525213,0.4894914662845721,1.0,1.0,1.0,2.0,2.0,163715.0
FACT_SALES,shipping_charge_thb,117105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FACT_SALES_LINE_ITEM,effective_date,0,,,,,,,,0.0
FACT_SALES_LINE_ITEM,line_discount_thb,309129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FACT_SALES_LINE_ITEM,line_total_thb,309129,21179.717532809926,16801.263701683074,4900.0,8500.0,18900.0,29900.0,84900.0,6547264901.2
FACT_SALES_LINE_ITEM,quantity,309129,1.0,0.0,1.0,1.0,1.0,1.0,1.0,309129.0
FACT_SALES_LINE_ITEM,unit_price_thb,309129,21179.717532809926,16801.263701683074,4900.0,8500.0,18900.0,29900.0,84900.0,6547264901.2
FACT_SHIPPING,effective_date,0,,,,,,,,0.0
FACT_SHIPPING,shipping_id,23182,550954013528.2971,318530895862.5839,170678784.0,276214317442.5,549210826308.0,827287660084.5,1099451895945.0,1.2772215941612984e+16
FACT_VENDOR_PAYMENT,effective_date,0,,,,,,,,0.0
FACT_VENDOR_PAYMENT,paid_amount_thb,809,41244.43757725587,30653.95963490505,12500.0,18500.0,19200.0,69000.0,350000.0,33366750.0
FACT_VENDOR_PAYMENT,vendor_contract_version_id,809,11.510506798516687,5.402850445450688,1.0,6.0,11.0,16.0,22.0,9312.0
FACT_WARRANTY_CLAIM,claim_amount_thb,35,16900.0,0.0,16900.0,16900.0,16900.0,16900.0,16900.0,591500.0
FACT_WARRANTY_CLAIM,effective_date,0,,,,,,,,0.0
dim_care_plus_sku_tier,care_plus_price_thb,2,3740.0,353.5533905932738,3490.0,3615.0,3740.0,3865.0,3990.0,7480.0
dim_care_plus_sku_tier,coverage_months,2,30.0,8.48528137423857,24.0,27.0,30.0,33.0,36.0,60.0
dim_care_plus_sku_tier,policy_version_id,2,7.0,0.0,7.0,7.0,7.0,7.0,7.0,14.0
dim_care_plus_sku_tier,sku_category,0,,,,,,,,0.0
dim_care_plus_sku_tier,tier_row_id,2,1.5,0.7071067811865476,1.0,1.25,1.5,1.75,2.0,3.0
dim_product_recall_history,history_id,3,2.0,1.0,1.0,1.5,2.0,2.5,3.0,6.0
dim_promo_mechanic,discount_value,7,0.18571428571428572,0.09162553189607194,0.05,0.135,0.18,0.25,0.3,1.3
dim_promo_mechanic,min_basket_thb,0,,,,,,,,0.0
dim_promo_mechanic,point_multiplier,1,2.0,,2.0,2.0,2.0,2.0,2.0,2.0
dim_promo_mechanic,promo_mechanic_id,8,4.5,2.449489742783178,1.0,2.75,4.5,6.25,8.0,36.0
dim_signing_authority_ladder,amount_ceiling_thb,7,815000.0,1853845.1032021707,0.0,2500.0,100000.0,300000.0,5000000.0,5705000.0
dim_signing_authority_ladder,ladder_row_id,7,4.0,2.160246899469287,1.0,2.5,4.0,5.5,7.0,28.0
dim_signing_authority_ladder,min_co_signers,7,0.2857142857142857,0.48795003647426666,0.0,0.0,0.0,0.5,1.0,2.0
dim_signing_authority_ladder,policy_version_id,7,5.714285714285714,0.48795003647426655,5.0,5.5,6.0,6.0,6.0,40.0
