sample_index,time_ms,subject_group,subject_group_name,activity_group,activity_code,activity_name,activity_name_th,trial_id,ax_mps2,ay_mps2,az_mps2,gx_rad_s,gy_rad_s,gz_rad_s,paper_ax_mg,paper_ay_mg,paper_az_mg,paper_gx_deg_s,paper_gy_deg_s,paper_gz_deg_s
32,3200,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.190720,0.025550,10.282550,-0.006040,0.002460,0.002150,-19,3,1049,0,0,0
33,3300,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.114690,-0.058810,10.075790,0.002990,0.005890,0.002250,-12,-6,1027,0,0,0
34,3400,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.136950,-0.045610,10.224800,0.006360,-0.003560,0.012240,14,-5,1043,0,0,1
35,3500,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.229730,-0.007110,10.234480,0.005630,-0.000390,0.003590,23,-1,1044,0,0,0
36,3600,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.041050,0.016400,9.953840,-0.004080,0.004540,0.011950,4,2,1015,0,0,1
37,3700,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.110780,-0.007220,10.237180,0.004070,0.000460,0.006500,-11,-1,1044,0,0,0
38,3800,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.111900,-0.010540,10.159540,-0.001550,-0.007420,0.009280,-11,-1,1036,0,0,1
39,3900,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.037750,-0.024450,9.878450,0.003330,0.000320,0.011310,4,-2,1007,0,0,1
40,4000,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.187760,0.041610,10.407660,0.006440,-0.002690,0.009520,19,4,1061,0,0,1
41,4100,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.061870,-0.043330,10.088360,0.004280,-0.004930,0.005950,6,-4,1029,0,0,0
42,4200,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.081310,-0.001140,9.982890,0.000930,0.007170,0.006180,-8,0,1018,0,0,0
43,4300,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.178370,0.040020,10.349020,-0.005040,-0.002220,0.010290,-18,4,1055,0,0,1
44,4400,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.162200,-0.023910,10.125340,0.003170,0.000030,0.009220,-17,-2,1032,0,0,1
45,4500,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.124200,-0.047160,10.055080,-0.002560,0.003690,0.003740,13,-5,1025,0,0,0
46,4600,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.160360,-0.030840,10.273670,-0.000470,-0.004720,0.007460,16,-3,1048,0,0,0
47,4700,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.044670,0.013110,9.914700,-0.007770,0.002900,0.004900,-5,1,1011,0,0,0
48,4800,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.243300,-0.035000,10.248330,-0.001830,0.003120,0.008990,-25,-4,1045,0,0,1
49,4900,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.154320,0.013070,10.374340,0.002640,0.001800,-0.002340,-16,1,1058,0,0,0
50,5000,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.035860,0.052380,9.795160,-0.001880,0.007760,-0.001030,4,5,999,0,0,0
51,5100,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.199720,0.096950,10.261270,0.002760,0.007550,0.005520,20,10,1046,0,0,0
52,5200,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.176550,0.036100,10.188490,-0.000360,0.001170,0.009300,18,4,1039,0,0,1
53,5300,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.051120,-0.007810,9.895980,-0.001440,0.003570,0.006410,-5,-1,1009,0,0,0
54,5400,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.230580,-0.033660,10.483590,0.004560,0.002550,-0.004370,-24,-3,1069,0,0,0
55,5500,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.092700,0.019230,10.217490,0.001710,-0.000270,0.008090,-9,2,1042,0,0,0
56,5600,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.018580,0.041330,10.091210,-0.002810,0.005300,0.013240,2,4,1029,0,0,1
57,5700,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.143510,-0.026650,10.373480,0.000730,-0.001590,0.002100,15,-3,1058,0,0,0
58,5800,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.158440,0.041500,9.952760,-0.005380,0.006810,0.009960,16,4,1015,0,0,1
59,5900,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.064070,0.032410,10.142900,0.001040,-0.008640,0.003010,-7,3,1034,0,0,0
60,6000,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.192570,0.020910,10.296700,-0.000500,0.001830,0.007510,-20,2,1050,0,0,0
61,6100,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.000450,0.008360,9.862740,0.003160,0.000200,0.002700,0,1,1006,0,0,0
62,6200,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.143830,-0.000010,10.268900,0.000630,-0.000000,0.006700,15,0,1047,0,0,0
63,6300,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.163490,-0.050340,10.295450,0.004210,0.001740,0.005240,17,-5,1050,0,0,0
64,6400,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.007210,-0.038630,9.784130,0.000240,-0.003720,0.008960,-1,-4,998,0,0,1
65,6500,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.233570,-0.105140,10.281100,0.006310,-0.001530,0.000520,-24,-11,1048,0,0,0
66,6600,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.167440,0.020840,10.211340,0.000710,0.005940,0.008830,-17,2,1041,0,0,1
67,6700,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.097490,0.043880,9.927540,-0.001560,-0.002860,0.006160,10,4,1012,0,0,0
68,6800,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.223460,0.036330,10.348300,0.010190,0.004960,0.005140,23,4,1055,1,0,0
69,6900,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.200160,-0.001150,10.076780,-0.003340,0.003070,0.003320,20,0,1028,0,0,0
70,7000,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.086240,0.000970,10.175960,0.002160,0.000820,0.006220,-9,0,1038,0,0,0
71,7100,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.169010,-0.065540,10.335060,-0.003480,-0.005310,0.008880,-17,-7,1054,0,0,1
72,7200,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.027080,-0.002180,9.935170,-0.005670,0.007310,0.008060,-3,0,1013,0,0,0
73,7300,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.118810,0.008350,10.208460,-0.004690,-0.000700,0.009680,12,1,1041,0,0,1
74,7400,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.107950,-0.042600,10.276190,-0.005610,0.000130,0.007000,11,-4,1048,0,0,0
75,7500,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.028080,0.026260,9.755130,-0.003900,-0.004040,0.004040,3,3,995,0,0,0
76,7600,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.014710,-0.047610,9.772870,-0.000090,-0.000800,0.004750,2,-5,997,0,0,0
77,7700,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.022790,-0.004730,9.858270,0.001820,0.006310,0.010610,-2,0,1005,0,0,1
78,7800,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.045120,0.005990,9.814420,-0.005510,-0.001000,0.004740,-5,1,1001,0,0,0
79,7900,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.018360,-0.013030,9.846610,0.001410,0.000110,0.005300,2,-1,1004,0,0,0
80,8000,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.011190,-0.022210,9.776640,-0.000460,-0.001960,0.006420,-1,-2,997,0,0,0
81,8100,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.012390,0.005190,9.807800,-0.007160,0.001890,0.795680,-1,1,1000,0,0,46
82,8200,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.018070,0.070100,9.819680,0.005120,0.003070,0.795190,2,7,1001,0,0,46
83,8300,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.004680,-0.062540,9.806560,-0.000840,-0.002780,0.795090,0,-6,1000,0,0,46
84,8400,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.034890,0.000790,9.785770,0.001030,0.002330,0.794240,4,0,998,0,0,46
85,8500,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.052580,0.000260,9.752650,0.006660,0.006260,0.789420,5,0,994,0,0,45
86,8600,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.020820,0.021560,9.850010,-0.000040,-0.002710,0.794640,-2,2,1004,0,0,46
87,8700,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.009320,0.012480,9.788800,0.002780,-0.001190,0.790930,1,1,998,0,0,45
88,8800,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.052500,0.053600,9.850970,-0.004860,-0.006020,0.784910,-5,5,1005,0,0,45
89,8900,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.013790,0.046370,9.824900,-0.006370,0.002030,0.789380,-1,5,1002,0,0,45
90,9000,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.014030,-0.006950,9.782890,0.000640,-0.001940,0.797660,1,-1,998,0,0,46
91,9100,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.003460,-0.012030,9.846360,-0.001910,0.001490,0.792840,0,-1,1004,0,0,45
92,9200,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.021150,0.000390,9.893840,-0.007470,-0.002090,0.792080,-2,0,1009,0,0,45
93,9300,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.012240,0.018640,9.822010,-0.000270,0.005190,0.796450,1,2,1002,0,0,46
94,9400,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.032490,-0.026470,9.826160,-0.003850,-0.000590,0.790640,-3,-3,1002,0,0,45
95,9500,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.009130,-0.013520,9.887430,0.003330,0.003360,0.785930,1,-1,1008,0,0,45
96,9600,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.043500,0.005060,9.833310,0.000040,0.004040,0.782040,-4,1,1003,0,0,45
97,9700,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.024840,0.035410,9.760410,0.001010,0.000140,0.789260,3,4,995,0,0,45
98,9800,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.061730,-0.039340,9.816670,0.003990,0.000000,0.798100,-6,-4,1001,0,0,46
99,9900,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.024880,0.049410,9.746680,0.000020,0.001920,0.794150,-3,5,994,0,0,46
100,10000,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.030080,-0.029590,9.744930,-0.001020,-0.005680,0.791810,3,-3,994,0,0,45
101,10100,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.044040,0.170190,10.303140,0.000590,-0.002850,0.011050,-4,17,1051,0,0,1
102,10200,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.027780,0.147160,10.258470,-0.000060,0.005690,0.005380,-3,15,1046,0,0,0
103,10300,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.018500,-0.005660,9.972860,-0.003440,-0.001970,0.006900,-2,-1,1017,0,0,0
104,10400,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.053480,-0.162640,10.353040,-0.009800,0.002470,0.000900,5,-17,1056,-1,0,0
105,10500,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.065440,-0.146470,10.138930,0.000190,0.010170,0.005040,-7,-15,1034,0,1,0
106,10600,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.032900,0.142890,10.082980,-0.001910,-0.003710,0.005730,-3,15,1028,0,0,0
107,10700,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.059290,0.225180,10.342670,0.003550,0.000770,0.000680,6,23,1055,0,0,0
108,10800,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.029010,0.096520,10.097060,-0.000320,-0.004730,0.008940,3,10,1030,0,0,1
109,10900,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.101700,-0.164920,10.272220,0.000340,0.002810,0.006220,10,-17,1047,0,0,0
110,11000,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.033370,-0.145520,10.315680,0.001090,0.002630,0.000870,-3,-15,1052,0,0,0
111,11100,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.029470,-0.003720,9.870030,-0.002170,0.001720,0.008180,3,0,1006,0,0,0
112,11200,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.003580,0.182210,10.280020,-0.006700,0.005310,0.010840,0,19,1048,0,0,1
113,11300,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.043400,0.261500,10.272580,-0.001220,0.002250,0.012090,-4,27,1048,0,0,1
114,11400,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.025970,0.032860,9.893640,-0.002800,0.002670,0.004800,-3,3,1009,0,0,0
115,11500,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.021220,-0.157810,10.333810,-0.005940,0.008020,0.013360,2,-16,1054,0,0,1
116,11600,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.072420,-0.126970,10.231790,0.003230,-0.006690,0.004840,7,-13,1043,0,0,0
117,11700,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.005240,0.035530,10.020480,0.002290,-0.001270,0.000390,1,4,1022,0,0,0
118,11800,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.064240,0.240010,10.368640,0.002580,-0.006320,0.007030,7,24,1057,0,0,0
119,11900,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.002690,0.179410,10.118030,-0.000290,0.006630,0.008930,0,18,1032,0,0,1
120,12000,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.021660,-0.131620,10.257800,-0.002310,-0.002090,0.005270,-2,-13,1046,0,0,0
121,12100,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.034130,-0.197020,10.354550,0.000320,-0.008910,-0.000380,-3,-20,1056,0,-1,0
122,12200,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.071470,-0.020880,9.952320,-0.009900,0.001560,0.009790,-7,-2,1015,-1,0,1
123,12300,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.011290,0.153820,10.286790,-0.009170,0.000380,0.008950,-1,16,1049,-1,0,1
124,12400,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.065750,0.175590,10.214890,0.000780,-0.005410,0.004350,7,18,1042,0,0,0
125,12500,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.030990,-0.045150,9.876610,0.002330,0.001260,0.006050,3,-5,1007,0,0,0
126,12600,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.030150,-0.171320,10.312850,-0.003360,-0.001150,0.014230,-3,-17,1052,0,0,1
127,12700,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.010260,-0.122810,10.230780,0.001560,0.000910,-0.000290,-1,-13,1043,0,0,0
128,12800,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.000600,0.022120,9.958730,-0.004820,0.002780,0.002950,0,2,1016,0,0,0
129,12900,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.059000,0.230290,10.289670,0.005550,0.005290,0.004590,-6,23,1049,0,0,0
130,13000,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.049800,0.071850,10.191890,0.000950,0.002860,0.006070,5,7,1039,0,0,0
131,13100,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.023070,-0.057100,10.031260,-0.001850,0.003560,0.010750,2,-6,1023,0,0,1
132,13200,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.002260,-0.191120,10.449190,-0.007000,-0.010080,0.009630,0,-19,1066,0,-1,1
133,13300,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.027220,-0.041380,9.925540,0.000990,-0.000590,0.005450,3,-4,1012,0,0,0
134,13400,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.019400,0.176750,10.311290,-0.008000,-0.004610,0.000430,2,18,1051,0,0,0
135,13500,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.057700,0.160750,10.345280,0.001680,-0.009510,0.010240,6,16,1055,0,-1,1
136,13600,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.033220,0.004630,9.854960,-0.001500,0.001620,0.006880,3,0,1005,0,0,0
137,13700,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.029410,-0.215990,10.231910,0.000170,0.000580,0.003190,3,-22,1043,0,0,0
138,13800,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.053290,-0.155150,10.314100,0.002060,0.006820,0.004620,5,-16,1052,0,0,0
139,13900,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.004300,0.057320,9.908760,-0.005430,-0.001770,0.008010,0,6,1010,0,0,0
140,14000,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.012960,0.176400,10.284730,-0.000710,0.003350,0.009310,1,18,1049,0,0,1
141,14100,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.010040,0.102540,10.167420,-0.006920,0.004010,0.009800,-1,10,1037,0,0,1
142,14200,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.000810,-0.052600,10.088760,0.000120,0.000420,0.009420,0,-5,1029,0,0,1
143,14300,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.024340,-0.182130,10.312770,0.003300,-0.002990,0.006360,-2,-19,1052,0,0,0
144,14400,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.005900,-0.150600,10.052200,0.001460,-0.000930,0.003230,1,-15,1025,0,0,0
145,14500,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.026740,0.095100,10.132490,-0.001010,0.004750,0.007710,-3,10,1033,0,0,0
146,14600,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.008660,0.124280,10.355640,0.002600,-0.000550,0.012700,-1,13,1056,0,0,1
147,14700,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.068420,0.095130,9.937990,0.008620,0.003010,-0.000600,7,10,1013,0,0,0
148,14800,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.056100,-0.208390,10.169780,0.003750,0.005940,0.006710,6,-21,1037,0,0,0
149,14900,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.040100,-0.138170,10.230360,0.001150,0.002560,0.002100,4,-14,1043,0,0,0
150,15000,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.028460,-0.015250,9.827120,0.000120,0.006430,0.006930,3,-2,1002,0,0,0
151,15100,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.006970,0.118740,10.275520,0.007420,0.001810,0.010000,-1,12,1048,0,0,1
152,15200,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.023870,0.129610,10.175850,0.002550,-0.005240,0.008640,-2,13,1038,0,0,0
153,15300,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.014100,-0.083770,9.907380,0.000630,0.006760,0.006830,1,-9,1010,0,0,0
154,15400,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.018770,-0.193270,10.386960,0.003070,0.003620,0.008350,-2,-20,1059,0,0,0
155,15500,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.000740,-0.061000,10.173450,0.000830,-0.004720,0.010460,0,-6,1037,0,0,1
156,15600,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.020620,0.089770,10.178800,-0.010430,-0.000830,-0.001300,2,9,1038,-1,0,0
157,15700,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.106170,0.285360,10.328970,0.003580,0.006070,0.007330,11,29,1053,0,0,0
158,15800,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.000910,0.050120,10.044390,-0.001940,0.000890,0.003960,0,5,1024,0,0,0
159,15900,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.001250,-0.140750,10.245690,-0.000460,0.000990,0.006980,0,-14,1045,0,0,0
160,16000,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.036350,-0.267050,10.375910,0.006120,0.003690,0.009260,-4,-27,1058,0,0,1
161,16100,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.021410,-0.037170,9.796570,0.001390,-0.001270,0.011630,-2,-4,999,0,0,1
162,16200,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.006940,-0.022480,9.849300,-0.000310,-0.004350,0.011240,1,-2,1004,0,0,1
163,16300,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.006640,0.053000,9.826600,-0.000130,0.005710,0.011280,1,5,1002,0,0,1
164,16400,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.000690,0.001660,9.826680,0.000480,-0.003170,0.003160,0,0,1002,0,0,0
165,16500,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.005070,0.006220,9.853210,0.000290,0.000040,0.004840,-1,1,1005,0,0,0
166,16600,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.006390,0.039190,9.792820,-0.001440,-0.003230,0.788210,1,4,999,0,0,45
167,16700,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.052780,0.007960,9.820860,-0.005230,-0.006180,0.792210,5,1,1001,0,0,45
168,16800,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.043060,0.003120,9.784250,-0.001420,-0.002640,0.787960,4,0,998,0,0,45
169,16900,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.018770,0.007400,9.804870,-0.004000,-0.000800,0.791510,-2,1,1000,0,0,45
170,17000,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,0.037850,0.002940,9.825490,-0.000800,0.001710,0.796600,4,0,1002,0,0,46
171,17100,SE,elderly,adl,D04,normal_walk,เดินปกติ,01,-0.001880,0.011770,9.832970,-0.000390,0.001200,0.796770,0,1,1003,0,0,46
