time_ms,x_m,y_m,heading_rad,heading_name,confidence,motion_state,distance_mm,distance_valid,tof_used,best_tof_error_m
7400,3.2587,0.5003,0.00959,east,0.8744,moving,760,1,1,0.0100
7500,3.3087,0.5008,0.00937,east,0.8631,moving,1200,0,0,
7600,3.3003,0.5006,0.00923,east,0.9161,moving,699,1,1,0.0510
7700,3.2972,0.5005,0.00967,east,0.9680,moving,697,1,1,0.0530
7800,3.2917,0.5004,0.00953,east,1.0000,moving,707,1,1,0.0430
7900,3.2837,0.5003,0.00944,east,1.0000,moving,722,1,1,0.0280
8000,3.2856,0.5003,0.00946,east,1.0000,moving,708,1,1,0.0420
8100,3.2669,0.5002,0.08841,east,1.0000,turning,699,1,1,0.0539
8200,3.2574,0.5001,0.16731,east,1.0000,turning,716,1,1,0.0446
8300,3.2574,0.5001,0.24620,east,0.9841,turning,1200,0,0,
8400,3.2574,0.5001,0.32501,east,0.9684,turning,1200,0,0,
8500,3.2832,0.5123,0.40333,east,1.0000,turning_moving,726,1,1,0.0894
8600,3.2892,0.5179,0.48217,east,1.0000,turning_moving,785,1,1,0.0615
8700,3.2862,0.5198,0.56065,east,1.0000,turning_moving,839,1,1,0.0466
8800,3.2853,0.5229,0.63852,east,1.0000,turning_moving,883,1,1,0.0510
8900,3.2938,0.5334,0.71684,east,1.0000,turning_moving,911,1,1,0.0838
9000,3.2930,0.5378,0.79599,north,1.0000,turning_moving,1001,1,1,0.0711
9100,3.2946,0.5452,0.87465,north,1.0000,turning_moving,1087,1,1,0.0826
9200,3.3235,0.5860,0.95324,north,0.9751,turning_moving,1193,1,0,0.3295
9300,3.3492,0.6289,1.03227,north,0.9625,turning_moving,1200,0,0,
9400,3.3714,0.6737,1.11071,north,0.9500,turning_moving,1200,0,0,
9500,3.3900,0.7201,1.18869,north,0.9377,turning_moving,1200,0,0,
9600,3.4050,0.7678,1.26627,north,0.9255,turning_moving,1200,0,0,
9700,3.4162,0.8165,1.34458,north,0.9135,turning_moving,1200,0,0,
9800,3.4236,0.8660,1.42377,north,0.9017,turning_moving,1200,0,0,
9900,3.4270,0.9159,1.50256,north,0.8900,turning_moving,1200,0,0,
10000,3.4265,0.9659,1.58113,north,0.8785,turning_moving,1200,0,0,
10100,3.4259,1.0159,1.58161,north,0.8671,moving,1200,0,0,
10200,3.4254,1.0659,1.58153,north,0.8558,moving,1200,0,0,
10300,3.4248,1.1159,1.58160,north,0.8448,moving,1200,0,0,
10400,3.4243,1.1659,1.58107,north,0.8338,moving,1200,0,0,
10500,3.4238,1.2159,1.58096,north,0.8230,moving,1200,0,0,
10600,3.4233,1.2659,1.58091,north,0.8123,moving,1200,0,0,
10700,3.4228,1.3159,1.58036,north,0.8018,moving,1200,0,0,
10800,3.4223,1.3659,1.58063,north,0.7914,moving,1200,0,0,
10900,3.4219,1.4159,1.58064,north,0.7812,moving,1200,0,0,
11000,3.4214,1.4659,1.58011,north,0.7710,moving,1200,0,0,
11100,3.4209,1.5158,1.58030,north,0.7610,moving,1200,0,0,
11200,3.4204,1.5658,1.58077,north,0.7512,moving,1200,0,0,
11300,3.4199,1.6158,1.58136,north,0.7414,moving,1200,0,0,
11400,3.4194,1.6658,1.58122,north,0.7318,moving,1200,0,0,
11500,3.4188,1.7158,1.58194,north,0.7224,moving,1200,0,0,
11600,3.4183,1.7658,1.58180,north,0.7130,moving,1200,0,0,
11700,3.4177,1.8158,1.58122,north,0.7037,moving,1200,0,0,
11800,3.4172,1.8658,1.58131,north,0.6946,moving,1200,0,0,
11900,3.4167,1.9158,1.58158,north,0.6856,moving,1200,0,0,
12000,3.4161,1.9658,1.58149,north,0.6767,moving,1200,0,0,
12100,3.4156,2.0158,1.58083,north,0.6680,moving,1200,0,0,
12200,3.4151,2.0658,1.58119,north,0.6593,moving,1200,0,0,
12300,3.4146,2.1158,1.58147,north,0.6508,moving,1200,0,0,
12400,3.4141,2.1658,1.58128,north,0.6423,moving,1200,0,0,
12500,3.4135,2.2158,1.58127,north,0.6340,moving,1200,0,0,
12600,3.4130,2.2658,1.58207,north,0.6258,moving,1200,0,0,
12700,3.4124,2.3158,1.58143,north,0.6177,moving,1200,0,0,
12800,3.4119,2.3658,1.58110,north,0.6097,moving,1200,0,0,
12900,3.4114,2.4158,1.58094,north,0.6018,moving,1200,0,0,
13000,3.4109,2.4658,1.58093,north,0.5940,moving,1200,0,0,
13100,3.4104,2.5158,1.58139,north,0.5863,moving,1200,0,0,
13200,3.4098,2.5658,1.58173,north,0.5787,moving,1200,0,0,
13300,3.4093,2.6158,1.58166,north,0.5712,moving,1200,0,0,
13400,3.4088,2.6658,1.58108,north,0.5638,moving,1200,0,0,
13500,3.4082,2.7158,1.58149,north,0.5565,moving,1200,0,0,
13600,3.4077,2.7658,1.58156,north,0.5493,moving,1200,0,0,
13700,3.4072,2.8158,1.58126,north,0.5421,moving,1200,0,0,
13800,3.4067,2.8658,1.58110,north,0.5351,moving,1200,0,0,
13900,3.4061,2.9158,1.58128,north,0.5282,moving,1200,0,0,
14000,3.4056,2.9658,1.58159,north,0.5213,moving,1200,0,0,
14100,3.4050,3.0158,1.58195,north,0.5146,moving,1200,0,0,
14200,3.4045,3.0658,1.58228,north,0.5079,moving,1200,0,0,
14300,3.4039,3.1158,1.58229,north,0.5013,moving,1200,0,0,
14400,3.4033,3.1658,1.58200,north,0.4948,moving,1200,0,0,
14500,3.4028,3.2158,1.58215,north,0.4884,moving,1200,0,0,
14600,3.4022,3.2657,1.58280,north,0.4821,moving,1200,0,0,
14700,3.4016,3.3157,1.58212,north,0.4758,moving,1200,0,0,
14800,3.4010,3.3657,1.58217,north,0.4697,moving,1200,0,0,
14900,3.4005,3.4157,1.58176,north,0.4636,moving,1200,0,0,
15000,3.3999,3.4657,1.58184,north,0.4576,moving,1200,0,0,
15100,3.3994,3.5157,1.58222,north,0.4462,moving,1164,1,0,0.2139
15200,3.3988,3.5657,1.58246,north,0.4404,moving,1200,0,0,
15300,3.3389,3.4693,1.58253,north,0.4809,moving,1034,1,1,0.0839
15400,3.2890,3.3689,1.58274,north,0.5381,moving,996,1,1,0.0459
15500,3.2605,3.2964,1.58317,north,0.6128,moving,956,1,1,0.0059
15600,3.2539,3.2882,1.58242,north,0.6741,moving,915,1,1,0.0351
15700,3.2523,3.3095,1.58254,north,0.7054,moving,848,1,1,0.1021
15800,3.2509,3.4263,1.58231,north,0.7525,moving,766,1,1,0.0660
15900,3.2502,3.4883,1.58239,north,0.8030,moving,758,1,1,0.0580
16000,3.2499,3.5110,1.58270,north,0.8750,moving,691,1,1,0.0090
16100,3.2498,3.5155,1.58324,north,0.9501,moving,699,1,1,0.0011
16200,3.2498,3.5189,1.58375,north,1.0000,moving,691,1,1,0.0091
16300,3.2498,3.5178,1.58426,north,1.0000,moving,698,1,1,0.0021
16400,3.2497,3.5260,1.58396,north,1.0000,moving,668,1,1,0.0321
16500,3.2497,3.5209,1.58382,north,1.0000,moving,706,1,1,0.0059
16600,3.2483,3.5245,1.66202,north,1.0000,turning_moving,726,1,1,0.0231
16700,3.2468,3.5234,1.74062,north,1.0000,turning_moving,694,1,1,0.0162
16800,3.2489,3.5078,1.81880,north,1.0000,turning,742,1,1,0.0199
16900,3.2497,3.5020,1.89733,north,1.0000,turning,741,1,1,0.0019
17000,3.2499,3.5007,1.97637,north,1.0000,turning,736,1,1,0.0258
17100,3.2420,3.5154,2.05543,north,1.0000,turning_moving,769,1,1,0.0221
17200,3.2405,3.5158,2.13351,north,1.0000,turning_moving,822,1,1,0.0056
17300,3.2356,3.5204,2.21239,north,1.0000,turning_moving,846,1,1,0.0278
17400,3.4248,3.5147,2.29148,north,1.0000,turning_moving,931,1,1,0.0007
17500,3.3890,3.5495,2.37063,west,0.9870,turning_moving,1200,0,0,
17600,3.3505,3.5814,2.44962,west,0.9742,turning_moving,1200,0,0,
17700,3.3096,3.6102,2.52847,west,0.9616,turning_moving,1200,0,0,
17800,3.2666,3.6356,2.60689,west,0.9492,turning_moving,1200,0,0,
17900,3.2217,3.6577,2.68560,west,0.9369,turning_moving,1200,0,0,
18000,3.1752,3.6761,2.76472,west,0.9247,turning_moving,1200,0,0,
18100,3.1274,3.6908,2.84292,west,0.9127,turning_moving,1200,0,0,
18200,3.0786,3.7017,2.92204,west,0.9009,turning_moving,1200,0,0,
18300,3.0291,3.7087,3.00131,west,0.8892,turning_moving,1200,0,0,
18400,2.9792,3.7117,3.07979,west,0.8777,turning_moving,1200,0,0,
18500,2.9292,3.7109,-3.12495,west,0.8663,turning_moving,1200,0,0,
18600,2.8792,3.7101,-3.12541,west,0.8551,moving,1200,0,0,
18700,2.8292,3.7093,-3.12579,west,0.8440,moving,1200,0,0,
18800,2.7792,3.7085,-3.12565,west,0.8331,moving,1200,0,0,
18900,2.7292,3.7077,-3.12546,west,0.8223,moving,1200,0,0,
19000,2.6792,3.7069,-3.12541,west,0.8116,moving,1200,0,0,
19100,2.6292,3.7061,-3.12512,west,0.8011,moving,1200,0,0,
19200,2.5792,3.7053,-3.12525,west,0.7907,moving,1200,0,0,
19300,2.5292,3.7045,-3.12552,west,0.7805,moving,1200,0,0,
19400,2.4792,3.7036,-3.12527,west,0.7704,moving,1200,0,0,
19500,2.4293,3.7028,-3.12507,west,0.7604,moving,1200,0,0,
19600,2.3793,3.7020,-3.12531,west,0.7505,moving,1200,0,0,
19700,2.3293,3.7012,-3.12534,west,0.7408,moving,1200,0,0,
19800,2.2793,3.7004,-3.12617,west,0.7312,moving,1200,0,0,
19900,2.2293,3.6996,-3.12606,west,0.7217,moving,1200,0,0,
20000,2.1793,3.6989,-3.12589,west,0.7124,moving,1200,0,0,
20100,2.1293,3.6981,-3.12573,west,0.7031,moving,1200,0,0,
20200,2.0793,3.6973,-3.12599,west,0.6940,moving,1200,0,0,
20300,2.0293,3.6965,-3.12562,west,0.6850,moving,1200,0,0,
20400,1.9793,3.6957,-3.12585,west,0.6761,moving,1200,0,0,
20500,1.9293,3.6949,-3.12634,west,0.6674,moving,1200,0,0,
20600,1.8793,3.6941,-3.12586,west,0.6587,moving,1200,0,0,
20700,1.8293,3.6934,-3.12621,west,0.6502,moving,1200,0,0,
20800,1.7793,3.6926,-3.12636,west,0.6418,moving,1200,0,0,
20900,1.7293,3.6919,-3.12688,west,0.6335,moving,1200,0,0,
21000,1.6793,3.6912,-3.12726,west,0.6252,moving,1200,0,0,
21100,1.6294,3.6904,-3.12709,west,0.6171,moving,1200,0,0,
21200,1.5794,3.6897,-3.12720,west,0.6091,moving,1200,0,0,
21300,1.5294,3.6890,-3.12696,west,0.6013,moving,1200,0,0,
21400,1.4794,3.6882,-3.12661,west,0.5935,moving,1200,0,0,
21500,1.4294,3.6875,-3.12699,west,0.5858,moving,1200,0,0,
21600,1.3794,3.6868,-3.12706,west,0.5782,moving,1200,0,0,
21700,1.3294,3.6861,-3.12703,west,0.5707,moving,1200,0,0,
21800,1.2794,3.6853,-3.12731,west,0.5633,moving,1200,0,0,
21900,1.2294,3.6846,-3.12715,west,0.5560,moving,1200,0,0,
22000,1.1794,3.6839,-3.12765,west,0.5488,moving,1200,0,0,
22100,1.1294,3.6832,-3.12765,west,0.5417,moving,1200,0,0,
22200,1.0794,3.6825,-3.12809,west,0.5346,moving,1200,0,0,
22300,1.0294,3.6819,-3.12803,west,0.5277,moving,1200,0,0,
22400,0.9794,3.6812,-3.12777,west,0.5209,moving,1200,0,0,
22500,0.9294,3.6805,-3.12779,west,0.5141,moving,1200,0,0,
22600,0.8794,3.6798,-3.12731,west,0.5075,moving,1200,0,0,
22700,0.8294,3.6791,-3.12721,west,0.5009,moving,1200,0,0,
22800,0.8227,3.6924,-3.12741,west,0.5193,moving,1133,1,1,0.1329
22900,0.8533,3.7124,-3.12721,west,0.5545,moving,1095,1,1,0.0949
23000,0.9108,3.7326,-3.12720,west,0.6100,moving,1049,1,1,0.0489
23100,0.9328,3.7412,-3.12692,west,0.6622,moving,1056,1,1,0.0559
23200,0.9493,3.7459,-3.12661,west,0.7193,moving,1044,1,1,0.0439
23300,0.9606,3.7481,-3.12718,west,0.7807,moving,1034,1,1,0.0339
23400,0.9568,3.7487,-3.12759,west,0.8319,moving,1056,1,1,0.0559
23500,0.9733,3.7494,-3.12761,west,0.9038,moving,1009,1,1,0.0089
23600,0.9673,3.7545,2.91945,west,0.9598,turning_moving,1069,1,1,0.0438
23700,0.9570,3.7648,2.68391,west,1.0000,turning_moving,1188,1,1,0.0733
23800,0.9185,3.7968,2.44785,west,0.9870,turning_moving,1200,0,0,
23900,0.8886,3.8368,2.21235,north,0.9742,turning_moving,1200,0,0,
24000,0.8688,3.8827,1.97739,north,0.9616,turning_moving,1200,0,0,
24100,1.1184,3.6459,1.74186,north,1.0000,turning_moving,1146,1,1,0.0210
24200,1.0403,3.5649,1.50550,north,1.0000,turning_moving,1172,1,1,0.0195
24300,1.0552,3.6126,1.26980,north,0.9870,turning_moving,1200,0,0,
24400,1.0807,3.6556,1.03375,north,0.9742,turning_moving,1200,0,0,
24500,1.1156,3.6914,0.79815,north,0.9616,turning_moving,1200,0,0,
24600,1.1579,3.7181,0.56266,east,0.9492,turning_moving,1200,0,0,
24700,1.2053,3.7341,0.32707,east,0.9369,turning_moving,1200,0,0,
24800,1.2551,3.7387,0.09192,east,0.9247,turning_moving,1200,0,0,
24900,1.3046,3.7316,-0.14310,east,0.9127,turning_moving,1200,0,0,
25000,1.3510,3.7131,-0.37844,east,0.9009,turning_moving,1200,0,0,
25100,1.3919,3.6843,-0.61372,east,0.8892,turning_moving,1200,0,0,
25200,1.4249,3.6468,-0.84925,south,0.8777,turning_moving,1200,0,0,
25300,1.4483,3.6026,-1.08467,south,0.8663,turning_moving,1200,0,0,
25400,1.4607,3.5541,-1.31969,south,0.8551,turning_moving,1200,0,0,
25500,1.4615,3.5041,-1.55506,south,0.8440,turning_moving,1200,0,0,
25600,1.4623,3.4542,-1.55530,south,0.8331,moving,1200,0,0,
25700,1.4630,3.4042,-1.55535,south,0.8223,moving,1200,0,0,
25800,1.4638,3.3542,-1.55501,south,0.8116,moving,1200,0,0,
25900,1.4646,3.3042,-1.55481,south,0.8011,moving,1200,0,0,
26000,1.4654,3.2542,-1.55475,south,0.7907,moving,1200,0,0,
26100,1.4662,3.2042,-1.55497,south,0.7805,moving,1200,0,0,
26200,1.4670,3.1542,-1.55515,south,0.7704,moving,1200,0,0,
26300,1.4678,3.1042,-1.55451,south,0.7604,moving,1200,0,0,
26400,1.4686,3.0542,-1.55444,south,0.7505,moving,1200,0,0,
26500,1.4694,3.0042,-1.55468,south,0.7408,moving,1200,0,0,
26600,1.4702,2.9542,-1.55517,south,0.7312,moving,1200,0,0,
26700,1.4710,2.9042,-1.55509,south,0.7217,moving,1200,0,0,
26800,1.4718,2.8542,-1.55516,south,0.7124,moving,1200,0,0,
26900,1.4726,2.8042,-1.55488,south,0.7031,moving,1200,0,0,
27000,1.4734,2.7542,-1.55441,south,0.6940,moving,1200,0,0,
27100,1.4742,2.7043,-1.55394,south,0.6850,moving,1200,0,0,
27200,1.4751,2.6543,-1.55448,south,0.6761,moving,1200,0,0,
27300,1.4759,2.6043,-1.55394,south,0.6674,moving,1200,0,0,
27400,1.4767,2.5543,-1.55448,south,0.6587,moving,1200,0,0,
27500,1.4775,2.5043,-1.55464,south,0.6502,moving,1200,0,0,
27600,1.4784,2.4543,-1.55410,south,0.6418,moving,1200,0,0,
27700,1.4792,2.4043,-1.55426,south,0.6335,moving,1200,0,0,
27800,1.4800,2.3543,-1.55390,south,0.6252,moving,1200,0,0,
27900,1.4809,2.3043,-1.55367,south,0.6171,moving,1200,0,0,
28000,1.4817,2.2543,-1.55386,south,0.6091,moving,1200,0,0,
28100,1.4826,2.2043,-1.55428,south,0.6013,moving,1200,0,0,
28200,1.4834,2.1543,-1.55370,south,0.5935,moving,1200,0,0,
28300,1.4843,2.1043,-1.55392,south,0.5858,moving,1200,0,0,
28400,1.4851,2.0543,-1.55429,south,0.5782,moving,1200,0,0,
28500,1.4859,2.0043,-1.55384,south,0.5707,moving,1200,0,0,
28600,1.4868,1.9544,-1.55374,south,0.5633,moving,1200,0,0,
28700,1.4876,1.9044,-1.55397,south,0.5560,moving,1200,0,0,
28800,1.4885,1.8544,-1.55327,south,0.5488,moving,1200,0,0,
28900,1.4894,1.8044,-1.55354,south,0.5417,moving,1200,0,0,
29000,1.4902,1.7544,-1.55340,south,0.5346,moving,1200,0,0,
29100,1.4911,1.7044,-1.55295,south,0.5277,moving,1200,0,0,
29200,1.4920,1.6544,-1.55316,south,0.5209,moving,1200,0,0,
29300,1.4929,1.6044,-1.55371,south,0.5141,moving,1200,0,0,
29400,1.4937,1.5544,-1.55342,south,0.5075,moving,1200,0,0,
29500,1.4946,1.5044,-1.55347,south,0.5009,moving,1200,0,0,
29600,1.4955,1.4544,-1.55352,south,0.4944,moving,1200,0,0,
29700,1.4963,1.4044,-1.55370,south,0.4880,moving,1200,0,0,
29800,1.4972,1.3544,-1.55372,south,0.4817,moving,1200,0,0,
29900,1.4980,1.3045,-1.55423,south,0.4754,moving,1200,0,0,
30000,1.4988,1.2545,-1.55400,south,0.4693,moving,1200,0,0,
30100,1.4997,1.2045,-1.55400,south,0.4632,moving,1200,0,0,
30200,1.5005,1.1313,-1.55337,south,0.4663,moving,1168,1,1,0.1678
30300,1.5009,1.0518,-1.55319,south,0.5027,moving,1093,1,1,0.0928
30400,1.5013,1.0014,-1.55282,south,0.5251,moving,1124,1,1,0.1238
30500,1.5015,0.9672,-1.55226,south,0.5572,moving,1102,1,1,0.1018
30600,1.5015,0.9497,-1.55165,south,0.5963,moving,1086,1,1,0.0858
30700,1.5016,0.9374,-1.55125,south,0.6334,moving,1090,1,1,0.0898
30800,1.5020,0.9110,-1.55060,south,0.6526,moving,1130,1,1,0.1298
30900,1.5013,0.9433,-1.55069,south,0.6907,stationary,1093,1,1,0.0928
31000,1.5010,0.9580,-1.55071,south,0.7176,stationary,1118,1,1,0.1178
31100,1.5007,0.9691,-1.55036,south,0.7450,stationary,1117,1,1,0.1168
31200,1.5005,0.9782,-1.55015,south,0.7759,stationary,1109,1,1,0.1088
31300,1.5003,0.9873,-1.55063,south,0.8197,stationary,1080,1,1,0.0798
