time_ms,ax,ay,az,gx,gy,gz,distance_mm,distance_valid
3100,0.01346,-0.04587,10.12069,-0.00106,0.00053,0.00882,1200,0
3200,-0.19072,0.02555,10.28255,-0.00604,0.00246,0.00215,1200,0
3300,-0.11469,-0.05881,10.07579,0.00299,0.00589,0.00225,1200,0
3400,0.13695,-0.04561,10.22480,0.00636,-0.00356,0.01224,1200,0
3500,0.22973,-0.00711,10.23448,0.00563,-0.00039,0.00359,1200,0
3600,0.04105,0.01640,9.95384,-0.00408,0.00454,0.01195,1200,0
3700,-0.11078,-0.00722,10.23718,0.00407,0.00046,0.00650,1200,0
3800,-0.11190,-0.01054,10.15954,-0.00155,-0.00742,0.00928,1200,0
3900,0.03775,-0.02445,9.87845,0.00333,0.00032,0.01131,1200,0
4000,0.18776,0.04161,10.40766,0.00644,-0.00269,0.00952,1200,0
4100,0.06187,-0.04333,10.08836,0.00428,-0.00493,0.00595,1200,0
4200,-0.08131,-0.00114,9.98289,0.00093,0.00717,0.00618,1200,0
4300,-0.17837,0.04002,10.34902,-0.00504,-0.00222,0.01029,1200,0
4400,-0.16220,-0.02391,10.12534,0.00317,0.00003,0.00922,1200,0
4500,0.12420,-0.04716,10.05508,-0.00256,0.00369,0.00374,1200,0
4600,0.16036,-0.03084,10.27367,-0.00047,-0.00472,0.00746,1200,0
4700,-0.04467,0.01311,9.91470,-0.00777,0.00290,0.00490,1200,0
4800,-0.24330,-0.03500,10.24833,-0.00183,0.00312,0.00899,1200,0
4900,-0.15432,0.01307,10.37434,0.00264,0.00180,-0.00234,1200,0
5000,0.03586,0.05238,9.79516,-0.00188,0.00776,-0.00103,1200,0
5100,0.19972,0.09695,10.26127,0.00276,0.00755,0.00552,1200,0
5200,0.17655,0.03610,10.18849,-0.00036,0.00117,0.00930,1200,0
5300,-0.05112,-0.00781,9.89598,-0.00144,0.00357,0.00641,1200,0
5400,-0.23058,-0.03366,10.48359,0.00456,0.00255,-0.00437,1200,0
5500,-0.09270,0.01923,10.21749,0.00171,-0.00027,0.00809,1200,0
5600,0.01858,0.04133,10.09121,-0.00281,0.00530,0.01324,1200,0
5700,0.14351,-0.02665,10.37348,0.00073,-0.00159,0.00210,1200,0
5800,0.15844,0.04150,9.95276,-0.00538,0.00681,0.00996,1200,0
5900,-0.06407,0.03241,10.14290,0.00104,-0.00864,0.00301,1200,0
6000,-0.19257,0.02091,10.29670,-0.00050,0.00183,0.00751,1200,0
6100,0.00045,0.00836,9.86274,0.00316,0.00020,0.00270,1200,0
6200,0.14383,-0.00001,10.26890,0.00063,-0.00000,0.00670,1200,0
6300,0.16349,-0.05034,10.29545,0.00421,0.00174,0.00524,1200,0
6400,-0.00721,-0.03863,9.78413,0.00024,-0.00372,0.00896,1200,0
6500,-0.23357,-0.10514,10.28110,0.00631,-0.00153,0.00052,1200,0
6600,-0.16744,0.02084,10.21134,0.00071,0.00594,0.00883,1150,1
6700,0.09749,0.04388,9.92754,-0.00156,-0.00286,0.00616,1112,1
6800,0.22346,0.03633,10.34830,0.01019,0.00496,0.00514,1051,1
6900,0.20016,-0.00115,10.07678,-0.00334,0.00307,0.00332,1000,1
7000,-0.08624,0.00097,10.17596,0.00216,0.00082,0.00622,946,1
7100,-0.16901,-0.06554,10.33506,-0.00348,-0.00531,0.00888,890,1
7200,-0.02708,-0.00218,9.93517,-0.00567,0.00731,0.00806,866,1
7300,0.11881,0.00835,10.20846,-0.00469,-0.00070,0.00968,777,1
7400,0.10795,-0.04260,10.27619,-0.00561,0.00013,0.00700,760,1
7500,0.02808,0.02626,9.75513,-0.00390,-0.00404,0.00404,1200,0
7600,0.01471,-0.04761,9.77287,-0.00009,-0.00080,0.00475,699,1
7700,-0.02279,-0.00473,9.85827,0.00182,0.00631,0.01061,697,1
7800,-0.04512,0.00599,9.81442,-0.00551,-0.00100,0.00474,707,1
7900,0.01836,-0.01303,9.84661,0.00141,0.00011,0.00530,722,1
8000,-0.01119,-0.02221,9.77664,-0.00046,-0.00196,0.00642,708,1
8100,-0.01239,0.00519,9.80780,-0.00716,0.00189,0.79568,699,1
8200,0.01807,0.07010,9.81968,0.00512,0.00307,0.79519,716,1
8300,-0.00468,-0.06254,9.80656,-0.00084,-0.00278,0.79509,1200,0
8400,0.03489,0.00079,9.78577,0.00103,0.00233,0.79424,1200,0
8500,0.05258,0.00026,9.75265,0.00666,0.00626,0.78942,726,1
8600,-0.02082,0.02156,9.85001,-0.00004,-0.00271,0.79464,785,1
8700,0.00932,0.01248,9.78880,0.00278,-0.00119,0.79093,839,1
8800,-0.05250,0.05360,9.85097,-0.00486,-0.00602,0.78491,883,1
8900,-0.01379,0.04637,9.82490,-0.00637,0.00203,0.78938,911,1
9000,0.01403,-0.00695,9.78289,0.00064,-0.00194,0.79766,1001,1
9100,-0.00346,-0.01203,9.84636,-0.00191,0.00149,0.79284,1087,1
9200,-0.02115,0.00039,9.89384,-0.00747,-0.00209,0.79208,1193,1
9300,0.01224,0.01864,9.82201,-0.00027,0.00519,0.79645,1200,0
9400,-0.03249,-0.02647,9.82616,-0.00385,-0.00059,0.79064,1200,0
9500,0.00913,-0.01352,9.88743,0.00333,0.00336,0.78593,1200,0
9600,-0.04350,0.00506,9.83331,0.00004,0.00404,0.78204,1200,0
9700,0.02484,0.03541,9.76041,0.00101,0.00014,0.78926,1200,0
9800,-0.06173,-0.03934,9.81667,0.00399,0.00000,0.79810,1200,0
9900,-0.02488,0.04941,9.74668,0.00002,0.00192,0.79415,1200,0
10000,0.03008,-0.02959,9.74493,-0.00102,-0.00568,0.79181,1200,0
10100,-0.04404,0.17019,10.30314,0.00059,-0.00285,0.01105,1200,0
10200,-0.02778,0.14716,10.25847,-0.00006,0.00569,0.00538,1200,0
10300,-0.01850,-0.00566,9.97286,-0.00344,-0.00197,0.00690,1200,0
10400,0.05348,-0.16264,10.35304,-0.00980,0.00247,0.00090,1200,0
10500,-0.06544,-0.14647,10.13893,0.00019,0.01017,0.00504,1200,0
10600,-0.03290,0.14289,10.08298,-0.00191,-0.00371,0.00573,1200,0
10700,0.05929,0.22518,10.34267,0.00355,0.00077,0.00068,1200,0
10800,0.02901,0.09652,10.09706,-0.00032,-0.00473,0.00894,1200,0
10900,0.10170,-0.16492,10.27222,0.00034,0.00281,0.00622,1200,0
11000,-0.03337,-0.14552,10.31568,0.00109,0.00263,0.00087,1200,0
11100,0.02947,-0.00372,9.87003,-0.00217,0.00172,0.00818,1200,0
11200,-0.00358,0.18221,10.28002,-0.00670,0.00531,0.01084,1200,0
11300,-0.04340,0.26150,10.27258,-0.00122,0.00225,0.01209,1200,0
11400,-0.02597,0.03286,9.89364,-0.00280,0.00267,0.00480,1200,0
11500,0.02122,-0.15781,10.33381,-0.00594,0.00802,0.01336,1200,0
11600,0.07242,-0.12697,10.23179,0.00323,-0.00669,0.00484,1200,0
11700,0.00524,0.03553,10.02048,0.00229,-0.00127,0.00039,1200,0
11800,0.06424,0.24001,10.36864,0.00258,-0.00632,0.00703,1200,0
11900,0.00269,0.17941,10.11803,-0.00029,0.00663,0.00893,1200,0
12000,-0.02166,-0.13162,10.25780,-0.00231,-0.00209,0.00527,1200,0
12100,-0.03413,-0.19702,10.35455,0.00032,-0.00891,-0.00038,1200,0
12200,-0.07147,-0.02088,9.95232,-0.00990,0.00156,0.00979,1200,0
12300,-0.01129,0.15382,10.28679,-0.00917,0.00038,0.00895,1200,0
12400,0.06575,0.17559,10.21489,0.00078,-0.00541,0.00435,1200,0
12500,0.03099,-0.04515,9.87661,0.00233,0.00126,0.00605,1200,0
12600,-0.03015,-0.17132,10.31285,-0.00336,-0.00115,0.01423,1200,0
12700,-0.01026,-0.12281,10.23078,0.00156,0.00091,-0.00029,1200,0
12800,0.00060,0.02212,9.95873,-0.00482,0.00278,0.00295,1200,0
12900,-0.05900,0.23029,10.28967,0.00555,0.00529,0.00459,1200,0
13000,0.04980,0.07185,10.19189,0.00095,0.00286,0.00607,1200,0
13100,0.02307,-0.05710,10.03126,-0.00185,0.00356,0.01075,1200,0
13200,-0.00226,-0.19112,10.44919,-0.00700,-0.01008,0.00963,1200,0
13300,0.02722,-0.04138,9.92554,0.00099,-0.00059,0.00545,1200,0
13400,0.01940,0.17675,10.31129,-0.00800,-0.00461,0.00043,1200,0
13500,0.05770,0.16075,10.34528,0.00168,-0.00951,0.01024,1200,0
13600,0.03322,0.00463,9.85496,-0.00150,0.00162,0.00688,1200,0
13700,0.02941,-0.21599,10.23191,0.00017,0.00058,0.00319,1200,0
13800,0.05329,-0.15515,10.31410,0.00206,0.00682,0.00462,1200,0
13900,-0.00430,0.05732,9.90876,-0.00543,-0.00177,0.00801,1200,0
14000,0.01296,0.17640,10.28473,-0.00071,0.00335,0.00931,1200,0
14100,-0.01004,0.10254,10.16742,-0.00692,0.00401,0.00980,1200,0
14200,-0.00081,-0.05260,10.08876,0.00012,0.00042,0.00942,1200,0
14300,-0.02434,-0.18213,10.31277,0.00330,-0.00299,0.00636,1200,0
14400,0.00590,-0.15060,10.05220,0.00146,-0.00093,0.00323,1200,0
14500,-0.02674,0.09510,10.13249,-0.00101,0.00475,0.00771,1200,0
14600,-0.00866,0.12428,10.35564,0.00260,-0.00055,0.01270,1200,0
14700,0.06842,0.09513,9.93799,0.00862,0.00301,-0.00060,1200,0
14800,0.05610,-0.20839,10.16978,0.00375,0.00594,0.00671,1200,0
14900,0.04010,-0.13817,10.23036,0.00115,0.00256,0.00210,1200,0
15000,0.02846,-0.01525,9.82712,0.00012,0.00643,0.00693,1200,0
15100,-0.00697,0.11874,10.27552,0.00742,0.00181,0.01000,1164,1
15200,-0.02387,0.12961,10.17585,0.00255,-0.00524,0.00864,1200,0
15300,0.01410,-0.08377,9.90738,0.00063,0.00676,0.00683,1034,1
15400,-0.01877,-0.19327,10.38696,0.00307,0.00362,0.00835,996,1
15500,-0.00074,-0.06100,10.17345,0.00083,-0.00472,0.01046,956,1
15600,0.02062,0.08977,10.17880,-0.01043,-0.00083,-0.00130,915,1
15700,0.10617,0.28536,10.32897,0.00358,0.00607,0.00733,848,1
15800,0.00091,0.05012,10.04439,-0.00194,0.00089,0.00396,766,1
15900,-0.00125,-0.14075,10.24569,-0.00046,0.00099,0.00698,758,1
16000,-0.03635,-0.26705,10.37591,0.00612,0.00369,0.00926,691,1
16100,-0.02141,-0.03717,9.79657,0.00139,-0.00127,0.01163,699,1
16200,0.00694,-0.02248,9.84930,-0.00031,-0.00435,0.01124,691,1
16300,0.00664,0.05300,9.82660,-0.00013,0.00571,0.01128,698,1
16400,-0.00069,0.00166,9.82668,0.00048,-0.00317,0.00316,668,1
16500,-0.00507,0.00622,9.85321,0.00029,0.00004,0.00484,706,1
16600,0.00639,0.03919,9.79282,-0.00144,-0.00323,0.78821,726,1
16700,0.05278,0.00796,9.82086,-0.00523,-0.00618,0.79221,694,1
16800,0.04306,0.00312,9.78425,-0.00142,-0.00264,0.78796,742,1
16900,-0.01877,0.00740,9.80487,-0.00400,-0.00080,0.79151,741,1
17000,0.03785,0.00294,9.82549,-0.00080,0.00171,0.79660,736,1
17100,-0.00188,0.01177,9.83297,-0.00039,0.00120,0.79677,769,1
17200,0.05783,0.00231,9.80899,-0.00447,-0.00023,0.78701,822,1
17300,0.01399,0.02632,9.81655,-0.00001,-0.00617,0.79496,846,1
17400,-0.03029,-0.01065,9.81874,-0.00473,-0.00055,0.79711,931,1
17500,-0.00456,0.02319,9.81223,0.00058,0.00658,0.79763,1200,0
17600,-0.01692,-0.02870,9.86473,-0.00140,0.00260,0.79612,1200,0
17700,-0.02323,-0.01560,9.76845,0.00446,-0.00059,0.79470,1200,0
17800,-0.03922,0.02012,9.78490,-0.00083,-0.00513,0.79042,1200,0
17900,0.01936,-0.00866,9.80159,0.00189,-0.00119,0.79327,1200,0
18000,0.00240,0.02489,9.79809,0.00061,0.00075,0.79733,1200,0
18100,0.01192,-0.03090,9.77544,-0.00012,-0.00147,0.78819,1200,0
18200,-0.01535,0.02287,9.75941,0.00115,-0.00093,0.79738,1200,0
18300,-0.04912,0.01342,9.80511,0.00054,0.00187,0.79898,1200,0
18400,0.01249,0.01616,9.77064,0.00257,-0.00504,0.79097,1200,0
18500,0.01338,0.04124,9.83913,0.00098,0.00337,0.79067,1200,0
18600,-0.02128,-0.00137,9.91965,-0.00082,-0.00374,0.00156,1200,0
18700,0.26196,-0.07808,10.27209,-0.00074,-0.00068,0.00234,1200,0
18800,0.19115,0.00532,10.22872,-0.00140,-0.00477,0.00766,1200,0
18900,0.05283,0.06230,9.92897,0.00010,0.00018,0.00801,1200,0
19000,-0.12547,0.00370,10.33243,-0.00464,0.00027,0.00674,1200,0
19100,-0.16136,-0.03692,10.18807,0.00153,-0.00271,0.00907,1200,0
19200,0.06234,0.01364,10.08810,-0.00193,0.00002,0.00493,1200,0
19300,0.18718,0.01459,10.28381,0.00129,-0.00547,0.00350,1200,0
19400,0.12827,-0.06633,10.13962,0.00718,0.00432,0.00868,1200,0
19500,-0.11328,-0.00713,10.24050,-0.00391,-0.00003,0.00818,1200,0
19600,-0.21589,-0.04778,10.36523,0.00019,-0.00669,0.00375,1200,0
19700,-0.07918,-0.01077,9.97253,0.00325,-0.00491,0.00588,1200,0
19800,0.12975,-0.06389,10.26610,-0.00182,-0.00099,-0.00209,1200,0
19900,0.20064,0.00197,10.34017,-0.00198,0.00591,0.00729,1200,0
20000,-0.01928,0.01680,9.84132,-0.00225,0.00431,0.00789,1200,0
20100,-0.15074,0.04049,10.43380,-0.00025,-0.00184,0.00780,1200,0
20200,-0.15844,-0.08581,10.32927,0.00181,-0.00625,0.00357,1200,0
20300,0.06025,-0.01231,9.92866,0.00107,0.00382,0.00995,1200,0
20400,0.20500,0.01567,10.27591,-0.00566,-0.00002,0.00385,1200,0
20500,0.12262,-0.03239,10.10240,-0.00050,-0.00872,0.00127,1200,0
20600,-0.07411,-0.00024,10.02268,0.00086,0.00634,0.01103,1200,0
20700,-0.24681,-0.02414,10.26587,-0.00245,-0.00518,0.00268,1200,0
20800,-0.06373,-0.01257,9.99610,-0.00611,0.00338,0.00471,1200,0
20900,0.08204,-0.00002,10.23899,-0.00536,0.00155,0.00095,1200,0
21000,0.22256,0.02303,10.31958,-0.00392,-0.00573,0.00245,1200,0
21100,0.05494,0.01101,9.87672,-0.00228,-0.00064,0.00789,1200,0
21200,-0.26203,-0.01833,10.27160,-0.00445,-0.00225,0.00502,1200,0
21300,-0.21578,-0.04819,10.20226,-0.00407,-0.00056,0.00860,1200,0
21400,0.01625,-0.01601,9.83320,0.00016,-0.00204,0.00973,1200,0
21500,0.18656,0.03003,10.34703,-0.00053,0.00039,0.00236,1200,0
21600,0.15737,-0.01191,10.14236,-0.00027,0.00284,0.00549,1200,0
21700,-0.16835,-0.02771,10.00652,0.00127,-0.00378,0.00650,1200,0
21800,-0.17915,0.01212,10.26912,-0.00299,-0.00336,0.00335,1200,0
21900,-0.10723,0.03638,10.06446,-0.00476,-0.00566,0.00782,1200,0
22000,0.07644,-0.01387,10.19389,0.00535,0.00536,0.00123,1200,0
22100,0.25817,-0.00425,10.39854,-0.00009,0.00421,0.00612,1200,0
22200,0.05244,-0.00573,9.90678,0.00011,0.00339,0.00180,1200,0
22300,-0.14868,-0.03818,10.17805,-0.00597,0.00699,0.00684,1200,0
22400,-0.19183,0.04088,10.21173,0.00047,-0.00215,0.00877,1200,0
22500,-0.04941,0.00605,9.81071,0.00558,-0.00174,0.00600,1200,0
22600,0.19947,0.01821,10.33616,0.00061,-0.00364,0.01097,1200,0
22700,0.22502,0.00628,10.20450,0.00424,-0.00346,0.00716,1200,0
22800,-0.10803,0.05538,9.89232,0.00140,-0.00225,0.00427,1133,1
22900,-0.27318,0.03117,10.31339,-0.00106,0.00022,0.00818,1095,1
23000,-0.11695,0.02864,10.17909,-0.00498,0.00006,0.00630,1049,1
23100,-0.03780,0.00771,9.78083,-0.00661,-0.00295,0.00895,1056,1
23200,-0.00291,-0.00473,9.80455,-0.00468,-0.00385,0.00926,1044,1
23300,-0.03447,-0.00230,9.81630,-0.00063,-0.00111,0.00051,1034,1
23400,0.05066,-0.03617,9.81584,0.00035,-0.00273,0.00215,1056,1
23500,0.01158,-0.02213,9.82432,-0.00359,-0.00318,0.00592,1009,1
23600,-0.00329,0.00701,9.78404,-0.00138,0.00308,-2.35505,1069,1
23700,0.04653,0.01196,9.83835,-0.00331,0.00322,-2.34916,1188,1
23800,0.00076,-0.03409,9.78227,0.00213,-0.00851,-2.35442,1200,0
23900,-0.02683,-0.03238,9.77687,-0.00497,-0.00344,-2.34881,1200,0
24000,0.04326,-0.04911,9.82331,0.00203,0.00150,-2.34348,1200,0
24100,0.01192,0.03758,9.78748,-0.00505,0.00546,-2.34902,1146,1
24200,-0.01009,0.02974,9.79672,0.00386,-0.00586,-2.35744,1172,1
24300,0.01307,0.04015,9.84716,-0.00798,-0.00408,-2.35083,1200,0
24400,0.00167,-0.03049,9.83616,0.01040,-0.00429,-2.35427,1200,0
24500,0.00475,0.03458,9.83581,0.00054,0.00223,-2.34980,1200,0
24600,0.00029,-0.00618,9.79602,0.00168,-0.00036,-2.34876,1200,0
24700,-0.01152,0.04753,9.81533,0.00032,0.00650,-2.34970,1200,0
24800,0.00889,0.00713,9.76310,0.00398,-0.00510,-2.34534,1200,0
24900,0.02133,-0.00844,9.77775,0.00279,-0.00126,-2.34400,1200,0
25000,-0.01060,0.00515,9.81037,-0.00431,-0.00599,-2.34717,1200,0
25100,0.01243,-0.00233,9.79207,0.00296,-0.00354,-2.34663,1200,0
25200,0.01053,-0.02873,9.79537,-0.00099,-0.00201,-2.34908,1200,0
25300,-0.02725,-0.02594,9.77660,-0.00344,0.00195,-2.34802,1200,0
25400,-0.07037,0.00838,9.77211,-0.00037,0.00136,-2.34404,1200,0
25500,-0.00762,0.01260,9.78617,-0.00867,-0.00680,-2.34754,1200,0
25600,-0.04731,-0.11158,10.12432,0.00297,-0.00251,0.00384,1200,0
25700,-0.04979,-0.14192,10.30379,-0.00005,0.00023,0.00566,1200,0
25800,0.04178,-0.13658,9.96482,0.00089,-0.00076,0.00965,1200,0
25900,-0.06333,0.17191,10.13825,-0.00117,0.00772,0.00813,1200,0
26000,-0.05691,0.22184,10.30928,0.00437,0.00259,0.00678,1200,0
26100,-0.02558,0.02517,9.76308,0.00055,0.00544,0.00403,1200,0
26200,-0.04022,-0.16060,10.31130,0.00005,-0.00708,0.00434,1200,0
26300,0.00429,-0.14492,10.19376,0.00057,0.00524,0.01264,1200,0
26400,-0.05020,-0.02002,9.87114,-0.00219,-0.00138,0.00690,1200,0
26500,0.02361,0.17872,10.28784,-0.00373,-0.00160,0.00374,1200,0
26600,-0.00245,0.26848,10.23383,-0.00133,0.00135,0.00127,1200,0
26700,-0.05213,-0.04363,10.06851,-0.00272,0.00401,0.00704,1200,0
26800,0.00135,-0.11954,10.35287,-0.00516,0.00044,0.00549,1200,0
26900,0.06934,-0.18286,10.12925,0.00080,-0.00735,0.00898,1200,0
27000,-0.00697,0.14360,10.14118,0.00070,0.00152,0.01085,1200,0
27100,0.01609,0.22691,10.31006,0.00830,-0.00286,0.01097,1200,0
27200,0.02119,0.03358,9.96197,0.00298,-0.00078,0.00074,1200,0
27300,-0.02255,-0.09678,10.21366,-0.00342,0.00271,0.01158,1200,0
27400,0.08764,-0.15268,10.30581,0.00299,0.00074,0.00084,1200,0
27500,0.06922,0.06292,9.75624,0.00672,0.00205,0.00455,1200,0
27600,-0.05585,0.19446,10.30611,0.00412,0.00530,0.01158,1200,0
27700,-0.02235,0.13795,10.29756,0.00009,-0.00189,0.00462,1200,0
27800,0.02757,-0.01716,9.98707,0.00145,0.00257,0.00974,1200,0
27900,0.04713,-0.13308,10.35655,0.00037,0.00102,0.00854,1200,0
28000,-0.01239,-0.04406,10.09282,0.00168,-0.00141,0.00429,1200,0
28100,0.00588,0.16565,10.03338,-0.00304,-0.00317,0.00202,1200,0
28200,0.06291,0.14390,10.36881,0.00177,0.00221,0.01193,1200,0
28300,0.02207,0.05251,10.00327,0.00217,-0.00229,0.00402,1200,0
28400,0.01225,-0.14703,10.28131,-0.00123,0.00209,0.00251,1200,0
28500,0.00198,-0.17405,10.31901,0.00136,-0.00018,0.01070,1200,0
28600,-0.03641,-0.01405,9.93421,-0.00070,0.00301,0.00714,1200,0
28700,0.03633,0.31016,10.26441,0.00162,-0.00082,0.00391,1200,0
28800,0.08254,0.22912,10.30283,-0.00300,0.01068,0.01322,1200,0
28900,0.00729,-0.03695,9.90205,0.00756,0.00009,0.00347,1200,0
29000,-0.00426,-0.27120,10.37670,0.00103,0.00510,0.00763,1200,0
29100,0.01923,-0.12883,10.10830,0.00053,0.00154,0.01067,1200,0
29200,0.02860,0.04164,10.01360,0.00150,0.00530,0.00408,1200,0
29300,-0.07052,0.17628,10.34218,0.00595,0.00261,0.00064,1200,0
29400,0.03491,0.16495,10.10606,-0.00392,0.00661,0.00907,1200,0
29500,-0.03507,-0.03015,10.14392,-0.00802,0.00119,0.00574,1200,0
29600,0.02553,-0.17768,10.30859,0.00199,0.00330,0.00568,1200,0
29700,-0.00217,-0.09286,9.94003,-0.00202,-0.00020,0.00437,1200,0
29800,-0.07185,0.17746,10.20087,-0.00095,-0.00380,0.00601,1200,0
29900,-0.01422,0.25019,10.21870,-0.00480,0.00016,0.00112,1200,0
30000,-0.00946,0.10380,9.82696,0.00042,0.00250,0.00843,1200,0
30100,0.01826,-0.17692,10.29638,0.00509,0.00353,0.00626,1200,0
30200,0.00711,-0.19664,10.19546,-0.00617,-0.00089,0.01244,1168,1
30300,0.01968,0.05548,9.88789,0.00019,-0.00038,0.00801,1093,1
30400,0.00910,0.01088,9.79703,-0.00595,-0.00293,0.00984,1124,1
30500,-0.02399,0.02016,9.82958,-0.00413,-0.00755,0.01181,1102,1
30600,-0.02689,-0.01635,9.83761,0.00718,-0.00085,0.01227,1086,1
30700,0.03418,0.01196,9.87757,-0.00244,0.00002,0.01019,1090,1
30800,-0.02115,0.02898,9.82347,-0.00082,-0.00002,0.01277,1130,1
30900,0.03920,-0.01640,9.83267,-0.00774,0.00079,0.00530,1093,1
31000,-0.01832,-0.00550,9.84710,0.00496,-0.00255,0.00598,1118,1
31100,0.02353,-0.00751,9.79522,0.00543,0.00391,0.00969,1117,1
31200,-0.00982,-0.03624,9.81776,0.00123,0.00165,0.00826,1109,1
31300,-0.00534,0.02176,9.84212,0.00264,0.00293,0.00136,1080,1
