question,A,B,C,D,correct
The men are sitting together at the church. The men,singing in a band.,are studying together about physics.,attending a mass.,are talking on the phone and cursing loudly.,C
The boy is playing in a soccer game. He,gets a first down.,gets a touchdown.,scores three baskets.,does a header.,D
"John did not want to socialize with the other students, so he",performed well in his classes.,joined a student club.,went to a party.,sat at home alone.,D
"A colonial empire is a collective of territories (often called colonies), mostly overseas, settled by the population of",of a certain state and governed by that state,the entire world,people with a median age of 35.3,England,A
"The machine learning class is there on Monday. Today is Monday,",so there will be an Artificial intelligence class today.,so there will be a class.,so there will not be any machine learning class today.,so there will be no class today.,B
A man is observing his laptop's screen. He,gets tackled by a police officer.,gets called by his wife for breakfast.,is reading an article from the Wall Street Journal website.,gets hits by a truck while crossing the street.,C
A man in a chef's coat is standing in a kitchen talking to the camera. A pancake,is covered with candles in front of a large kitchen.,is played in a kitchen sink.,appears in a pan next to the dog.,is shown with syrup being poured on it.,D
There's this girl I like. She,likes to climb trees.,enjoys watching me suffer.,doesn't know whether she likes me back or not.,tried to break into a school building with my credit card.,C
Her skin was Sahara desert level dry in the winter. She decided to,Put on some soothing lotion.,Drink some hydrating Gatorade.,ride a camel.,shovel snow outside.,A
The cat runs around the basketball court. It,returns to the owner.,leaps for a slam dunk.,leaps for a foul.,takes a three point shot.,A
The girl is working on her programming assignment. She,is trying to get her teacher to help her fail.,is eating a chocolate bar while writing her paper.,doesn't know how to complete it before midnight.,wants her friend to delete her assignment.,C
He chews some gum and looks resentfully around the bar. He,arrives two rows shots.,takes in the usual collection of festive social drinkers out enjoying a christmas drink.,is on his coffee table.,lets go of a boom looking from the school turret.,B
A woman gets to work early and drops off her briefcase. She then,microwaves her lunch.,drives home through traffic.,lays down to watch a favorite show.,makes small talk at the office.,D
A man with a green parka is walking down the street on a cold day. He,puts on his sunglasses while walking around the swimming pool.,takes of his blue jacket.,watches people happily swimming in the lake.,runs toward the shuttle in a hasty manner.,D
John raises his hand. The teacher,sees his hand but continues to write problems on the chalk board.,ignores him and continues to teach.,hands out exams to everyone except John.,calls his name.,D
"Ted, a very curious cat, sees a shiny gem in the middle of the street. Ted",walks over to the gem and picks it up with his mouth.,rides his bike over and picks up the gem.,stands up and picks the gem up with his hands.,tells the gem to come over.,A
People wait for their flight to take off. They,can't board the spaceship yet.,sit on the floor.,turn off their phones.,fly the plane at three thousand miles per hour.,C
The barmaid comes over to join them and sniffs his empty glass. The barmaid,"is called his french cooking, and approaches the breakfast counter.",replays his heading for the window.,refills his glass and gives him a sunny smile.,waves his bottle delicately off a blender and answers the door.,C
John swims faster than Michael Phelps. He,swam slower than a high schooler.,went to the Olympics.,drowned for no reason.,swims at the state level.,B
Did you look up at the stars last night? They,started a reality tv show.,glittered beautifully.,are famous tv stars with hopeful careers.,spelled out letters.,B
The clock strikes seven. The man,flies to Mexico.,drives to Mexico.,sings to Mexico.,gets up to brush his teeth.,D
U.S. government attempts to quantify the costs and benefits of protecting the country’s bodies of water are likely undervaluing healthy lakes and rivers. U.S. government,spent money on protecting the country's bodies of water.,undervalue the cost of protecting the country's bodies of water.,failed to evaluate healthy lakes and rivers.,likes healthy lakes and rivers,C
I think I want some sushi tonight. I,will go spear dive for some fish.,am going to hunt for some fish tonight in the Maldives.,will jump into a cage with a chef and shark and ask him to make a meal for me.,like tuna rolls.,D
The forest is on fire. The forest,won the lottery.,is being flooded.,is making the atmosphere black.,is killing the fox.,C
Question: A human doesn't know he doesn't know his homeland. He,thinks he knows the history of his homeland.,knows the problem of his home.,thinks he doesn't know the history of his homeland.,knows the idea of increasing his land.,A
A bird flies into a window. The bird,falls asleep,breaks through the window,is eaten by a cat,dies,D
Dan is creating a new Python library. He,raises pet pythons.,catches snakes in the Amazon rain forest.,puts books about snakes onto his bookshelf.,writes code.,D
A boy went to a haunted house. He,punched through a ghost,grabbed his girlfriend's arm in fear,ate a ghost shaped cookie in silence,impaled a clown with a chainsaw,B
there are some big countries like china and,beijing,usa,korea,chongqing,B
The librarian needed a way to organize their books. The librarian,decided to use the dewey decimal system.,pleaded with children in the library to be quiet.,provided books to children at a school.,read some of their favorite books for fun.,A
Suzy just requested an Uber driver so that she can get to O'Hare. Suzy,waited for the car to arrive.,waited for her Uber driver but disappeared out of thin air before she could get into the car.,stole the Uber driver's car and became an Uber driver to drive herself to O'Hare.,waited for half a second for her Uber driver and then decided she doesn't want to catch her flight after all.,A
George hates to be alone. Tonight he decides to,binge a TV series at home.,watch a movie alone.,study in his room.,go to a party.,D
The cheetah stalks the gazelle. The cheetah,yells at the gazelle to stop moving.,bites the gazelle.,shoots the gazelle with the revolver.,asks the gazelle to fall down and die.,B
A man vacuums his carpet. His,parents are visiting soon,living room couch is very comfortable.,apartment has very reasonable rent.,windows are very dirty.,A
"I go into the bathroom, to",so that I can walk back out.,eat my dinner.,exercise.,brush my teeth.,D
The giraffe wanders around its habitat at the zoo. It,eats leafy greens from tall trees.,orders a burger and fries.,pays $7.00 for a ticket to the zoo.,turns on its blinker and merges onto the freeway.,A
"After his recent weight gain, Marcus",planned to kidnap his elder cousin.,wondered when it would next rain.,realized he needed to buy new clothes.,hoped the upcoming baseball season would be enjoyable.,C
The police operation was encumbered by crows of reporters. The police,told them to go away.,shoot at the reporters for no reason.,called an ambulance.,arrested the thief.,A
Timmy wanted a glass of milk. He,got a carton of juice from the fridge instead.,emptied an entire gallon of milk into his glass.,opened the fridge and took out a carton of milk.,drank a glass of water.,C
A dog runs across a field as a frisbee flies through the air. The dog,finishes his meal and falls asleep.,catches the frisbee and throws it back.,gets distracted by a squirrel and forgets about the frisbee.,realizes he has become a horse.,C
A man hikes through the woods without a cell phone. The man then,finds a cute baby bear to keep as a pet.,calls his mom to tell her he doesn't have a cell phone.,becomes a snack for a wild chip monk.,jumps as he hears rustling in bushes only to be greeted by a harmless squirrel.,D
A girl sent her friend a text. She,didn't actually have a friend.,wished her a happy arbor day.,sent an emoji.,told her about the gun violence.,C
"I can't believe that after waking up, all he wanted",after drinking coffee was a glass of orange juice.,to do was wake up.,was a hearty chuckle.,was more sleep.,D
Typhoid fever ravaged the village. The villagers,were feeling better than ever.,recommended taking antibiotics and drinking the same fluids used for handwashing.,responded by sarcastically mocking the naysayers.,felt there was no hope.,D
I love all of my friends except for Bob. I,want to hang out with him.,hate him.,wish he was not my friend.,love him.,B
The old man pets his dog. The dog,chases after the ball.,eats his cat food.,licks his owner.,barks angrily.,C
Archibold is a butler. Archibold,goes to butler,feeds giraffes dogs,but heard,serves dinner,D
"The plane was taxiing on the runway. Inside, the woman",began her avionics experiment.,tripped down the stairs.,put on a pair of headphones.,took out her can of spray paint.,C
It rains every Sunday. Today is Sunday so it must be,cold,a sunny day,hot,raining,D
"I live in United State, and I want to see sunrise, so I",facing East at 5:30 am,eat breakfast and then go to sleep,get up really early and close the curtain,facing West in the morning,A
A man's alarm goes off. He,wakes up his wife to make her get up for him.,stays in bed until the next morning.,gets up and puts his pants on backward.,snoozes it.,D
An actor plays a character that murders his wife. The actor,stabs a knife into a knife.,goes to jail in real life.,rings his handlebar bell.,says it was a hard scene emotionally.,D
A man is sitting on a park bench peeling a banana.  He,throws the peel hundreds of yards away.,re-affixes the peel and returns the banana to the grocery store.,tosses the peel into the trash can and begins eating.,eats the peel and sets the banana on fire.,C
My brother asked me to bring him something to write on. I,brought him a pen and paper.,got him a pair of night-vision goggles.,bought him a new anaconda.,refused to buy him a new pair of pants.,A
I defrost chicken. I,put the chicken back in the freezer.,dip the chicken in chocolate.,run the chicken in water.,prepare the chicken and cook it.,D
"I can't believe that he would be so careless towards his work, letting",me do my work at a rather reasonable pace.,his coworkers off the hook for crimes their wives committed.,the evidence speak for itself.,his intern handle the most difficult tasks.,D
"A student looks at her phone. On it, she sees",that her aunt's birthday is today.,a man walking by outside the window.,a new song playing in the hall.,her friends studying later than night.,A
The lady hits her cat. The cat,falls asleep.,screeches.,purrs.,poops.,B
Shaggy and Scooby were fighting with each other. Scooby,likes peanut butter.,was mad Shaggy ate all the snacks.,doesn't know where Fred went.,wanted Shaggy to watch television with him and Shaggy happily agreed.,B
I don't believe in atheism. I,think god exists.,am an atheist.,don't think god exist.,am dancing now.,A
A woman gets to work early and drops off her briefcase. She then,chats with colleagues at the office.,microwaves her lunch.,lays down to watch a favorite show.,drives home through traffic.,A
"He is a lazy man, so he",Wishes he can be less lazy,Infects other with his laziness,Works on his homework early,Decided to go to sleep on his couch,D
Trump continues the trade war with China. China,will send an astronaut to America.,will arrest Trump for the war he started.,will retaliate.,will have a war with France.,C
"The large, strange dog tackled the man from behind. The man",caught fire.,backflipped three times and entered the olympics.,covered his head and rolled up in a ball.,pet the dog.,C
The man was at the airport and found out that his bag was over the allowed weight. He should,remove items from his bag.,changed the allowed weight to a higher number.,walk to his final destination.,cancel his trip.,A
"After he left the airport from a tiring seven hour flight, Bob's",only desire was to sleep.,foot was on fire.,mother sat next to him on the plane.,backpack told him to sleep.,A
John is at his apartment door with his key that fits. He,keyed someone's car,opened the door with his key.,called his roommate for help.,opened a lock with his key.,B
My roommate keeps unplugging our toaster. She believes that,the toaster will come alive and eat us.,the toaster causes obesity.,our electricity bill will be high.,her father will disown her if she does not.,C
The man let the dog off the leash. The dog,wound up lost.,made amends for a bone.,flew to the moon.,bought a new home.,A
The filters in the coffee machine needed to be changed. They,had turned dark and smelled horrible,are one of the greatest inventions of all time i think,were bought from the Walmart,were a combination of cloth and paper,A
Moths are a common species of insects. Moths,oranges.,are dogs.,hurt walls of passion.,are drawn to lights.,D
The tired man drinks an energy drink. The man,hopes to still be tired.,hopes to sleep soon.,has just finished a marathon.,will be sleeping soon.,C
The writer needed to find a quiet place to work. The writer,loved playing hide and seek.,knew they could collect their thoughts better in silence.,wrote a lot of powerful tweets on twitter.,enjoyed answering questions about their fiction.,B
"On a foggy overcast day, a cat sits on the couch, staring through the window at",the man outside.,the moon in the sky.,the tornado coming home from work.,the cats dancing outside.,A
The right-leaning man didn't like the left wing. He,flew his plane unevenly.,always gave the right wing presents.,would never vote for a progressive.,bought a company that manufactured right wings.,C
"Adam was playing cards with Bob and was way ahead. If Bod hadn’t had a sudden run of good luck, he would have",defeated Adam,passed out,won,lost,D
The Milky Way was born billions of years ago. The earth,is a star.,is the center of the universe.,is a sun.,is our home.,D
A woman in an orange vest wearing skis is standing at the edge of a dock by the water. She,pulls down a fishing boat and knocks on the salvage rocks.,talks to the camera as she rides the boat across the lake.,sits down on the dock and then gets into the water.,wanders off doing the same thing.,C
Bob is very good at everything except multitasking. He,is the best person I know.,is very smart.,can not do two things at once.,can easily do two things at once.,C
The motorcyclist gets out of bed and prepares to leave by bathing using the bathroom and reading the newspaper. He,"sits on the ground beside her pants, clinging by a flannel wool.",shoots a look at her.,rides the motorcycle down the hall and into the elevator.,makes his way past it and peers out a window.,C
A cow is on a field. The cow,hits a home run.,makes money.,teaches a class.,eats grass.,D
Bob is playing squash with his girl friend and decides to get dinner. He,starts texting his girl friend.,makes a meal with his dog.,buys squash and makes a meal out of it.,eats his racket.,C
Matthias was preparing for an examination since last semester. He,somehow forgot to register for it,was very negligent towards his health,hits the gym daily,plays with his dogs in his free time,A
A group of younger Koreans meet an elderly Korean. They,respectfully bow.,punch the elder in the stomach.,politely ask for money.,start a rap battle.,A
I gave my pet cat a treat. My cat,"meows, ""I'm tired of eating this treat. Can you give me another one?""",eats the treat.,"meows to ""Treat You Better"" as she eats the treat.",meows and stares at me.,B
Two friends are looking at cakes in a bakery. They,start throwing water at each other.,pay the bartender for the cake and leave the pub.,run a marathon.,order a cheesecake.,D
I bought a lottery ticket this morning at the gas station. I,need money for college.,use gas for my stove.,have a garden.,slept in until the afternoon.,A
We organized a bonfire party. I,like to play with fire.,threw a bucket of water at the bonfire.,brought marshmallows to toast.,howled like a wolf.,C
I told my dog to fetch me some water from the fridge. She,just curled up next to my chair.,gave me a disparaging look.,"did fetch me water, albeit slowly.",took herself out on a walk.,A
The girl is doing her homework in her bedroom. She,wants her mother to make her pizza before she sleeps.,wants her teacher to do her homework.,prefers to do her work while lying down.,is working on getting her preschool degree.,C
"When you are plugging in an electric cord, you should keep your hands dry because",dry hands are more attractive than wet hands.,you will go blind otherwise.,you will get deported otherwise.,you will get electrocuted otherwise.,D
John runs for a frisbee that is not in the air. He,catches the frisbee.,throws the frisbee.,eats chocolate.,picks up the frisbee from the ground.,D
I don’t know how to do some of the homework problems. So I will go to,eat,the office hour,the football game,sleep,B
My imaginary friend Paul was an important part of my childhood. He,always appeared in my dreams.,got me a new car for my birthday.,took me on vacation to Hawaii.,was my son's godfather.,A
My roommate keeps unplugging our toaster. She believes that,the toaster causes obesity.,the toaster will come alive and eat us.,her father will disown her if she does not.,our bill will be high.,D
I broke my arm when,caught a ball.,I held her hand.,I fell off a roof.,I touched my fingers to my toes.,C
My parents bought are purchasing an air conditioner in the store. I,will play better at basketball.,will drive to work today.,will feel good in the summer.,will study harder at school.,C
A boy is listening to music using Pandora when a girl walks over. The girl,opens the Pandora box.,kicks a soccer ball.,runs up a tree.,suggests using Spotify instead.,D
A weak Siberian wildcat hunts a goose. The wildcat,likes the hot winters in Siberia.,hasn't eaten in a long time.,lives in the water.,uses a gun to shoot the goose.,B
Elijah is a doctor. Elijah,went to medical school,works on a plane,works on Wallstreet,works in the sewers,A
Two elephants are behind a large fence in a zoo while people look on. The animals,cheer for the elephants to start running.,are deep within the African jungle.,look somewhat bored.,elevate for a spectacular reverse dunk.,C
I was playing poker with friends. I,found a pot of gold under a rainbow.,started dancing on the table.,called the raise.,ate a big hamburger.,C
He grabs the long pole and begins to walk with it to the other side of the field. Then he,stands away from the edge.,positions himself and does a jump and lands.,takes the camera to turn the back to the rope.,tries again to keep the ball and ties.,B
A woman cries to her best friend. She,is venting.,feels magnificent.,feels claustrophobic.,feels tenuous.,A
Eric's classmates are meeting at a bar after class and invite him to join.,Eric develops spider-like powers and begins to fight crime.,Eric goes to London.,Eric wakes up.,He politely declines and goes home to sleep.,D
A boy has three yellow objects. They,are eggplants.,are blades of grass.,are bananas.,are footballs.,C
"Petter loves computer science, he",admires Mahatma Gandhi very much.,doesn't feel well.,dreams about being a superman.,thinks codes are very beautiful.,D
The girl jogs through the park. She,stops to take a drink at a water fountain.,begins brewing a cup of coffee.,turns on her left blinker and runs into the left turn lane.,throws a frisbee with her friend in the park.,A
While the teacher wrote on the blackboard,the blackboard turned into a whiteboard.,the principal dragged an iguana by the ear into the room.,the chalk broke.,a toilet walked in late.,C
The carefully generated words were classified incorrectly by the model. The model,eats dinner.,calls classification experts.,raises prices.,ceases to be useful.,D
"Kathy has a gift in math, she",knows about calculus before she was born.,spends all her time reading poems.,falls asleep.,beats others in the related competition.,D
A professor takes out his red pen and some papers. The professor,wraps the papers around the pen several times.,makes a paper airplane with the papers and pen.,writes on the blackboard.,starts grading exams.,D
"He falls asleep in the bed, he",thinks about the final exam.,breathes steadily.,opens his eyes.,looks at the floor.,B
A man runs across a field as a football flies through the air. The man then,makes a cake,reaches up with both hands as the ovular shaped ball clanks off of his finger tips.,leaps 15 feet into the air and comes down with the ball secured to his foot.,slows to a stop as he is grabbed by the football in dramatic fashion.,B
Jill said that the game was boring. This caused Bill to,suffer from cognitive dissonance.,run around in confusion.,instantly die.,play a different one.,D
A king sipped a glass of red wine with dinner. He,won chess.,got drunk.,fell in a ditch.,sent his cat to prison.,B
A baker is baking a cake. He,follows a recipe from the lost city of Atlantis for the cake.,makes frosting and plays sudoku with the cake.,pre-heats the oven.,"mixes flour, raw chicken and pesto into the cake.",C
Jimmy felt that his hands were sticky. He,washed them with glue.,pasted them onto a wall.,rinsed them in the sink.,showered under a waterfall.,C
Sage likes cooking but is bad at it. She should,practice cooking more,never cook again then,quit cooking early and find something she is good at,pay someone to cook all her meals for the rest of her life,A
A woman is walking her dog in the snow. She,jumps off the diving board and executes a front flip.,hates cleaning up after it in the winter.,loves teaching her classes like this.,doesn't have a dog.,B
A very friendly neighborhood woman is mowing the lawn when a child walks nearby. The woman,picks up a nearby potted plant and throws it on the floor.,berates the child for walking nearby while she is mowing the lawn.,offers some of her priceless wine to the minor.,smiles and says hello.,D
The student is trying to sharpen a pencil with a sharpener. He,decides to sharpen a ruler instead,uses the pencil to sharpen the sharpener,gives up and erases everything in frustration,gets one from his backpack,D
"Benjamin believed the world would be better off without him, so he",enrolled in a local dance class.,planned to take his own life.,donated money to the World Wildlife Foundation.,purchased holiday decorations for his house.,B
I stopped by the zoo the other day. I,ran with the cheetah.,swam with the penguins.,saw the penguins.,saw children in cages.,C
Bob used to love eating meat but his girlfriend convinced him to convert to veganism. He,usually eats fish now.,usually eats steak now.,usually eats chicken now.,usually eats tofu now.,D
"many big brands such as LV, prada and",PUMA,BEIJING,CHINA,MICROSOFT,A
I am playing a classical piece on the piano. I,turn down the music volume,remove a piano key,wave to my mom in the recital audience,turn the page in songbook,D
Karen begins hormone treatment. She,thinks about becoming a small child.,plucks her eyebrows into thin little strips.,is transitioning.,wants to begin classes this fall in order to study criminal justice.,C
Kieran is a puppy. Kieran,is 5.,digests metal.,is a giraffe.,is a robot.,A
You need to get a present for your girlfriend for her birthday. You should,buy whatever and hope she will like it,buy presents for your mom,go to a store last minute because you need a gift right away,plan ahead to brainstorm a good gift,D
Tina likes dogs. Tina,deserted her dogs last month.,likes cats.,didn't give food to her dogs.,adopted three deserted dogs last month.,D
"The three sisters all have different hair colors. The eldest sister has black hair, the middle sister has red hair, and the youngest sister",has black hair.,has blond hair.,has hair.,has red hair.,B
There are a large number of predators in the African Savanna. The impala,is one of these predators.,drove down the street.,kills for sport in this ecosystem.,is constantly aware of its surroundings to survive.,D
"The students are taking a math class, some of them",play video games.,are asked to write articles about politics in class.,are absent-minded.,sing a song.,C
"It was Christmas Eve and in the North Pole, Santa was",getting ready to hibernate.,petting a camel.,loading his sleigh.,eating Rudolph’s daughter for dinner.,C
The runner almost approaches the finish line before the rest of the pack of runners. The runner,comes in first place.,starts doing push-ups.,comes in second place.,suddenly sprints backwards.,C
The professor is teaching the kids physics. The professor,is arguing with her husband over the phone.,engages with the students well.,is eating at her desk with headphones on.,is learning physics.,B
A cat is running full speed across a carpet.  It,leaps over a handbag on the floor and keeps going.,proves theorems daily.,asks a question of each person in the room.,turns its head to lap up the milk.,A
He puts onions and other ingredients onto a plate and cuts up several more ingredients. He,dips the ingredients into noodles and pours it over again.,as he finishes the ingredients and makes an omelette from a plate to another.,shows off two still finished slices.,places the final ingredients into the bowl while talking to the camera and pans out on the meal he made.,D
A dog walks into a lecture hall. It,teaches students A to Z.,gives a lecture.,teaches students physics.,circles around for food.,D
