ix,iy,x_center_m,y_center_m,visit_count,dwell_s,gait_window_count,mean_gait_risk,max_gait_risk,mean_confidence,environment_risk,heatmap_score,danger_level
2,5,1.250,2.750,10,1.000,1,0.2366,0.2366,0.6900,0.0000,0.2157,low
3,5,1.750,2.750,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
4,5,2.250,2.750,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
5,5,2.750,2.750,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
6,5,3.250,2.750,10,1.000,0,0.0000,0.0000,0.5532,0.0000,0.1161,low
7,5,3.750,2.750,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
0,6,0.250,3.250,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
1,6,0.750,3.250,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
2,6,1.250,3.250,10,1.000,1,0.3141,0.3141,0.7861,0.0000,0.2458,low
3,6,1.750,3.250,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
4,6,2.250,3.250,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
5,6,2.750,3.250,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
6,6,3.250,3.250,17,1.700,1,0.1208,0.1208,0.5543,0.0000,0.2360,low
7,6,3.750,3.250,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
0,7,0.250,3.750,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
1,7,0.750,3.750,17,1.700,0,0.0000,0.0000,0.7358,0.0000,0.1726,low
2,7,1.250,3.750,25,2.500,1,0.2491,0.2491,0.7792,0.0000,0.3575,medium
3,7,1.750,3.750,10,1.000,0,0.0000,0.0000,0.6380,0.0000,0.1118,low
4,7,2.250,3.750,10,1.000,1,0.1376,0.1376,0.7270,0.0000,0.1693,low
5,7,2.750,3.750,10,1.000,0,0.0000,0.0000,0.8282,0.2500,0.1523,low
6,7,3.250,3.750,26,2.600,1,0.2352,0.2352,0.9288,0.2500,0.4031,medium
7,7,3.750,3.750,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
0,8,0.250,4.250,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
1,8,0.750,4.250,0,0.000,0,0.0000,0.0000,1.0000,0.3128,0.0156,low
2,8,1.250,4.250,0,0.000,0,0.0000,0.0000,1.0000,0.3128,0.0156,low
3,8,1.750,4.250,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
4,8,2.250,4.250,0,0.000,0,0.0000,0.0000,1.0000,0.3333,0.0167,low
7,8,3.750,4.250,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
0,9,0.250,4.750,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
1,9,0.750,4.750,0,0.000,0,0.0000,0.0000,1.0000,0.8333,0.0417,low
2,9,1.250,4.750,0,0.000,0,0.0000,0.0000,1.0000,0.8333,0.0417,low
3,9,1.750,4.750,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
4,9,2.250,4.750,0,0.000,0,0.0000,0.0000,1.0000,0.3333,0.0167,low
7,9,3.750,4.750,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
0,10,0.250,5.250,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
1,10,0.750,5.250,0,0.000,0,0.0000,0.0000,1.0000,0.4730,0.0236,low
2,10,1.250,5.250,0,0.000,0,0.0000,0.0000,1.0000,0.4730,0.0236,low
3,10,1.750,5.250,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
4,10,2.250,5.250,0,0.000,0,0.0000,0.0000,1.0000,0.0000,0.0000,low
5,10,2.750,5.250,0,0.000,0,0.0000,0.0000,1.0000,0.2500,0.0125,low
6,10,3.250,5.250,0,0.000,0,0.0000,0.0000,1.0000,0.2500,0.0125,low
7,10,3.750,5.250,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
0,11,0.250,5.750,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
1,11,0.750,5.750,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
2,11,1.250,5.750,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
3,11,1.750,5.750,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
4,11,2.250,5.750,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
5,11,2.750,5.750,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
6,11,3.250,5.750,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
7,11,3.750,5.750,0,0.000,0,0.0000,0.0000,1.0000,0.5833,0.0292,low
